Time,Exhaust_Temp
489.335,537.5
489.385,538.5
489.435,539.5
489.485,540.5
489.535,541.5
489.585,542.5
489.635,543.5
489.685,544.5
489.735,545.5
489.785,546.5
489.835,547.5
489.885,548.5
489.935,549
489.985,550
490.035,550.5
490.085,551
490.135,551.5
490.185,552
490.235,552.5
490.285,553
490.335,553
490.385,553.5
490.435,553.5
490.485,553.5
490.535,554
490.585,554
490.635,553.5
490.685,553.5
490.735,553
490.785,553
490.835,552.5
490.885,551.5
490.935,551
490.985,550.5
491.035,549.5
491.085,549
491.135,548
491.185,547.5
491.235,546.5
491.285,546
491.335,545.5
491.385,545
491.435,544.5
491.485,544
491.535,543.5
491.585,543
491.635,543
491.685,542.5
491.735,542.5
491.785,542.5
491.835,542
491.885,542
491.935,542
491.984,542.5
492.034,542.5
492.084,542.5
492.134,543
492.184,543
492.234,543.5
492.284,544
492.334,544.5
492.384,544.5
492.434,545
492.484,546
492.534,546.5
492.584,547
492.634,547.5
492.684,547.5
492.734,548
492.784,548
492.834,548.5
492.884,548.5
492.934,549
492.984,549
493.034,549.5
493.084,549.5
493.134,550
493.184,550.5
493.234,551
493.284,551
493.334,551.5
493.384,552
493.434,552
493.484,552.5
493.534,553
493.584,553.5
493.634,554
493.684,554.5
493.734,555
493.784,555.5
493.834,556.5
493.884,557
493.934,557.5
493.984,558
494.034,558.5
494.084,559
494.134,559.5
494.184,560
494.234,560.5
494.284,561.5
494.334,562
494.384,562.5
494.434,563
494.484,564
494.534,564.5
494.583,565.5
494.633,566
494.683,567
494.733,567.5
494.783,568
494.833,569
494.883,569.5
494.933,570
494.983,570.5
495.033,571.5
495.083,572
495.133,572.5
495.183,573
495.233,573.5
495.283,574
495.333,574.5
495.383,575
495.433,575.5
495.483,576
495.533,576
495.583,576.5
495.633,576.5
495.683,576
495.733,576
495.783,575.5
495.833,575.5
495.883,575
495.933,574.5
495.983,574
496.033,573.5
496.083,572.5
496.133,572
496.183,571.5
496.233,571
496.283,570
496.333,569.5
496.383,569
496.433,568
496.483,567
496.533,566.5
496.583,565.5
496.633,564.5
496.683,563.5
496.733,562
496.783,561
496.833,559.5
496.883,558
496.933,556.5
496.983,555.5
497.033,554
497.083,553
497.133,552
497.183,551
497.232,550
497.282,549
497.332,548
497.382,547.5
497.432,546.5
497.482,545
497.532,544
497.582,543
497.632,541.5
497.682,540
497.732,538
497.782,536.5
497.832,534.5
497.882,533
497.932,531
497.982,529.5
498.032,527.5
498.082,526
498.132,524.5
498.182,522.5
498.232,521
498.282,519.5
498.332,517.5
498.382,516
498.432,514
498.482,512.5
498.532,510.75
498.582,509
498.632,507.25
498.682,505.5
498.732,503.5
498.782,501.5
498.832,499.75
498.882,497.75
498.932,496
498.982,494.5
499.032,493
499.082,491.5
499.132,490.25
499.182,489
499.232,488.25
499.282,487.25
499.332,486.75
499.382,486
499.432,485.5
499.482,485.25
499.532,484.75
499.582,484.5
499.632,484.25
499.682,484
499.732,484
499.782,484
499.832,484
499.881,484
499.931,484.25
499.981,484.5
500.031,484.75
500.081,485
500.131,485.25
500.181,485.5
500.231,486
500.281,486.25
500.331,486.75
500.381,487.25
500.431,487.75
500.481,488
500.531,488.5
500.581,489
500.631,489.5
500.681,490
500.731,490.5
500.781,491
500.831,491.75
500.881,492.25
500.931,492.75
500.981,493.25
501.031,494
501.081,494.5
501.131,495.25
501.181,496
501.231,496.75
501.281,497.5
501.331,498.25
501.381,499
501.431,500
501.481,500.75
501.531,501.75
501.581,502.5
501.631,503.25
501.681,504
501.731,504.75
501.781,505.5
501.831,506
501.881,506.75
501.931,507.5
501.981,508.25
502.031,509
502.081,509.75
502.131,510.5
502.181,511.25
502.231,512
502.281,513
502.331,514
502.381,515
502.431,515.5
502.48,516
502.53,516.5
502.58,516.5
502.63,516.5
502.68,516.5
502.73,516
502.78,515.5
502.83,515
502.88,514.5
502.93,513.5
502.98,512
503.03,511
503.08,509.75
503.13,508.5
503.18,507
503.23,505.75
503.28,504.25
503.33,503
503.38,501.75
503.43,500.25
503.48,499
503.53,498
503.58,496.75
503.63,495.75
503.68,494.5
503.73,493.75
503.78,492.75
503.83,492
503.88,491.5
503.93,491
503.98,490.5
504.03,490
504.08,489.75
504.13,489.5
504.18,489.25
504.23,489
504.28,489
504.33,489.25
504.38,489.25
504.43,489.5
504.48,489.75
504.53,490
504.58,490.25
504.63,490.75
504.68,491.25
504.73,491.75
504.78,492.25
504.83,492.75
504.88,493.25
504.93,493.75
504.98,494.5
505.03,495
505.079,495.5
505.129,496.25
505.179,496.75
505.229,497.5
505.279,498
505.329,498.75
505.379,499.25
505.429,500
505.479,500.75
505.529,501.75
505.579,502.25
505.629,503
505.679,503.75
505.729,504.5
505.779,505.25
505.829,505.75
505.879,506.5
505.929,507
505.979,507.75
506.029,508.25
506.079,508.75
506.129,509.25
506.179,510
506.229,510.5
506.279,511
506.329,511.75
506.379,512.5
506.429,513
506.479,514
506.529,514.5
506.579,515
506.629,516
506.679,516.5
506.729,517
506.779,518
506.829,518.5
506.879,519
506.929,520
506.979,520.5
507.029,521
507.079,522
507.129,522.5
507.179,523.5
507.229,524
507.279,525
507.329,526
507.379,526.5
507.429,527.5
507.479,528.5
507.529,529
507.579,530
507.629,530.5
507.679,531
507.729,531.5
507.778,531.5
507.828,532
507.878,531.5
507.928,531.5
507.978,531
508.028,530.5
508.078,530
508.128,529
508.178,528
508.228,527
508.278,525.5
508.328,524.5
508.378,523
508.428,521.5
508.478,520
508.528,518.5
508.578,516.5
508.628,515
508.678,513
508.728,511.25
508.778,509.5
508.828,507.75
508.878,505.75
508.928,503.75
508.978,501.75
509.028,499.75
509.078,497.75
509.128,495.75
509.178,493.5
509.228,491.5
509.278,489.5
509.328,487.25
509.378,485.25
509.428,483.25
509.478,481.5
509.528,479.75
509.578,478
509.628,476.5
509.678,475
509.728,473.75
509.778,472.5
509.828,471.5
509.878,470.5
509.928,469.5
509.978,468.75
510.028,468
510.078,467.25
510.128,466.75
510.178,466.25
510.228,466
510.278,465.75
510.327,465.5
510.377,465.25
510.427,465.25
510.477,465
510.527,465
510.577,464.75
510.627,464.75
510.677,464.75
510.727,464.75
510.777,465
510.827,465
510.877,465.25
510.927,465.5
510.977,465.75
511.027,466.25
511.077,466.75
511.127,467.25
511.177,467.75
511.227,468.25
511.277,468.75
511.327,469.25
511.377,469.75
511.427,470.5
511.477,471.25
511.527,471.75
511.577,472.5
511.627,473.25
511.677,474
511.727,474.75
511.777,475.5
511.827,476.5
511.877,477.25
511.927,478
511.977,478.75
512.027,479.75
512.077,480.5
512.127,481.5
512.177,482.5
512.227,483.5
512.277,484.5
512.327,485.5
512.377,486.5
512.427,487.5
512.477,488.5
512.527,489.5
512.577,490.5
512.627,491.5
512.677,492.25
512.727,493.25
512.777,494
512.827,494.75
512.877,495.5
512.927,496.5
512.976,497.5
513.026,498.5
513.076,499.5
513.126,500.5
513.176,501.5
513.226,502.5
513.276,503.25
513.326,504.25
513.376,505
513.426,505.75
513.476,506.5
513.526,507.25
513.576,508
513.626,508.75
513.676,509.25
513.726,510
513.776,510.5
513.826,511
513.876,511.25
513.926,511.5
513.976,511.25
514.026,511.25
514.076,510.75
514.126,510.25
514.176,509.75
514.226,509
514.276,508.25
514.326,507.5
514.376,506.75
514.426,506
514.476,505.5
514.526,505
514.576,504.5
514.626,504.25
514.676,504
514.726,504
514.776,503.75
514.826,503.75
514.876,503.75
514.926,503.5
514.976,503.5
515.026,503.5
515.076,503.5
515.126,503.25
515.176,503.25
515.226,503.25
515.276,503.5
515.326,503.75
515.376,504
515.426,504.25
515.476,504.75
515.526,505
515.575,505.5
515.625,506
515.675,506.5
515.725,507
515.775,507.5
515.825,508
515.875,508.25
515.925,508.75
515.975,509.25
516.025,509.75
516.075,510.25
516.125,510.75
516.175,511.25
516.225,511.75
516.275,512.5
516.325,513
516.375,513.5
516.425,514.5
516.475,515
516.525,515.5
516.575,516
516.625,517
516.675,517.5
516.725,518.5
516.775,519.5
516.825,520
516.875,521
516.925,521.5
516.975,522
517.025,523
517.075,523.5
517.125,524
517.175,525
517.225,525.5
517.275,526.5
517.325,527
517.375,528
517.425,528.5
517.475,529.5
517.525,530.5
517.575,531
517.625,532
517.675,532.5
517.725,533
517.775,533.5
517.825,534
517.875,534
517.925,534
517.975,533.5
518.025,533
518.075,532.5
518.125,531.5
518.175,531
518.224,530
518.274,528.5
518.324,527.5
518.374,526
518.424,525
518.474,523.5
518.524,522
518.574,520
518.624,518.5
518.674,516.5
518.724,514.5
518.774,513
518.824,511
518.874,509
518.924,507
518.974,505
519.024,503
519.074,500.75
519.124,498.5
519.174,496.5
519.224,494.25
519.274,492
519.324,489.75
519.374,487.75
519.424,485.5
519.474,483.5
519.524,481.5
519.574,479.5
519.624,477.75
519.674,476.25
519.724,474.75
519.774,473.5
519.824,472.25
519.874,471.25
519.924,470.25
519.974,469.25
520.024,468.5
520.074,467.75
520.124,467.25
520.174,466.75
520.224,466.25
520.274,465.75
520.324,465.25
520.374,465
520.424,464.5
520.474,464.25
520.524,463.75
520.574,463.5
520.624,463.25
520.674,463
520.724,463
520.774,462.75
520.824,462.75
520.873,462.75
520.923,462.75
520.973,462.75
521.023,463
521.073,463
521.123,463
521.173,463.25
521.223,463.25
521.273,463.5
521.323,463.5
521.373,463.75
521.423,464
521.473,464.25
521.523,464.5
521.573,464.75
521.623,465.25
521.673,465.75
521.723,466.25
521.773,466.75
521.823,467.25
521.873,467.75
521.923,468.25
521.973,468.75
522.023,469
522.073,469.5
522.123,469.75
522.173,470
522.223,470
522.273,470
522.323,469.5
522.373,469.25
522.423,468.75
522.473,468
522.523,467
522.573,466.25
522.623,465
522.673,464
522.723,462.75
522.773,461.25
522.823,460
522.873,458.5
522.923,457.25
522.973,456
523.023,454.75
523.073,453.5
523.123,452.5
523.173,451.5
523.223,450.75
523.273,450
523.323,449
523.373,448.5
523.423,447.75
523.472,447.25
523.522,447
523.572,446.5
523.622,446.25
523.672,446
523.722,446
523.772,445.75
523.822,445.75
523.872,445.75
523.922,445.75
523.972,446
524.022,446
524.072,446.25
524.122,446.25
524.172,446.5
524.222,447
524.272,447.25
524.322,447.75
524.372,448.25
524.422,448.5
524.472,449.25
524.522,449.75
524.572,450.25
524.622,451
524.672,451.75
524.722,452.5
524.772,453
524.822,453.75
524.872,454.5
524.922,455.25
524.972,456
525.022,456.75
525.072,457.5
525.122,458.25
525.172,459.25
525.222,460.25
525.272,461.25
525.322,462.25
525.372,463.25
525.422,464.25
525.472,465.25
525.522,466.5
525.572,467.5
525.622,468.5
525.672,469.25
525.722,470.25
525.772,471.25
525.822,472
525.872,473
525.922,474
525.972,474.75
526.022,475.75
526.071,476.75
526.121,477.75
526.171,478.75
526.221,479.75
526.271,480.75
526.321,481.75
526.371,482.75
526.421,483.5
526.471,484.5
526.521,485.5
526.571,486.25
526.621,487.25
526.671,488.25
526.721,489
526.771,490
526.821,490.75
526.871,491.5
526.921,492.5
526.971,493.5
527.021,494.5
527.071,495.5
527.121,496.5
527.171,497.5
527.221,498.25
527.271,499
527.321,499.75
527.371,500.25
527.421,500.75
527.471,501.25
527.521,501.5
527.571,501.75
527.621,501.75
527.671,501.5
527.721,501.25
527.771,500.75
527.821,500
527.871,499.25
527.921,498.25
527.971,497
528.021,496
528.071,494.75
528.121,493.5
528.171,492.25
528.221,490.75
528.271,489.25
528.321,487.5
528.371,486
528.421,484.25
528.471,482.5
528.521,480.5
528.571,478.75
528.621,476.75
528.671,475
528.72,473
528.77,471.25
528.82,469.5
528.87,467.75
528.92,466.25
528.97,465
529.02,463.5
529.07,462.5
529.12,461.25
529.17,460.25
529.22,459.5
529.27,458.75
529.32,458
529.37,457.25
529.42,456.75
529.47,456.25
529.52,455.75
529.57,455.5
529.62,455
529.67,455
529.72,454.75
529.77,454.75
529.82,455
529.87,455
529.92,455
529.97,455
530.02,455.25
530.07,455.25
530.12,455.5
530.17,455.75
530.22,456
530.27,456.25
530.32,456.5
530.37,457
530.42,457.25
530.47,457.5
530.52,458
530.57,458.5
530.62,459
530.67,459.5
530.72,460
530.77,460.5
530.82,461
530.87,461.5
530.92,462
530.97,462.5
531.02,463.25
531.07,463.75
531.12,464.5
531.17,465.25
531.22,465.75
531.27,466.5
531.319,467.25
531.369,468
531.419,468.75
531.469,469.75
531.519,470.5
531.569,471.25
531.619,472
531.669,473
531.719,474
531.769,474.75
531.819,475.75
531.869,476.75
531.919,477.75
531.969,478.5
532.019,479.5
532.069,480.25
532.119,481.25
532.169,482
532.219,483
532.269,484
532.319,484.75
532.369,485.75
532.419,486.75
532.469,487.5
532.519,488.5
532.569,489.25
532.619,490.25
532.669,491
532.719,491.75
532.769,492.75
532.819,493.5
532.869,494.25
532.919,495
532.969,495.75
533.019,496.5
533.069,497.5
533.119,498.25
533.169,499.25
533.219,500
533.269,501
533.319,501.75
533.369,502.5
533.419,503.25
533.469,504
533.519,504.75
533.569,505.5
533.619,506.5
533.669,507.25
533.719,508.25
533.769,509
533.819,510
533.869,510.75
533.919,511.75
533.968,512.5
534.018,513.5
534.068,514
534.118,515
534.168,515.5
534.218,516.5
534.268,517
534.318,517.5
534.368,517.5
534.418,517.5
534.468,517.5
534.518,517
534.568,516.5
534.618,516
534.668,515
534.718,514
534.768,513
534.818,512
534.868,511.25
534.918,510.5
534.968,509.5
535.018,508.75
535.068,508
535.118,507.25
535.168,506.5
535.218,506
535.268,505.5
535.318,505
535.368,504.5
535.418,504.25
535.468,503.75
535.518,503.5
535.568,503.25
535.618,503.25
535.668,503
535.718,503
535.768,503
535.818,503
535.868,503.25
535.918,503.5
535.968,503.75
536.018,504
536.068,504.25
536.118,504.75
536.168,505
536.218,505.5
536.268,505.75
536.318,506.25
536.368,506.75
536.418,507.25
536.468,507.75
536.518,508.25
536.567,508.75
536.617,509.5
536.667,510.25
536.717,510.75
536.767,511.5
536.817,512
536.867,512.5
536.917,513.5
536.967,514
537.017,514.5
537.067,515
537.117,516
537.167,516.5
537.217,517
537.267,517.5
537.317,518
537.367,518.5
537.417,519.5
537.467,520
537.517,520.5
537.567,521
537.617,522
537.667,522.5
537.717,523.5
537.767,524
537.817,525
537.867,525.5
537.917,526
537.967,526.5
538.017,527.5
538.067,528
538.117,528.5
538.167,529.5
538.217,530
538.267,530.5
538.317,531
538.367,532
538.417,532.5
538.467,533
538.517,534
538.567,535
538.617,535.5
538.667,536.5
538.717,537.5
538.767,538
538.817,539
538.867,540
538.917,540.5
538.967,541.5
539.017,542.5
539.067,543.5
539.117,544.5
539.167,545.5
539.216,546.5
539.266,547.5
539.316,548.5
539.366,549.5
539.416,550.5
539.466,551.5
539.516,552.5
539.566,553.5
