Time,AccelerometerZ
82.251,-0.82275390625
82.271,-1.044921875
82.281,-1.2421875
82.291,-1.35546875
82.301,-1.345703125
82.311,-1.212890625
82.321,-1.0166015625
82.331,-0.857421875
82.341,-0.8193359375
82.351,-0.92236328125
82.361,-1.109375
82.371,-1.28515625
82.381,-1.3701171875
82.391,-1.3291015625
82.401,-1.1845703125
82.411,-1.00390625
82.421,-0.87060546875
82.431,-0.84228515625
82.441,-0.92138671875
82.451,-1.0537109375
82.461,-1.162109375
82.469,-1.1923828125
82.479,-1.13671875
82.489,-1.03515625
82.499,-0.95556640625
82.509,-0.9462890625
82.519,-1.0146484375
82.529,-1.1240234375
82.539,-1.216796875
82.549,-1.251953125
82.559,-1.2177734375
82.569,-1.125
82.579,-1.0068359375
82.589,-0.90771484375
82.599,-0.8623046875
82.609,-0.8798828125
82.619,-0.92724609375
82.629,-0.95166015625
82.639,-0.908203125
82.649,-0.78125
82.659,-0.5947265625
82.663,-0.0472412109375
82.673,-0.0362548828125
82.683,-0.10498046875
82.693,-0.302978515625
82.703,-0.60888671875
82.713,-0.9296875
82.723,-1.1787109375
82.733,-1.3251953125
82.743,-1.37890625
82.753,-1.376953125
82.763,-1.3486328125
82.773,-1.2998046875
82.783,-1.2099609375
82.793,-1.060546875
82.803,-0.8671875
82.813,-0.67919921875
82.822,-0.54833984375
82.832,-0.50146484375
82.842,-0.5322265625
82.852,-0.6025390625
82.862,-0.66943359375
82.872,-0.71435546875
82.882,-0.76611328125
82.892,-0.88134765625
82.902,-1.087890625
82.912,-1.33984375
82.922,-1.5390625
82.932,-1.6025390625
82.942,-1.5205078125
82.952,-1.359375
82.962,-1.2060546875
82.972,-1.11328125
82.982,-1.08203125
82.992,-1.076171875
83.002,-1.0478515625
83.012,-0.97216796875
83.021,-0.86669921875
83.031,-0.78369140625
83.041,-0.77734375
83.051,-0.8603515625
83.061,-0.982421875
83.071,-1.068359375
83.081,-1.0927734375
83.091,-1.095703125
83.101,-1.1337890625
83.111,-1.23046875
83.121,-1.33984375
83.131,-1.3828125
83.141,-1.2978515625
83.151,-1.0849609375
83.161,-0.8125
83.171,-0.58251953125
83.181,-0.47802734375
83.191,-0.505859375
83.201,-0.60400390625
83.211,-0.69873046875
83.219,-0.767578125
83.229,-0.845703125
83.239,-0.97021484375
83.249,-1.126953125
83.259,-1.2529296875
83.269,-1.2841796875
83.279,-1.2041015625
83.289,-1.0576171875
83.299,-0.92822265625
83.309,-0.87109375
83.319,-0.8759765625
83.329,-0.89013671875
83.339,-0.87890625
83.349,-0.86083984375
83.359,-0.88720703125
83.369,-0.986328125
83.379,-1.119140625
83.389,-1.208984375
83.399,-1.2080078125
83.409,-1.1298828125
83.413,-0.6689453125
83.423,-0.58203125
83.433,-0.55224609375
83.443,-0.58642578125
83.453,-0.64306640625
83.463,-0.6689453125
83.473,-0.654296875
83.483,-0.63525390625
83.493,-0.6435546875
83.503,-0.66796875
83.513,-0.6728515625
83.523,-0.64453125
83.533,-0.61328125
83.543,-0.61865234375
83.553,-0.66357421875
83.563,-0.7099609375
83.572,-0.71044921875
83.582,-0.65576171875
83.592,-0.5908203125
83.602,-0.560546875
83.612,-0.5615234375
83.622,-0.56298828125
83.632,-0.55029296875
83.642,-0.5517578125
83.652,-0.623046875
83.662,-0.779296875
83.672,-0.96337890625
83.682,-1.1015625
83.692,-1.169921875
83.702,-1.181640625
83.712,-1.158203125
83.722,-1.1142578125
83.732,-1.046875
83.742,-0.9404296875
83.752,-0.8056640625
83.762,-0.685546875
83.771,-0.60986328125
83.781,-0.57080078125
83.791,-0.53564453125
83.801,-0.49365234375
83.811,-0.48193359375
83.821,-0.54443359375
83.831,-0.67919921875
