Time,ECEF_position_Y
82.316,950052.95
82.45,950053.14
82.566,950053.36
82.7,950053.57
82.816,950053.73
82.95,950053.93
83.066,950054.12
83.2,950054.34
83.316,950054.66
83.45,950055.02
83.566,950055.53
83.7,950056.21
83.816,950056.97
83.95,950057.97
84.066,950059.25
84.2,950060.81
84.316,950062.73
84.45,950064.65
84.566,950066.83
84.7,950069.3
84.816,950071.93
84.95,950074.76
85.066,950077.77
85.2,950080.76
85.316,950083.92
85.45,950087.34
85.566,950090.79
85.7,950094.3
85.816,950097.94
85.95,950101.61
86.066,950105.42
86.2,950109.25
86.316,950113.05
86.45,950116.84
86.566,950120.65
86.7,950124.48
86.816,950128.35
86.95,950132.23
87.066,950136.14
87.2,950140.05
87.316,950143.97
87.45,950147.92
87.566,950151.88
87.7,950155.86
87.816,950159.76
87.95,950163.56
88.066,950167.32
88.2,950170.95
88.316,950174.46
88.45,950177.86
88.566,950181.19
88.7,950184.45
88.816,950187.59
88.95,950190.57
89.066,950193.37
89.2,950196.02
89.316,950198.51
89.45,950200.83
89.566,950202.97
89.7,950204.9
89.816,950206.72
89.95,950208.34
90.066,950209.81
90.2,950211.07
90.316,950212.12
90.45,950212.93
90.566,950213.5
90.7,950213.9
90.816,950214.08
90.95,950214.09
91.066,950213.95
91.2,950213.62
91.316,950213.13
91.45,950212.41
91.566,950211.5
91.699,950210.29
91.816,950208.88
91.949,950207.28
92.066,950205.46
92.199,950203.42
92.316,950201.26
92.449,950198.98
92.566,950196.59
92.699,950194.12
92.816,950191.54
92.949,950188.93
93.066,950186.35
93.199,950183.71
93.316,950181.1
93.449,950178.46
93.566,950175.89
93.699,950173.37
93.816,950170.89
93.949,950168.39
94.066,950165.88
94.199,950163.37
94.316,950160.88
94.449,950158.37
94.566,950155.81
94.699,950153.16
94.816,950150.43
94.949,950147.72
95.066,950144.99
95.199,950142.24
95.316,950139.46
95.449,950136.7
95.566,950133.97
95.699,950131.29
95.816,950128.65
95.949,950126.09
96.066,950123.51
96.199,950120.96
96.316,950118.44
96.449,950116.06
96.566,950113.78
96.699,950111.53
96.816,950109.35
96.949,950107.31
97.066,950105.47
97.199,950103.74
97.316,950102.19
97.449,950100.91
97.566,950099.81
97.699,950099.01
97.816,950098.38
97.949,950098.07
98.066,950097.84
98.199,950097.9
98.316,950098.13
98.449,950098.44
98.566,950098.72
98.699,950098.93
98.816,950099.04
98.949,950098.98
99.066,950098.68
99.199,950098.2
99.316,950097.58
99.449,950096.88
99.566,950096.06
99.699,950095.12
99.816,950094.07
99.949,950092.96
100.066,950091.77
100.199,950090.56
100.316,950089.34
100.449,950088.13
100.566,950086.92
100.699,950085.72
100.816,950084.54
100.949,950083.43
101.066,950082.34
101.199,950081.29
101.316,950080.26
101.449,950079.27
101.566,950078.35
101.699,950077.52
101.816,950076.85
101.949,950076.31
102.066,950075.89
102.199,950075.53
102.316,950075.31
102.448,950075.25
102.566,950075.41
102.698,950075.75
102.816,950076.33
102.948,950077.15
103.066,950078.08
103.198,950079.1
103.316,950080.27
103.448,950081.52
103.566,950082.89
103.698,950084.4
103.816,950085.98
103.948,950087.68
104.066,950089.39
104.198,950091.06
104.316,950092.77
104.448,950094.38
104.566,950095.99
104.698,950097.55
104.816,950099.01
104.948,950100.37
105.066,950101.6
105.198,950102.68
105.316,950103.61
105.448,950104.37
105.566,950105.07
105.698,950105.69
105.816,950106.23
105.948,950106.67
106.066,950107.05
106.198,950107.31
106.316,950107.48
106.448,950107.62
106.566,950107.76
106.698,950107.88
106.816,950108
106.948,950108.15
107.066,950108.35
107.198,950108.57
107.316,950108.86
107.448,950109.15
107.566,950109.59
107.698,950110.11
107.816,950110.81
107.948,950111.74
108.066,950112.7
108.198,950113.81
108.316,950115.12
108.448,950116.56
108.566,950118.14
108.698,950119.89
108.816,950121.81
108.948,950123.82
109.066,950126
109.198,950128.33
109.316,950130.84
109.448,950133.48
109.566,950136.2
109.698,950139
109.816,950141.8
109.948,950144.66
110.066,950147.5
110.198,950150.35
110.316,950153.18
110.448,950156
110.566,950158.79
110.698,950161.56
110.816,950164.29
110.948,950166.99
111.066,950169.63
111.198,950172.23
111.316,950174.78
111.448,950177.29
111.566,950179.72
111.698,950182.08
111.816,950184.32
111.948,950186.54
112.066,950188.69
112.198,950190.78
112.316,950192.78
112.448,950194.71
112.566,950196.48
112.698,950198.19
112.816,950199.77
112.947,950201.22
113.066,950202.51
113.197,950203.56
113.316,950204.43
113.447,950205
113.566,950205.43
113.697,950205.63
113.816,950205.62
113.947,950205.37
114.066,950204.88
114.197,950204.19
114.316,950203.31
114.447,950202.17
114.566,950200.91
114.697,950199.44
114.816,950197.8
114.947,950196.07
115.066,950194.32
115.197,950192.42
115.316,950190.59
115.447,950188.72
115.566,950186.88
115.697,950185.08
115.816,950183.35
115.947,950181.6
116.066,950179.96
116.197,950178.37
116.316,950176.86
116.447,950175.45
116.566,950174.19
116.697,950173.03
116.816,950171.85
116.947,950170.6
117.066,950169.27
117.197,950167.83
117.316,950166.33
117.447,950164.81
117.566,950163.13
117.697,950161.43
117.816,950159.73
117.947,950157.94
118.066,950156.13
118.197,950154.27
118.316,950152.45
118.447,950150.61
118.566,950148.81
118.697,950147.05
118.816,950145.47
118.947,950144.03
119.066,950142.68
119.197,950141.52
119.316,950140.47
119.447,950139.44
119.566,950138.69
119.697,950137.97
119.816,950137.39
119.947,950137.06
120.066,950136.85
120.197,950136.91
120.316,950136.93
120.555,950137.29
120.666,950137.77
120.805,950138.49
120.916,950139.53
121.055,950140.88
121.166,950142.46
121.305,950144.28
121.416,950146.33
121.555,950148.6
121.666,950151.1
121.805,950153.7
121.916,950156.49
122.055,950159.36
122.166,950162.43
122.305,950165.51
122.416,950168.69
122.555,950171.8
122.666,950174.77
122.805,950177.61
122.916,950180.31
123.055,950182.87
123.166,950185.25
123.305,950187.42
123.416,950189.43
123.555,950191.22
123.666,950192.7
123.804,950193.95
123.916,950194.88
124.054,950195.54
124.166,950195.93
124.304,950196
124.416,950195.72
124.554,950195.26
124.666,950194.42
124.804,950193.42
124.916,950192.14
125.054,950190.64
125.166,950188.84
125.304,950186.97
125.416,950184.92
125.554,950182.8
125.666,950180.57
125.804,950178.29
125.916,950175.95
126.054,950173.55
126.166,950171.14
126.304,950168.68
126.416,950166.25
126.554,950163.82
126.666,950161.32
126.804,950158.75
126.916,950156.14
127.054,950153.46
127.166,950150.67
127.304,950147.78
127.416,950144.8
127.554,950141.76
127.666,950138.61
127.804,950135.43
127.916,950132.16
128.054,950128.79
128.166,950125.42
128.304,950122
128.416,950118.58
128.554,950115.19
128.666,950111.84
128.804,950108.6
128.916,950105.43
129.054,950102.32
