Time,ITOW
187.549,558733875
187.666,558734000
187.799,558734125
187.916,558734250
188.048,558734375
188.166,558734500
188.298,558734625
188.416,558734750
188.548,558734875
188.666,558735000
188.798,558735125
188.916,558735250
189.048,558735375
189.173,558735500
189.298,558735625
189.416,558735750
189.548,558735875
189.666,558736000
189.798,558736125
189.916,558736250
190.048,558736375
190.166,558736500
190.298,558736625
190.416,558736750
190.548,558736875
190.666,558737000
190.798,558737125
190.916,558737250
191.048,558737375
191.166,558737500
191.298,558737625
191.416,558737750
191.548,558737875
191.666,558738000
191.798,558738125
191.916,558738250
192.048,558738375
192.166,558738500
192.298,558738625
192.416,558738750
192.548,558738875
192.666,558739000
192.798,558739125
192.916,558739250
193.048,558739375
193.166,558739500
193.298,558739625
193.416,558739750
193.548,558739875
193.666,558740000
193.798,558740125
193.916,558740250
194.048,558740375
194.166,558740500
194.298,558740625
194.416,558740750
194.548,558740875
194.666,558741000
194.798,558741125
194.916,558741250
195.048,558741375
195.166,558741500
195.298,558741625
195.416,558741750
195.548,558741875
195.666,558742000
195.798,558742125
195.916,558742250
196.048,558742375
196.166,558742500
196.298,558742625
196.416,558742750
196.548,558742875
196.666,558743000
196.798,558743125
196.916,558743250
197.048,558743375
197.166,558743500
197.298,558743625
197.416,558743750
197.548,558743875
197.666,558744000
197.798,558744125
197.916,558744250
198.048,558744375
198.166,558744500
198.298,558744625
198.416,558744750
198.547,558744875
198.666,558745000
198.797,558745125
198.916,558745250
199.047,558745375
199.166,558745500
199.297,558745625
199.416,558745750
199.547,558745875
199.666,558746000
199.797,558746125
199.916,558746250
200.047,558746375
200.166,558746500
200.297,558746625
200.416,558746750
200.547,558746875
200.666,558747000
200.797,558747125
200.916,558747250
201.047,558747375
201.166,558747500
201.297,558747625
201.416,558747750
201.547,558747875
201.666,558748000
201.797,558748125
201.916,558748250
202.047,558748375
202.166,558748500
202.297,558748625
202.416,558748750
202.547,558748875
202.666,558749000
202.797,558749125
202.916,558749250
203.047,558749375
203.166,558749500
203.297,558749625
203.416,558749750
203.547,558749875
203.666,558750000
203.797,558750125
203.916,558750250
204.047,558750375
204.166,558750500
204.297,558750625
204.416,558750750
204.547,558750875
204.666,558751000
204.797,558751125
204.916,558751250
205.047,558751375
205.166,558751500
205.297,558751625
205.416,558751750
205.547,558751875
205.666,558752000
205.797,558752125
205.916,558752250
206.047,558752375
206.166,558752500
206.297,558752625
206.416,558752750
206.547,558752875
206.666,558753000
206.797,558753125
206.916,558753250
207.047,558753375
207.166,558753500
207.297,558753625
207.416,558753750
207.547,558753875
207.666,558754000
207.797,558754125
207.916,558754250
208.047,558754375
208.166,558754500
208.297,558754625
208.416,558754750
208.547,558754875
208.666,558755000
208.797,558755125
208.916,558755250
209.047,558755375
209.166,558755500
209.296,558755625
209.416,558755750
209.546,558755875
209.666,558756000
209.796,558756125
209.916,558756250
210.046,558756375
210.166,558756500
210.296,558756625
210.416,558756750
210.546,558756875
210.666,558757000
210.796,558757125
210.916,558757250
211.046,558757375
211.166,558757500
211.296,558757625
211.416,558757750
211.546,558757875
211.666,558758000
211.796,558758125
211.916,558758250
212.046,558758375
212.166,558758500
212.296,558758625
212.416,558758750
212.546,558758875
212.666,558759000
212.796,558759125
212.916,558759250
213.046,558759375
213.166,558759500
213.296,558759625
213.416,558759750
213.546,558759875
213.666,558760000
213.796,558760125
213.916,558760250
214.046,558760375
214.166,558760500
214.296,558760625
214.416,558760750
214.546,558760875
214.666,558761000
214.796,558761125
214.916,558761250
215.046,558761375
215.166,558761500
215.296,558761625
215.416,558761750
215.546,558761875
215.666,558762000
215.796,558762125
215.916,558762250
216.046,558762375
216.166,558762500
216.296,558762625
216.416,558762750
216.546,558762875
216.666,558763000
216.796,558763125
216.916,558763250
217.046,558763375
217.166,558763500
217.296,558763625
217.416,558763750
217.546,558763875
217.666,558764000
217.796,558764125
217.916,558764250
218.046,558764375
218.166,558764500
218.296,558764625
218.416,558764750
218.546,558764875
218.666,558765000
218.796,558765125
218.916,558765250
219.046,558765375
219.166,558765500
219.296,558765625
219.416,558765750
219.546,558765875
219.666,558766000
219.796,558766125
219.916,558766250
220.045,558766375
220.166,558766500
220.295,558766625
220.416,558766750
220.545,558766875
220.666,558767000
220.795,558767125
220.916,558767250
221.045,558767375
221.166,558767500
221.295,558767625
221.416,558767750
221.545,558767875
221.666,558768000
221.795,558768125
221.916,558768250
222.045,558768375
222.166,558768500
222.295,558768625
222.416,558768750
222.545,558768875
222.666,558769000
222.795,558769125
222.916,558769250
223.045,558769375
223.166,558769500
223.295,558769625
223.416,558769750
223.545,558769875
223.666,558770000
223.795,558770125
223.916,558770250
224.045,558770375
224.166,558770500
224.295,558770625
224.416,558770750
224.545,558770875
224.666,558771000
224.795,558771125
224.916,558771250
225.045,558771375
225.166,558771500
225.295,558771625
225.416,558771750
225.545,558771875
225.666,558772000
225.795,558772125
225.916,558772250
226.045,558772375
226.166,558772500
226.295,558772625
226.416,558772750
226.545,558772875
226.666,558773000
226.795,558773125
226.916,558773250
227.045,558773375
227.166,558773500
227.295,558773625
227.416,558773750
227.545,558773875
227.666,558774000
227.795,558774125
227.916,558774250
228.045,558774375
228.166,558774500
228.295,558774625
228.416,558774750
228.545,558774875
228.666,558775000
228.795,558775125
228.916,558775250
229.045,558775375
229.166,558775500
229.295,558775625
229.416,558775750
229.545,558775875
229.666,558776000
229.795,558776125
229.916,558776250
230.045,558776375
230.166,558776500
230.295,558776625
230.416,558776750
230.545,558776875
230.666,558777000
230.794,558777125
230.916,558777250
231.044,558777375
231.166,558777500
231.294,558777625
231.416,558777750
231.544,558777875
231.666,558778000
231.794,558778125
231.916,558778250
232.044,558778375
232.166,558778500
232.294,558778625
232.416,558778750
232.544,558778875
232.666,558779000
232.794,558779125
232.916,558779250
233.044,558779375
233.166,558779500
233.294,558779625
233.416,558779750
233.544,558779875
233.666,558780000
233.794,558780125
233.916,558780250
234.044,558780375
234.166,558780500
234.294,558780625
234.416,558780750
234.544,558780875
234.666,558781000
234.794,558781125
234.916,558781250
235.044,558781375
235.166,558781500
235.294,558781625
235.416,558781750
235.544,558781875
235.666,558782000
235.794,558782125
235.916,558782250
236.044,558782375
236.166,558782500
236.294,558782625
236.416,558782750
236.544,558782875
236.666,558783000
236.794,558783125
236.916,558783250
237.044,558783375
237.166,558783500
237.294,558783625
237.416,558783750
237.544,558783875
237.666,558784000
237.794,558784125
237.916,558784250
238.044,558784375
238.166,558784500
238.294,558784625
