Time,ECEF_position_Z
238.544,4491001.26
238.666,4491004.03
238.794,4491006.8
238.916,4491009.63
239.044,4491012.49
239.166,4491015.25
239.294,4491018.04
239.416,4491020.9
239.544,4491023.73
239.666,4491026.54
239.794,4491029.29
239.916,4491032.09
240.044,4491035.03
240.166,4491037.75
240.294,4491040.21
240.416,4491042.63
240.544,4491044.88
240.666,4491047.03
240.794,4491049.06
240.916,4491050.97
241.044,4491052.78
241.166,4491054.29
241.293,4491055.64
241.416,4491056.86
241.543,4491057.98
241.666,4491058.77
241.793,4491059.46
241.916,4491060
242.043,4491060.3
242.166,4491060.55
242.293,4491060.52
242.416,4491060.35
242.543,4491060.02
242.666,4491059.56
242.793,4491059.05
242.916,4491058.46
243.043,4491057.83
243.166,4491057.18
243.293,4491056.52
243.416,4491055.84
243.543,4491055.11
243.666,4491054.34
243.793,4491053.58
243.916,4491052.81
244.043,4491051.97
244.166,4491051.11
244.293,4491050.18
244.416,4491049.11
244.543,4491047.96
244.666,4491046.68
244.793,4491045.24
244.916,4491043.67
245.043,4491042
245.166,4491040.19
245.293,4491038.29
245.416,4491036.4
245.543,4491034.4
245.666,4491032.29
245.793,4491030.3
245.916,4491028.21
246.043,4491026.12
246.166,4491024
246.293,4491021.94
246.416,4491019.93
246.543,4491017.94
246.666,4491016.04
246.793,4491014.28
246.916,4491012.67
247.043,4491011.13
247.166,4491009.71
247.293,4491008.34
247.416,4491007.09
247.543,4491005.86
247.666,4491005.07
247.793,4491004.6
247.916,4491004.19
248.043,4491003.88
248.166,4491003.81
248.293,4491003.84
248.416,4491004.11
248.543,4491004.52
248.666,4491005.17
248.793,4491005.93
248.916,4491006.89
249.043,4491008.14
249.166,4491009.46
249.293,4491010.84
249.416,4491012.43
249.543,4491014.14
249.666,4491015.88
249.793,4491017.72
249.916,4491019.57
250.043,4491021.45
250.166,4491023.27
250.293,4491025.06
250.416,4491026.75
250.543,4491028.35
250.666,4491029.8
250.793,4491031.08
250.916,4491032.18
251.043,4491033.13
251.166,4491033.96
251.293,4491034.64
251.416,4491035.14
251.543,4491035.41
251.666,4491035.49
251.793,4491035.3
251.916,4491034.98
252.042,4491034.39
252.166,4491033.6
252.292,4491032.67
252.416,4491031.39
252.542,4491030.08
252.666,4491028.56
252.792,4491026.88
252.916,4491025.17
253.042,4491023.44
253.166,4491021.51
253.292,4491019.44
253.416,4491017.31
253.542,4491015.14
253.666,4491012.97
253.792,4491010.76
253.916,4491008.56
254.042,4491006.32
254.166,4491004.1
254.292,4491001.85
254.416,4490999.66
254.542,4490997.44
254.666,4490995.26
254.792,4490993.05
254.916,4490990.91
255.042,4490988.81
255.166,4490986.7
255.292,4490984.63
255.416,4490982.49
255.542,4490980.36
255.666,4490978.14
255.792,4490975.85
255.916,4490973.54
256.042,4490971.19
256.166,4490968.95
256.292,4490966.75
256.416,4490964.58
256.542,4490962.5
256.666,4490960.49
256.792,4490958.53
256.916,4490956.59
257.042,4490954.73
257.166,4490952.95
257.292,4490951.24
257.416,4490949.62
257.542,4490948.11
257.666,4490946.76
257.792,4490945.57
257.916,4490944.51
258.042,4490943.55
258.166,4490942.75
258.292,4490942.2
258.416,4490941.97
258.542,4490942.04
258.666,4490942.12
258.792,4490942.42
258.916,4490942.92
259.042,4490943.54
259.166,4490944.27
259.292,4490945.35
259.416,4490946.38
259.542,4490947.59
259.666,4490949.09
259.792,4490950.72
259.916,4490952.4
260.042,4490954.13
260.166,4490956
260.292,4490957.93
260.416,4490959.93
260.542,4490962
260.666,4490964.11
260.792,4490966.3
260.916,4490968.5
261.042,4490970.82
261.166,4490973.12
261.292,4490975.48
261.416,4490977.87
261.542,4490980.22
261.666,4490982.6
261.792,4490984.91
261.916,4490987.15
262.042,4490989.3
262.166,4490991.34
262.292,4490993.24
262.416,4490995.12
262.542,4490996.73
262.666,4490998.26
262.791,4490999.37
262.916,4491000.18
263.041,4491000.89
263.166,4491001.41
263.291,4491001.73
263.416,4491001.89
263.541,4491001.75
263.666,4491001.51
263.791,4491001.02
263.916,4491000.37
264.041,4490999.51
264.166,4490998.54
264.291,4490997.31
264.416,4490995.94
264.541,4490994.51
264.666,4490992.8
264.791,4490991.06
264.916,4490989.23
265.041,4490987.31
265.166,4490985.35
265.291,4490983.32
265.416,4490981.22
265.541,4490979.05
265.666,4490976.82
265.791,4490974.51
265.916,4490972.16
266.041,4490969.8
266.166,4490967.54
266.291,4490965.36
266.416,4490963.2
266.541,4490961.11
266.666,4490959.05
266.791,4490957.06
266.916,4490955.05
267.041,4490953.15
267.166,4490951.31
267.291,4490949.59
267.416,4490947.99
267.541,4490946.43
267.666,4490945.09
267.791,4490943.87
267.916,4490942.79
268.041,4490941.87
268.166,4490941.16
268.291,4490940.62
268.416,4490940.24
268.541,4490940.1
268.666,4490940.13
268.791,4490940.29
268.916,4490940.77
269.041,4490941.28
269.166,4490942.02
269.291,4490942.9
269.416,4490943.97
269.541,4490945.19
269.666,4490946.49
269.791,4490947.93
269.916,4490949.54
270.041,4490951.24
270.166,4490953.03
270.291,4490954.98
270.416,4490956.72
270.541,4490958.29
270.666,4490959.79
270.791,4490961.17
270.916,4490962.39
271.041,4490963.46
