Time,ECEF_velocity_X
238.544,-23.01
238.666,-23.12
238.794,-23.14
238.916,-23.41
239.044,-23.54
239.166,-23.51
239.294,-23.58
239.416,-23.42
239.544,-23.44
239.666,-23.39
239.794,-23.22
239.916,-23.08
240.044,-22.7
240.166,-22.63
240.294,-22.39
240.416,-22.22
240.544,-21.76
240.666,-21.45
240.794,-20.94
240.916,-20.3
241.044,-19.49
241.166,-18.51
241.293,-17.26
241.416,-16.21
241.543,-15.36
241.666,-14.04
241.793,-12.63
241.916,-11.29
242.043,-9.8
242.166,-8.73
242.293,-7.48
242.416,-6.09
242.543,-4.62
242.666,-3.8
242.793,-3.03
242.916,-2.51
243.043,-1.87
243.166,-1.61
243.293,-1.45
243.416,-1.49
243.543,-1.24
243.666,-0.98
243.793,-0.79
243.916,-0.54
244.043,-0.27
244.166,0.19
244.293,0.73
244.416,1.27
244.543,2.34
244.666,3.41
244.793,4.75
244.916,6.01
245.043,7.21
245.166,8.5
245.293,9.56
245.416,10.15
245.543,11.15
245.666,12.14
245.793,12.35
245.916,12.96
246.043,13.58
246.166,14.06
246.293,14.56
246.416,14.83
246.543,15.19
246.666,15.26
246.793,15.02
246.916,15.06
247.043,14.8
247.166,14.56
247.293,14.31
247.416,13.76
247.543,13.57
247.666,12.58
247.793,11.12
247.916,9.73
248.043,8.7
248.166,7.22
248.293,5.97
248.416,4.34
248.543,3.02
248.666,1.03
248.793,-0.51
248.916,-2.13
249.043,-3.75
249.166,-5.1
249.293,-6.14
249.416,-7.58
249.543,-8.82
249.666,-9.7
249.793,-10.54
249.916,-10.95
250.043,-11.06
250.166,-10.87
250.293,-10.44
250.416,-9.68
250.543,-8.78
250.666,-7.47
250.793,-6.13
250.916,-4.65
251.043,-3.39
251.166,-2.12
251.293,-1.03
251.416,0.3
251.543,1.8
251.666,3.19
251.793,4.79
251.916,6
252.042,7.45
252.166,9.21
252.292,10.36
252.416,12.04
252.542,12.69
252.666,13.67
252.792,14.54
252.916,15.03
253.042,15.49
253.166,16.13
253.292,16.58
253.416,16.92
253.542,17.24
253.666,17.71
253.792,17.97
253.916,18.2
254.042,18.38
254.166,18.75
254.292,18.89
254.416,19.21
254.542,19.45
254.666,19.68
254.792,19.76
254.916,19.85
255.042,19.9
255.166,19.92
255.292,19.97
255.416,20.11
255.542,20.3
255.666,20.58
255.792,20.92
255.916,21.26
256.042,21.28
256.166,20.65
256.292,20.08
256.416,19.44
256.542,18.69
256.666,18.11
256.792,17.5
256.916,16.68
257.042,15.92
257.166,15.06
257.292,14.17
