Time,GPS_Nsat
288.3,15
288.4,15
288.5,16
288.6,15
288.7,15
288.8,15
288.9,15
289,16
289.1,16
289.2,15
289.3,15
289.4,15
289.5,15
289.6,15
289.7,16
289.8,16
289.9,16
290,16
290.1,16
290.2,16
290.3,16
290.4,16
290.5,16
290.6,16
290.7,16
290.8,16
290.9,16
291,16
291.1,16
291.2,15
291.3,16
291.4,16
291.5,16
291.6,15
291.7,16
291.8,16
291.9,16
292,16
292.1,16
292.2,16
292.3,16
292.4,16
292.5,16
292.6,16
292.7,16
292.8,16
292.9,16
293,16
293.1,16
293.2,16
293.3,16
293.4,16
293.5,16
293.6,16
293.7,16
293.8,16
293.9,16
294,16
294.1,16
294.2,16
294.3,16
294.4,16
294.5,16
294.6,16
294.7,16
294.8,16
294.9,16
295,16
295.1,16
295.2,16
295.3,16
295.4,16
295.5,16
295.6,16
295.7,16
295.8,16
295.9,16
296,16
296.1,16
296.2,16
296.3,15
296.4,15
296.5,15
296.6,15
296.7,15
296.8,15
296.9,15
297,15
297.1,15
297.2,15
297.3,15
297.4,15
297.5,15
297.6,15
297.7,15
297.8,14
297.9,14
298,14
298.1,14
298.2,14
298.3,14
298.4,14
298.5,14
298.6,14
298.7,14
298.8,14
298.9,14
299,14
299.1,14
299.2,14
299.3,14
299.4,14
299.5,14
299.6,14
299.7,14
299.8,14
299.9,14
300,14
300.1,14
300.2,14
300.3,14
300.4,14
300.5,14
300.6,14
300.7,14
300.8,14
300.9,14
301,14
301.1,14
301.2,14
301.3,14
301.4,14
301.5,14
301.6,14
301.7,14
301.8,14
301.9,14
302,14
302.1,14
302.2,14
302.3,14
302.4,14
302.5,14
302.6,14
302.7,14
302.8,14
302.9,14
303,15
303.1,15
303.2,14
303.3,15
303.4,15
303.5,15
303.6,15
303.7,14
303.8,14
303.9,14
304,14
304.1,15
304.2,15
304.3,15
304.4,15
304.5,15
304.6,14
304.7,14
304.8,13
304.9,13
305,14
305.1,14
305.2,14
305.3,15
305.4,15
305.5,15
305.6,15
305.7,15
305.8,15
305.9,15
306,15
306.1,15
306.2,15
306.3,15
306.4,15
306.5,15
306.6,15
306.7,15
306.8,15
306.9,15
307,15
307.1,16
307.2,16
307.3,16
307.4,16
307.5,16
307.6,16
307.7,16
307.8,16
307.9,16
308,16
308.1,16
308.2,16
308.3,16
308.4,16
308.5,16
308.6,16
308.7,16
308.8,16
308.9,16
309,16
309.1,16
309.2,16
309.3,16
309.4,16
309.5,16
309.6,16
309.7,16
309.8,16
309.9,16
310,16
310.1,16
310.2,16
310.3,16
310.4,16
310.5,16
310.6,16
310.7,16
310.8,16
310.9,16
311,16
311.1,16
311.2,16
311.3,16
311.4,16
311.5,16
311.6,16
311.7,16
311.8,16
311.9,16
312,16
312.1,16
312.2,16
312.3,16
312.4,16
312.5,16
312.6,16
312.7,16
312.8,16
312.9,16
313,16
313.1,16
313.2,16
313.3,16
313.4,16
313.5,16
313.6,16
313.7,16
313.8,16
313.9,16
314,16
314.1,16
314.2,16
314.3,16
314.4,16
314.5,16
314.6,16
314.7,16
314.8,16
314.9,16
315,16
315.1,16
315.2,16
315.3,16
315.4,16
315.5,16
315.6,16
315.7,16
315.8,16
315.9,16
316,16
316.1,16
316.2,16
316.3,16
316.4,16
316.5,16
316.6,16
316.7,16
316.8,16
316.9,16
317,16
317.1,16
317.2,16
317.3,16
317.4,16
317.5,16
317.6,16
317.7,16
317.8,16
