Time,N_Satellites
389.016,15
389.155,15
389.266,15
389.405,16
389.516,16
389.655,16
389.766,15
389.905,15
390.016,15
390.155,15
390.266,15
390.405,15
390.516,15
390.655,15
390.766,16
390.904,16
391.016,16
391.154,16
391.266,16
391.404,16
391.516,15
391.654,15
391.766,15
391.904,14
392.016,15
392.154,15
392.266,15
392.404,16
392.516,16
392.654,16
392.766,16
392.904,16
393.016,16
393.154,16
393.266,16
393.404,16
393.516,16
393.654,16
393.766,16
393.904,16
394.016,16
394.154,16
394.266,16
394.404,16
394.516,16
394.654,16
394.766,16
394.904,16
395.016,16
395.154,16
395.266,16
395.404,16
395.516,16
395.654,16
395.766,16
395.904,16
396.016,16
396.154,16
396.266,16
396.404,16
396.516,16
396.654,16
396.766,16
396.904,16
397.016,16
397.154,16
397.266,16
397.404,16
397.516,16
397.654,16
397.766,16
397.904,16
398.016,16
398.154,16
398.266,16
398.404,16
398.516,16
398.654,16
398.766,16
398.904,16
399.016,16
399.154,16
399.266,16
399.404,16
399.516,16
399.654,16
399.766,16
399.904,16
400.016,16
400.154,16
400.266,16
400.404,16
400.516,16
400.654,16
400.766,16
400.904,16
401.016,16
401.154,16
401.266,16
401.404,16
401.516,16
401.653,16
401.766,16
401.903,16
402.016,16
402.153,16
402.266,16
402.403,16
402.516,16
402.653,16
402.766,16
402.903,16
403.016,16
403.153,16
403.266,16
403.403,16
403.516,16
403.653,16
403.766,16
403.903,16
404.016,16
404.153,16
404.266,16
404.403,16
404.516,16
404.653,16
404.766,16
404.903,16
405.016,16
405.153,16
405.266,16
405.403,16
405.516,16
405.653,16
405.766,16
405.903,16
406.016,16
406.153,16
406.266,16
406.403,16
406.516,16
406.653,16
406.766,16
406.903,16
407.016,16
407.153,16
407.266,16
407.403,16
407.516,16
407.653,16
407.766,16
407.903,15
408.016,15
408.153,15
408.266,15
408.403,15
408.516,15
408.653,15
408.766,15
408.903,14
409.016,15
409.153,15
409.266,14
409.403,14
409.516,14
409.653,14
409.766,14
409.903,14
410.016,14
410.153,14
410.266,14
410.403,14
410.516,14
410.653,14
410.766,14
410.903,14
411.016,14
411.153,14
411.266,14
411.403,14
411.516,14
411.653,14
411.766,14
411.903,14
412.016,14
412.152,14
412.266,14
412.402,14
412.516,14
412.652,14
412.766,14
412.902,14
413.016,14
413.152,14
413.266,14
413.402,15
413.516,15
413.652,15
413.766,15
413.902,14
414.016,15
414.152,15
414.266,15
414.402,15
414.516,15
414.652,15
414.766,15
414.902,15
415.016,15
415.152,15
415.266,16
415.402,16
415.516,16
415.652,16
415.766,16
415.902,16
416.016,16
416.152,16
416.266,16
416.402,16
416.516,16
416.652,16
416.766,16
416.902,16
417.016,15
417.152,15
417.266,16
417.402,16
417.516,16
417.652,16
417.766,16
417.902,16
418.016,16
418.152,16
418.266,16
418.402,16
418.516,16
418.652,16
418.766,16
418.902,16
419.016,16
419.152,16
419.266,16
419.402,16
419.516,16
419.652,16
419.766,16
419.902,16
420.016,16
420.152,16
420.266,16
420.402,16
420.516,16
420.652,16
420.766,16
420.902,16
421.016,16
421.152,16
421.266,16
421.402,16
421.516,16
421.652,16
421.766,16
421.902,16
422.016,16
422.152,16
422.266,16
422.402,16
422.516,16
422.652,16
422.766,16
422.902,16
423.016,16
423.151,16
423.266,16
423.401,16
423.516,16
423.651,16
423.766,16
423.901,16
424.016,16
424.151,16
424.266,16
424.401,16
424.516,16
424.651,16
424.766,16
424.901,16
425.016,16
425.151,16
425.266,16
425.401,16
425.516,16
425.651,16
425.766,16
425.901,16
426.016,16
426.151,16
426.266,16
426.401,16
426.516,16
426.651,16
426.766,16
426.901,16
427.016,16
427.151,16
427.266,16
427.401,16
427.516,16
427.651,16
427.766,16
427.901,16
428.016,16
428.151,16
428.266,16
428.401,16
428.516,16
428.651,16
428.766,16
428.901,16
429.016,16
429.151,16
429.266,16
429.401,16
429.516,16
429.651,16
429.766,16
429.901,16
430.016,16
430.151,16
430.266,16
430.401,16
430.516,16
430.651,16
430.766,16
430.901,16
431.016,16
431.151,16
431.266,16
431.401,15
431.516,15
431.651,15
431.766,15
431.901,16
432.016,16
432.151,16
432.266,16
432.401,16
432.516,16
432.651,16
432.766,16
432.901,16
433.016,16
433.151,16
433.266,16
433.401,16
433.516,16
433.65,16
433.766,16
433.9,16
434.016,16
434.15,16
434.266,16
434.4,16
434.516,16
434.65,16
434.766,16
434.9,16
435.016,16
435.15,16
435.266,16
435.4,16
435.516,16
435.65,16
435.766,16
435.9,16
436.016,16
436.15,16
436.266,16
436.4,16
436.516,16
436.65,16
436.766,16
436.9,16
437.016,16
437.15,15
437.266,16
437.4,15
437.516,14
437.65,15
437.766,15
437.9,16
438.016,16
438.15,16
438.266,15
438.4,16
438.516,16
438.65,15
438.766,15
438.9,15
439.016,16
439.15,16
439.266,16
439.4,16
