Time,RPM
439.53,13780
439.559,13908
439.579,11100
439.599,13909
439.619,13844
439.639,13861
439.659,13845
439.679,13856
439.699,13854
439.719,13859
439.739,13893
439.758,13913
439.778,13923
439.798,13954
439.818,13970
439.838,8376
439.857,6988
439.877,4657
439.897,3546
439.917,5310
439.937,6943
439.96,8343
439.98,13963
440,11082
440.02,13947
440.04,8374
440.059,6974
440.079,8399
440.099,6931
440.119,11150
440.139,13967
440.153,10434
440.173,11612
440.193,13867
440.213,9395
440.233,7962
440.257,6975
440.277,6954
440.297,9259
440.317,13926
440.337,14079
440.36,8376
440.38,6983
440.4,6976
440.42,6951
440.44,9299
440.455,10462
440.475,6946
440.495,6946
440.515,8369
440.535,6951
440.558,8335
440.578,8362
440.598,14010
440.618,6955
440.638,6956
440.661,8362
440.681,6953
440.701,8339
440.721,6940
440.741,6942
440.752,6947
440.772,6958
440.792,5947
440.812,8342
440.832,6950
440.856,6955
440.876,8359
440.896,8318
440.916,14045
440.936,9265
440.959,8409
440.979,7046
440.999,7029
441.019,6969
441.039,5968
441.058,6945
441.078,8363
441.098,9293
441.118,6967
441.138,5950
441.161,8341
441.181,13955
441.201,13982
441.221,7953
441.241,6934
441.26,8329
441.28,13924
441.3,13919
441.32,13911
441.34,13937
441.36,13951
441.38,13953
441.4,13950
441.42,11148
441.44,13901
441.45,14091
441.47,9942
441.49,10433
441.51,13853
441.53,13834
441.558,13865
441.578,13932
441.598,8327
441.618,13918
441.638,13896
441.661,13973
441.681,13820
441.701,13889
441.721,14002
441.741,9945
441.761,8303
441.781,13901
441.801,13921
441.821,13889
441.841,13816
441.86,13871
441.88,13947
441.9,13986
441.92,9907
441.94,13925
441.959,8344
441.979,13923
441.999,13812
442.019,13725
442.039,13778
442.059,13807
442.079,13803
442.099,13768
442.119,13761
442.139,13715
442.16,13709
442.18,13667
442.2,13724
442.22,13773
442.24,13790
442.26,13714
442.28,13669
442.3,13793
442.32,13820
442.34,13870
442.36,13824
442.38,13826
442.4,13736
442.42,13701
442.44,13852
442.46,8464
442.48,8464
442.5,6190
442.52,13756
442.54,13623
442.56,13651
442.58,13718
442.6,13901
442.62,9224
442.64,13689
442.66,13689
442.68,13680
442.7,13735
442.72,13661
442.74,13595
442.761,13577
442.781,13600
442.801,13568
442.821,13588
442.841,13723
442.858,13739
442.878,13638
442.898,13671
442.918,13669
442.938,13603
442.959,13590
442.979,13610
442.999,13675
443.019,13719
443.039,13720
443.06,13732
443.08,13801
443.1,13781
443.12,13747
443.14,13809
443.16,13815
443.18,13867
443.2,13776
443.22,13651
443.24,13599
443.261,13548
443.281,13513
443.301,13511
443.321,13500
443.341,13611
443.358,13697
443.378,13594
443.398,13483
443.418,13484
443.438,13508
443.46,13495
443.48,13503
443.5,13508
443.52,13507
443.54,13475
443.558,13579
443.578,13755
443.598,13777
443.618,13669
443.638,13562
443.659,13537
443.679,13512
443.699,13588
443.719,13679
443.739,13715
443.76,13675
443.78,13607
443.8,13602
443.82,13682
443.84,13710
443.861,13885
443.881,13808
443.901,13678
443.921,13665
443.941,13622
443.958,13649
443.978,13816
443.998,13805
444.018,13702
444.038,13679
444.058,13692
444.078,13774
444.098,13896
444.118,13890
444.138,13807
444.158,13844
444.178,13820
444.198,13843
444.218,13900
444.238,13902
444.257,13867
444.277,13918
444.297,11191
444.317,7035
444.337,7027
444.36,9261
444.38,13848
444.4,13880
444.42,13966
444.44,6978
444.459,6001
444.479,8310
444.499,13930
444.519,13899
444.539,13892
444.559,13864
