Time,ECEF_position_X
439.65,4412888.34
439.766,4412885.43
439.9,4412882.45
440.016,4412879.54
440.15,4412876.62
440.266,4412873.67
440.4,4412870.75
440.516,4412867.84
440.65,4412864.94
440.766,4412862.03
440.9,4412859.14
441.016,4412856.35
441.15,4412853.33
441.266,4412850.44
441.4,4412847.7
441.516,4412844.98
441.65,4412842.15
441.766,4412839.43
441.9,4412836.99
442.016,4412834.61
442.15,4412832.33
442.266,4412830.24
442.4,4412828.22
442.516,4412826.32
442.65,4412824.57
442.766,4412823.02
442.9,4412821.61
443.016,4412820.59
443.15,4412819.59
443.266,4412818.98
443.4,4412818.49
443.516,4412817.97
443.65,4412817.51
443.766,4412817.15
443.9,4412816.75
444.016,4412816.51
444.15,4412816.25
444.266,4412816.08
444.399,4412815.88
444.516,4412815.71
444.649,4412815.57
444.766,4412815.4
444.899,4412815.33
445.016,4412815.34
445.149,4412815.41
445.266,4412815.54
445.399,4412815.72
445.516,4412815.98
445.649,4412816.39
445.766,4412816.91
445.899,4412817.61
446.016,4412818.51
446.149,4412819.57
446.266,4412820.76
446.399,4412822.05
446.516,4412823.45
446.649,4412825.03
446.766,4412826.62
446.899,4412828.33
447.016,4412830.1
447.149,4412831.94
447.266,4412833.91
447.399,4412835.88
447.516,4412837.89
447.649,4412839.96
447.766,4412842.03
447.899,4412844.1
448.016,4412846.02
448.149,4412847.82
448.266,4412849.63
448.399,4412851.31
448.516,4412852.98
448.649,4412854.51
448.766,4412855.88
448.899,4412857.04
449.016,4412858.08
449.149,4412858.77
449.266,4412859.34
449.399,4412859.72
449.516,4412859.82
449.649,4412859.73
449.766,4412859.54
449.899,4412859.15
450.016,4412858.53
450.149,4412857.71
450.266,4412856.74
450.399,4412855.52
450.516,4412854.2
450.649,4412852.71
450.766,4412851.27
450.899,4412849.81
451.016,4412848.35
451.149,4412846.94
451.266,4412845.6
451.399,4412844.25
451.516,4412843.01
451.649,4412842.11
451.766,4412841.38
451.899,4412840.82
452.016,4412840.48
452.149,4412840.25
452.266,4412840.28
452.399,4412840.46
452.516,4412840.92
452.649,4412841.53
452.766,4412842.29
452.899,4412843.2
453.016,4412844.35
453.149,4412845.68
453.266,4412847.01
453.399,4412848.6
453.516,4412850.28
453.649,4412851.94
453.766,4412853.89
453.899,4412855.93
454.016,4412857.99
454.149,4412860.06
454.266,4412862.3
454.399,4412864.58
454.516,4412867.07
454.649,4412869.27
454.766,4412871.51
454.899,4412873.72
455.016,4412875.96
455.148,4412878.27
455.266,4412880.58
455.398,4412883.04
455.516,4412885.51
455.648,4412888.01
455.766,4412890.47
455.898,4412892.89
456.016,4412895.28
456.148,4412897.64
456.266,4412900.1
456.398,4412902.58
456.516,4412905.1
456.648,4412907.66
456.766,4412910.26
456.898,4412912.87
457.016,4412915.51
457.148,4412918.06
457.266,4412920.56
457.398,4412922.94
457.516,4412925.21
457.648,4412927.38
457.766,4412929.47
457.898,4412931.52
458.016,4412933.41
458.148,4412935.2
458.266,4412936.87
458.398,4412938.37
458.516,4412939.59
458.648,4412940.72
458.766,4412941.72
458.898,4412942.47
459.016,4412943.01
459.148,4412943.33
459.266,4412943.39
459.398,4412943.24
459.516,4412942.82
459.648,4412942.25
459.766,4412941.43
459.898,4412940.43
460.016,4412939.39
460.148,4412938.14
460.266,4412936.74
460.398,4412935.33
460.516,4412933.73
460.648,4412931.98
460.766,4412930.05
460.898,4412928.12
461.016,4412926.13
461.148,4412924.06
461.266,4412921.95
461.398,4412919.77
461.516,4412917.59
461.648,4412915.38
461.766,4412913.14
461.898,4412910.81
462.016,4412908.49
462.148,4412906.12
462.266,4412903.73
462.398,4412901.26
462.516,4412898.81
462.648,4412896.33
462.766,4412893.82
462.898,4412891.32
463.016,4412888.91
463.148,4412886.54
463.266,4412884.26
463.398,4412882.16
463.516,4412880.21
463.648,4412878.4
463.766,4412876.72
463.898,4412875.26
464.016,4412873.92
464.148,4412872.75
464.266,4412871.89
464.398,4412871.29
464.516,4412870.81
464.648,4412870.59
464.766,4412870.42
464.898,4412870.51
465.016,4412870.93
465.148,4412871.41
465.266,4412872.11
465.398,4412872.92
465.516,4412873.95
465.648,4412875.07
465.766,4412876.29
465.897,4412877.67
466.016,4412879.11
466.147,4412880.63
466.266,4412882.18
466.397,4412883.78
466.516,4412885.47
466.647,4412887.22
466.766,4412889.07
466.897,4412890.99
467.016,4412892.91
467.147,4412894.76
467.266,4412896.54
467.397,4412898.28
467.516,4412900.11
467.647,4412901.97
467.766,4412903.75
467.897,4412905.54
468.016,4412907.33
468.147,4412909.1
468.266,4412910.8
468.397,4412912.46
468.516,4412914.08
468.647,4412915.57
468.766,4412916.94
468.897,4412918.19
469.016,4412919.33
469.147,4412920.4
469.266,4412921.3
469.397,4412921.96
469.516,4412922.53
469.647,4412922.87
469.766,4412923.02
469.897,4412922.99
470.016,4412922.79
470.147,4412922.47
470.266,4412921.83
470.397,4412921.06
470.516,4412920.11
470.647,4412919.02
470.766,4412917.83
470.897,4412916.45
471.016,4412914.93
471.147,4412913.29
471.266,4412911.68
471.397,4412910.12
471.516,4412908.73
471.647,4412907.5
471.766,4412906.45
471.897,4412905.54
472.016,4412904.84
472.147,4412904.38
472.266,4412904.16
472.397,4412904.11
472.516,4412904.34
472.647,4412904.82
472.766,4412905.46
472.897,4412906.24
473.016,4412907.18
473.147,4412908.26
473.266,4412909.64
473.397,4412911.23
473.516,4412912.88
473.647,4412914.55
473.766,4412916.28
473.897,4412918.07
474.016,4412919.92
474.147,4412921.92
474.266,4412923.92
474.397,4412925.91
474.516,4412927.98
474.647,4412930.05
474.766,4412932.11
474.897,4412934.1
475.016,4412936.13
475.147,4412938.01
475.266,4412939.79
475.397,4412941.4
475.516,4412942.82
475.647,4412944.08
475.766,4412945.27
475.897,4412946.26
476.016,4412947.11
476.147,4412947.77
476.266,4412948.24
476.396,4412948.44
476.516,4412948.51
476.646,4412948.49
476.766,4412948.46
476.896,4412948.47
477.016,4412948.62
477.146,4412948.84
477.266,4412949.21
477.396,4412949.73
477.516,4412950.41
477.646,4412951.13
477.766,4412951.97
477.896,4412952.94
478.016,4412954
478.146,4412955.21
478.266,4412956.53
478.396,4412957.97
478.516,4412959.36
478.646,4412960.84
478.766,4412962.3
478.896,4412963.74
479.016,4412965.05
479.146,4412966.28
479.266,4412967.39
479.396,4412968.36
479.516,4412969.18
479.646,4412969.8
479.766,4412970.31
479.896,4412970.64
480.016,4412970.8
480.146,4412970.84
480.266,4412970.7
480.396,4412970.43
480.516,4412969.97
480.646,4412969.4
480.766,4412968.77
480.896,4412968.06
481.016,4412967.38
481.146,4412966.69
481.266,4412966.04
481.396,4412965.38
481.516,4412964.76
481.646,4412964.21
481.766,4412963.83
481.896,4412963.45
482.016,4412963.36
482.146,4412963.34
482.266,4412963.48
482.396,4412963.79
482.516,4412964.27
482.646,4412965.01
482.766,4412965.95
482.896,4412967.09
483.016,4412968.28
483.146,4412969.65
483.266,4412971.13
483.396,4412972.53
483.516,4412973.87
483.646,4412974.96
483.766,4412975.92
483.896,4412976.64
484.016,4412977.26
484.146,4412977.63
484.266,4412977.71
484.396,4412977.6
484.516,4412977.28
484.646,4412976.74
484.766,4412976.03
484.896,4412975.05
485.016,4412973.84
485.146,4412972.56
485.266,4412971.03
485.396,4412969.33
485.516,4412967.48
485.646,4412965.65
485.766,4412963.64
485.896,4412961.66
486.016,4412959.54
486.146,4412957.35
486.266,4412955.09
486.396,4412952.77
486.516,4412950.47
486.646,4412948.11
486.766,4412945.77
486.896,4412943.38
487.016,4412940.96
487.145,4412938.47
487.266,4412936.07
487.395,4412933.57
487.516,4412931.01
487.645,4412928.39
487.766,4412925.8
487.895,4412923.17
488.016,4412920.52
488.145,4412917.84
488.266,4412915.14
488.395,4412912.42
488.516,4412909.64
488.645,4412906.84
488.766,4412903.99
488.895,4412901.16
489.016,4412898.26
489.145,4412895.4
