Time,ECEF_velocity_Y
439.65,1.54
439.766,1.56
439.9,1.66
440.016,1.43
440.15,1.53
440.266,1.64
440.4,1.9
440.516,2.38
440.65,2.91
440.766,3.34
440.9,4.06
441.016,5.17
441.15,6.79
441.266,8.67
441.4,10.41
441.516,11.96
441.65,14.11
441.766,15.55
441.9,17.47
442.016,18.98
442.15,20.95
442.266,22.37
442.4,23.82
442.516,24.78
442.65,25.81
442.766,26.68
442.9,27.75
443.016,28.74
443.15,29.42
443.266,30.21
443.4,30.68
443.516,30.88
443.65,31.02
443.766,31.19
443.9,31.29
444.016,31.4
444.15,31.44
444.266,31.58
444.399,31.66
444.516,31.71
444.649,31.75
444.766,31.74
444.899,31.82
445.016,31.83
445.149,31.71
445.266,31.55
445.399,31.53
445.516,31.09
445.649,30.78
445.766,30.26
445.899,29.47
446.016,28.48
446.149,27.45
446.266,25.71
446.399,24.06
446.516,22.13
446.649,20.14
446.766,18.01
446.899,15.78
447.016,14.01
447.149,12.03
447.266,9.65
447.399,7.12
447.516,4.83
447.649,2.31
447.766,-0.7
447.899,-3.04
448.016,-5.31
448.149,-7.62
448.266,-9.82
448.399,-11.85
448.516,-13.51
448.649,-15.25
448.766,-16.9
448.899,-18.38
449.016,-19.62
449.149,-21.08
449.266,-21.9
449.399,-22.54
449.516,-22.92
449.649,-22.94
449.766,-22.86
449.899,-22.61
450.016,-22.13
450.149,-21.46
450.266,-20.7
450.399,-19.85
450.516,-19.23
450.649,-18.99
450.766,-18.82
450.899,-18.95
451.016,-19.42
451.149,-20.12
451.266,-20.98
451.399,-21.91
451.516,-22.69
451.649,-23.9
451.766,-24.7
451.899,-24.81
452.016,-24.81
452.149,-24.77
452.266,-24.19
452.399,-23.9
452.516,-22.87
452.649,-22.22
452.766,-21.21
452.899,-20.44
453.016,-19.92
453.149,-18.68
453.266,-17.89
453.399,-16.83
453.516,-14.84
453.649,-13.1
453.766,-10.61
453.899,-8.32
454.016,-6.7
454.149,-4.23
454.266,-2.18
454.399,-0.07
454.516,1.87
454.649,1.99
454.766,1.89
454.899,1.5
455.016,-0.21
455.148,-1.34
455.266,-2.58
455.398,-4.06
455.516,-5.48
455.648,-7.16
455.766,-8.33
455.898,-9.65
456.016,-10.83
456.148,-11.98
456.266,-12.61
456.398,-12.8
456.516,-12.6
456.648,-12.06
456.766,-11.19
456.898,-10.46
457.016,-9.43
457.148,-8.6
457.266,-7.86
457.398,-7.15
457.516,-6.4
457.648,-5.09
457.766,-2.95
457.898,-1.75
458.016,-0.06
458.148,2.13
458.266,3.71
458.398,5.41
458.516,7.44
458.648,9.16
458.766,10.8
458.898,12.34
459.016,13.67
459.148,14.83
459.266,15.54
459.398,16.12
459.516,16.1
459.648,16.06
459.766,15.47
459.898,15.09
460.016,14.18
460.148,14.12
460.266,13.31
460.398,12.42
460.516,11.05
460.648,10.18
460.766,8.44
460.898,7.12
461.016,5.7
461.148,4.24
461.266,3.02
461.398,1.59
461.516,0.44
461.648,-0.39
461.766,-0.84
461.898,-1.09
462.016,-0.83
462.148,-0.45
462.266,0.28
462.398,1.23
462.516,2.19
462.648,3.87
462.766,5.34
462.898,7.34
463.016,8.64
463.148,10.46
463.266,11.92
463.398,13.69
463.516,15.1
463.648,16.54
463.766,18.14
463.898,19.8
464.016,21.07
464.148,22.37
464.266,23.57
464.398,24.14
464.516,24.85
464.648,25.2
464.766,25.22
464.898,25.41
465.016,25.14
465.148,24.85
465.266,24.21
465.398,23.68
465.516,22.85
465.648,22.27
465.766,21.83
465.897,21.21
466.016,21.01
466.147,20.61
466.266,20.43
466.397,20.23
466.516,19.86
466.647,19.24
466.766,18.51
466.897,17.96
467.016,17.11
467.147,16.06
467.266,15.23
467.397,13.94
467.516,12.49
467.647,10.32
467.766,9.24
467.897,6.94
468.016,5.51
468.147,3.42
468.266,2.08
468.397,-0.13
468.516,-2.26
468.647,-4.38
468.766,-5.97
468.897,-7.88
469.016,-9.87
469.147,-11.46
469.266,-13.09
469.397,-14.85
469.516,-15.69
469.647,-16.55
469.766,-16.94
469.897,-16.82
470.016,-16.68
470.147,-16.26
470.266,-15.55
470.397,-14.63
470.516,-13.75
470.647,-12.74
470.766,-11.77
470.897,-10.42
471.016,-9.03
471.147,-7.96
471.266,-8.01
471.397,-8.93
471.516,-9.93
471.647,-10.9
471.766,-11.83
471.897,-12.52
