Time,Week_N
439.65,1880
439.766,1880
439.9,1880
440.016,1880
440.15,1880
440.266,1880
440.4,1880
440.516,1880
440.65,1880
440.766,1880
440.9,1880
441.016,1880
441.15,1880
441.266,1880
441.4,1880
441.516,1880
441.65,1880
441.766,1880
441.9,1880
442.016,1880
442.15,1880
442.266,1880
442.4,1880
442.516,1880
442.65,1880
442.766,1880
442.9,1880
443.016,1880
443.15,1880
443.266,1880
443.4,1880
443.516,1880
443.65,1880
443.766,1880
443.9,1880
444.016,1880
444.15,1880
444.266,1880
444.399,1880
444.516,1880
444.649,1880
444.766,1880
444.899,1880
445.016,1880
445.149,1880
445.266,1880
445.399,1880
445.516,1880
445.649,1880
445.766,1880
445.899,1880
446.016,1880
446.149,1880
446.266,1880
446.399,1880
446.516,1880
446.649,1880
446.766,1880
446.899,1880
447.016,1880
447.149,1880
447.266,1880
447.399,1880
447.516,1880
447.649,1880
447.766,1880
447.899,1880
448.016,1880
448.149,1880
448.266,1880
448.399,1880
448.516,1880
448.649,1880
448.766,1880
448.899,1880
449.016,1880
449.149,1880
449.266,1880
449.399,1880
449.516,1880
449.649,1880
449.766,1880
449.899,1880
450.016,1880
450.149,1880
450.266,1880
450.399,1880
450.516,1880
450.649,1880
450.766,1880
450.899,1880
451.016,1880
451.149,1880
451.266,1880
451.399,1880
451.516,1880
451.649,1880
451.766,1880
451.899,1880
452.016,1880
452.149,1880
452.266,1880
452.399,1880
452.516,1880
452.649,1880
452.766,1880
452.899,1880
453.016,1880
453.149,1880
453.266,1880
453.399,1880
453.516,1880
453.649,1880
453.766,1880
453.899,1880
454.016,1880
454.149,1880
454.266,1880
454.399,1880
454.516,1880
454.649,1880
454.766,1880
454.899,1880
455.016,1880
455.148,1880
455.266,1880
455.398,1880
455.516,1880
455.648,1880
455.766,1880
455.898,1880
456.016,1880
456.148,1880
456.266,1880
456.398,1880
456.516,1880
456.648,1880
456.766,1880
456.898,1880
457.016,1880
457.148,1880
457.266,1880
457.398,1880
457.516,1880
457.648,1880
457.766,1880
457.898,1880
458.016,1880
458.148,1880
458.266,1880
458.398,1880
458.516,1880
458.648,1880
458.766,1880
458.898,1880
459.016,1880
459.148,1880
459.266,1880
459.398,1880
459.516,1880
459.648,1880
459.766,1880
459.898,1880
460.016,1880
460.148,1880
460.266,1880
460.398,1880
460.516,1880
460.648,1880
460.766,1880
460.898,1880
461.016,1880
461.148,1880
461.266,1880
461.398,1880
461.516,1880
461.648,1880
461.766,1880
461.898,1880
462.016,1880
462.148,1880
462.266,1880
462.398,1880
462.516,1880
462.648,1880
462.766,1880
462.898,1880
463.016,1880
463.148,1880
463.266,1880
463.398,1880
463.516,1880
463.648,1880
463.766,1880
463.898,1880
464.016,1880
464.148,1880
464.266,1880
464.398,1880
464.516,1880
464.648,1880
464.766,1880
464.898,1880
465.016,1880
465.148,1880
465.266,1880
465.398,1880
465.516,1880
465.648,1880
465.766,1880
465.897,1880
466.016,1880
466.147,1880
466.266,1880
466.397,1880
466.516,1880
466.647,1880
466.766,1880
466.897,1880
467.016,1880
467.147,1880
467.266,1880
467.397,1880
467.516,1880
467.647,1880
467.766,1880
467.897,1880
468.016,1880
468.147,1880
468.266,1880
468.397,1880
468.516,1880
468.647,1880
468.766,1880
468.897,1880
469.016,1880
469.147,1880
469.266,1880
469.397,1880
469.516,1880
469.647,1880
469.766,1880
469.897,1880
470.016,1880
470.147,1880
470.266,1880
470.397,1880
470.516,1880
470.647,1880
470.766,1880
470.897,1880
471.016,1880
471.147,1880
471.266,1880
471.397,1880
471.516,1880
471.647,1880
471.766,1880
471.897,1880
472.016,1880
472.147,1880
472.266,1880
472.397,1880
472.516,1880
472.647,1880
472.766,1880
472.897,1880
473.016,1880
473.147,1880
473.266,1880
473.397,1880
473.516,1880
473.647,1880
473.766,1880
473.897,1880
474.016,1880
474.147,1880
474.266,1880
474.397,1880
474.516,1880
474.647,1880
474.766,1880
474.897,1880
475.016,1880
475.147,1880
475.266,1880
475.397,1880
475.516,1880
475.647,1880
475.766,1880
475.897,1880
476.016,1880
476.147,1880
476.266,1880
476.396,1880
476.516,1880
476.646,1880
476.766,1880
476.896,1880
477.016,1880
477.146,1880
477.266,1880
477.396,1880
477.516,1880
477.646,1880
477.766,1880
477.896,1880
478.016,1880
478.146,1880
478.266,1880
478.396,1880
478.516,1880
478.646,1880
478.766,1880
478.896,1880
479.016,1880
479.146,1880
479.266,1880
479.396,1880
479.516,1880
479.646,1880
479.766,1880
479.896,1880
480.016,1880
480.146,1880
480.266,1880
480.396,1880
480.516,1880
480.646,1880
480.766,1880
480.896,1880
481.016,1880
481.146,1880
481.266,1880
481.396,1880
481.516,1880
481.646,1880
481.766,1880
481.896,1880
482.016,1880
482.146,1880
482.266,1880
482.396,1880
482.516,1880
482.646,1880
482.766,1880
482.896,1880
483.016,1880
483.146,1880
483.266,1880
483.396,1880
483.516,1880
483.646,1880
483.766,1880
483.896,1880
484.016,1880
484.146,1880
484.266,1880
484.396,1880
484.516,1880
484.646,1880
484.766,1880
484.896,1880
485.016,1880
485.146,1880
485.266,1880
485.396,1880
485.516,1880
485.646,1880
485.766,1880
485.896,1880
486.016,1880
486.146,1880
486.266,1880
486.396,1880
486.516,1880
486.646,1880
486.766,1880
486.896,1880
487.016,1880
487.145,1880
487.266,1880
487.395,1880
487.516,1880
487.645,1880
487.766,1880
487.895,1880
488.016,1880
488.145,1880
488.266,1880
488.395,1880
488.516,1880
488.645,1880
488.766,1880
488.895,1880
489.016,1880
489.145,1880
