Time,RPM
0,0
0.02,0
0.04,0
0.06,0
0.08,0
0.1,0
0.12,0
0.14,0
0.16,0
0.18,344
0.2,344
0.22,344
0.24,834
0.26,834
0.28,834
0.3,834
0.32,873
0.34,873
0.36,873
0.38,897
0.4,897
0.42,897
0.44,907
0.46,907
0.48,907
0.5,907
0.52,923
0.54,923
0.56,923
0.58,939
0.6,939
0.62,939
0.64,956
0.66,956
0.68,956
0.691,974
0.711,974
0.731,974
0.751,1012
0.771,1012
0.8,1012
0.82,1132
0.84,1132
0.86,1074
0.88,1074
0.9,1074
0.92,1347
0.94,1347
0.96,1127
0.98,1127
1,1127
1.02,1366
1.04,1366
1.06,1189
1.08,1189
1.095,1362
1.115,1362
1.135,1362
1.155,1299
1.175,1299
1.183,1441
1.203,1441
1.223,1409
1.243,1409
1.263,1528
1.3,1528
1.32,1499
1.34,1499
1.36,1612
1.38,1605
1.4,1605
1.42,1576
1.44,1576
1.46,1608
1.48,1608
1.491,1637
1.511,1637
1.531,1645
1.551,1645
1.571,1705
1.596,1803
1.616,1803
1.636,1766
1.656,1766
1.676,1698
1.7,1698
1.72,1770
1.74,1735
1.76,1735
1.78,1799
1.8,1799
1.82,1804
1.84,1841
1.86,1841
1.88,1882
1.899,1778
1.919,1778
1.939,1850
1.959,1850
1.979,1823
2,1823
2.02,1649
2.04,1893
2.06,1893
2.08,1651
2.1,1651
2.12,1802
2.14,1664
2.16,1664
2.18,1631
2.2,1631
2.22,1669
2.24,1669
2.26,1637
2.28,2211
2.3,2211
2.32,1650
2.34,1650
2.36,2048
2.38,1794
2.4,1794
2.42,2017
2.44,1844
2.46,1844
2.48,2081
2.497,1845
2.517,1845
2.537,2053
2.557,2053
2.577,1790
2.588,2137
2.608,1910
2.628,1910
2.648,2005
2.668,2005
2.681,1858
2.701,1990
2.721,1990
2.741,1831
2.761,2149
2.8,2149
2.82,1826
2.84,2141
2.86,2141
2.88,1802
2.897,1994
2.917,1994
2.937,1815
2.957,1815
2.977,1804
2.996,1840
3.016,1840
3.036,2209
3.056,1788
3.076,1788
3.084,2166
3.104,1801
3.124,1801
3.144,2100
3.164,1814
3.2,1814
3.22,1764
3.24,1764
3.26,2135
3.28,1810
3.3,1810
3.32,1773
3.34,2073
3.36,2073
3.38,1809
3.4,1809
3.42,1733
3.44,1935
3.46,1935
3.48,1772
3.5,1772
3.52,1840
3.54,1769
3.56,1769
3.58,2088
3.599,1767
3.619,1767
3.639,2036
3.659,2036
3.679,1756
3.691,2155
3.711,2155
3.731,1775
3.751,2165
3.771,2165
3.786,1776
3.806,2220
3.826,2220
3.846,1853
3.866,1869
3.9,1869
3.92,2256
3.94,1871
3.96,1871
3.98,2163
3.996,1861
4.016,1861
4.036,2154
4.056,1874
4.076,1874
4.083,2224
4.103,1853
4.123,1853
4.143,2349
4.163,1899
4.2,1899
4.22,2205
4.24,1909
4.26,2267
4.28,2267
4.289,1897
4.309,2401
4.329,2401
4.349,1931
4.369,2364
4.4,2364
4.42,1903
4.44,2312
4.46,1936
4.48,1936
4.485,2282
4.505,1931
4.525,1931
4.545,2067
4.565,1952
4.6,1952
4.62,2193
4.64,1953
4.66,1953
4.68,1880
4.694,2192
4.714,2192
4.734,1928
4.754,1897
4.774,1897
4.783,2296
4.803,1921
4.823,2335
4.843,2335
4.863,1913
4.896,2366
4.916,2366
4.936,2023
4.956,2120
4.976,2120
4.983,2062
5.003,2194
5.023,2175
5.043,2175
5.063,2119
5.096,2055
5.116,2055
5.136,2257
5.156,2201
5.176,2215
5.2,2215
5.22,2161
5.24,2242
5.26,2242
5.28,2109
5.287,2164
5.307,2164
5.327,2164
5.347,2348
5.367,2106
5.394,2410
5.414,2410
5.434,2224
5.454,2196
5.474,2172
5.5,2172
5.52,2396
5.54,2149
5.56,2474
5.58,2474
5.581,2171
5.601,2412
5.621,2273
5.641,2253
5.661,2253
5.685,2316
5.705,2328
5.725,2373
5.745,2373
5.765,2238
5.787,2478
5.807,2374
5.827,2434
5.847,2434
5.867,2405
5.886,2459
5.906,2498
