Time,Exhaust_Temp
288.312,545
288.362,546
288.412,547
288.462,548
288.512,549
288.562,550
288.612,551
288.662,552
288.712,553
288.762,554
288.812,554.5
288.862,555.5
288.912,556.5
288.962,557
289.012,558
289.062,558.5
289.112,559
289.162,559.5
289.212,560
289.262,560
289.312,560.5
289.362,561
289.412,561.5
289.462,561.5
289.512,562
289.562,562
289.612,562.5
289.662,562.5
289.712,563
289.762,563
289.812,563
289.862,563
289.912,563
289.961,563
290.011,563
290.061,563
290.111,563
290.161,563
290.211,563
290.261,563
290.311,563
290.361,563.5
290.411,563.5
290.461,563.5
290.511,563.5
290.561,564
290.611,564
290.661,564.5
290.711,564.5
290.761,565
290.811,565.5
290.861,566
290.911,566.5
290.961,566.5
291.011,567
291.061,567.5
291.111,568
291.161,568.5
291.211,568.5
291.261,569
291.311,569.5
291.361,570.5
291.411,571
291.461,571.5
291.511,572
291.561,573
291.611,573.5
291.661,574
291.711,574.5
291.761,575.5
291.811,575.5
291.861,576
291.911,576.5
291.961,577
292.011,577.5
292.061,578
292.111,578.5
292.161,579
292.211,579.5
292.261,580.5
292.311,581
292.361,581.5
292.411,582
292.461,583
292.511,583.5
292.56,584
292.61,584.5
292.66,585
292.71,586
292.76,586.5
292.81,587
292.86,587.5
292.91,588
292.96,588.5
293.01,589
293.06,589.5
293.11,590
293.16,590.5
293.21,591
293.26,591.5
293.31,592
293.36,592.5
293.41,593
293.46,593.5
293.51,593.5
293.56,594
293.61,594
293.66,594.5
293.71,594.5
293.76,594.5
293.81,594.5
293.86,594.5
293.91,594.5
293.96,594.5
294.01,594.5
294.06,594
294.11,594
294.16,593.5
294.21,593.5
294.26,593.5
294.31,593
294.36,592.5
294.41,592.5
294.46,592
294.51,591.5
294.56,591
294.61,590.5
294.66,590
294.71,589.5
294.76,589
294.81,588.5
294.86,588
294.91,587.5
294.96,587
295.01,587
295.06,586.5
295.11,586
295.159,585.5
295.209,585
295.259,584
295.309,583
295.359,582
295.409,581
295.459,579.5
295.509,578
295.559,576.5
295.609,574.5
295.659,572.5
295.709,571
295.759,569
295.809,566.5
295.859,564.5
295.909,562.5
295.959,560
296.009,558
296.059,556
296.109,554
296.159,552
296.209,550
296.259,548
296.309,545.5
296.359,543.5
296.409,541.5
296.459,539.5
296.509,537.5
296.559,535.5
296.609,533
296.659,531
296.709,529
296.759,527
296.809,525
296.859,523
296.909,521
296.959,519
297.009,517
297.059,514.5
297.109,512.5
297.159,510.75
297.209,508.5
297.259,506.5
297.309,504.25
297.359,502.25
297.409,500.25
297.459,498.25
297.509,496.25
297.559,494.75
297.609,493
297.659,491.75
297.709,490.5
297.759,489.25
297.808,488.25
297.858,487.5
297.908,486.5
297.958,485.75
298.008,485
298.058,484.5
298.108,483.75
298.158,483.25
298.208,482.75
298.258,482.5
298.308,482.25
298.358,482
298.408,481.75
298.458,481.5
298.508,481.5
298.558,481.25
298.608,481.25
298.658,481
298.708,480.75
298.758,480.75
298.808,480.5
298.858,480
298.908,479.5
298.958,479
299.008,478.25
299.058,477.5
299.108,476.5
299.158,475.5
299.208,474.75
299.258,473.75
299.308,472.75
299.358,472
299.408,471.25
299.458,470.75
299.508,470.25
299.558,469.75
299.608,469.5
299.658,469.5
299.708,469.25
299.758,469.25
299.808,469.25
299.858,469.25
299.908,469.25
299.958,469.5
300.008,469.5
300.058,470
300.108,470.25
300.158,470.5
300.208,471
300.258,471.5
300.308,472
300.358,472.5
300.407,473.25
300.457,474
300.507,474.75
300.557,475.5
300.607,476.25
300.657,477
300.707,477.75
300.757,478.5
300.807,479.25
300.857,480
300.907,480.75
300.957,481.75
301.007,482.5
301.057,483.25
301.107,484
301.157,484.75
301.207,485.75
301.257,486.5
301.307,487.25
301.357,487.75
301.407,488.25
301.457,488.5
301.507,488.5
301.557,488.75
301.607,488.75
301.657,488.75
301.707,488.75
301.757,488.75
301.807,488.5
301.857,488.5
301.907,488.25
301.957,488
302.007,487.5
302.057,487
302.107,486.25
302.157,485.5
302.207,484.5
302.257,483.5
302.307,482.5
302.357,481.25
302.407,480
302.457,478.75
302.507,477.25
302.557,475.75
302.607,474.25
302.657,472.75
302.707,471.25
302.757,469.5
302.807,468
302.857,466.75
302.907,465.25
302.957,463.75
303.007,462.5
303.056,461.25
303.106,460
303.156,458.75
303.206,458
303.256,457
303.306,456.5
303.356,455.75
303.406,455.5
303.456,455
303.506,454.75
303.556,454.75
303.606,454.5
303.656,454.5
303.706,454.5
303.756,454.5
303.806,454.75
303.856,455
303.906,455.25
303.956,455.75
304.006,456.25
304.056,457
304.106,457.5
304.156,458
304.206,458.75
304.256,459.25
304.306,460
304.356,460.75
304.406,461.5
304.456,462.25
304.506,463.25
304.556,464
304.606,464.75
304.656,465.75
304.706,466.75
304.756,467.5
304.806,468.5
304.856,469.5
304.906,470.5
304.956,471.5
305.006,472.5
305.056,473.5
305.106,474.5
305.156,475.5
305.206,476.5
305.256,477.25
305.306,478.25
305.356,479.25
305.406,480
305.456,481
305.506,482
305.556,482.75
305.606,483.5
305.655,484.5
305.705,485.25
305.755,486
305.805,486.75
305.855,487.75
305.905,488.5
305.955,489.25
306.005,490.25
306.055,491
306.105,491.75
306.155,492.75
306.205,493.5
306.255,494.5
306.305,495.5
306.355,496.25
306.405,497.25
306.455,498.25
306.505,499.25
306.555,500.25
306.605,501
306.655,502
306.705,503
306.755,503.75
306.805,504.75
306.855,505.75
306.905,506.5
306.955,507.25
307.005,507.75
307.055,508.25
307.105,508.5
307.155,508.5
307.205,508.5
307.255,508.25
307.305,507.75
307.355,507.25
307.405,506.5
307.455,505.5
307.505,504.5
307.555,503.5
307.605,502
307.655,500.75
307.705,499.25
307.755,497.75
307.805,496
307.855,494.5
307.905,492.75
307.955,490.75
308.005,489
308.055,487.25
308.105,485.25
308.155,483.25
308.205,481.5
308.255,479.5
308.304,477.5
308.354,475.5
308.404,473.5
308.454,471.25
308.504,469.25
308.554,467
308.604,465
308.654,462.75
308.704,460.75
308.754,458.5
308.804,456.75
308.854,454.75
308.904,453
308.954,451.5
309.004,450
309.054,448.5
309.104,447.25
309.154,446.25
309.204,445.25
309.254,444.5
309.304,443.75
309.354,443
309.404,442.25
309.454,441.75
309.504,441.25
309.554,441
309.604,440.5
309.654,440.25
309.704,440.25
309.754,440
309.804,440
309.854,440
309.904,440
309.954,440
310.004,440
310.054,440.25
310.104,440.25
310.154,440.5
310.204,440.75
310.254,440.75
310.304,441
310.354,441.5
310.404,441.75
310.454,442.25
310.504,443
310.554,443.5
310.604,444.25
310.654,444.75
310.704,445.5
310.754,446.25
310.804,447
310.854,447.75
310.904,448.5
310.953,449.25
311.003,450.25
311.053,451
311.103,452
311.153,453
311.203,453.75
311.253,454.75
311.303,455.75
311.353,456.75
311.403,457.75
311.453,458.75
311.503,459.75
311.553,460.75
311.603,461.5
311.653,462.5
311.703,463.5
311.753,464.5
311.803,465.5
311.853,466.75
311.903,467.75
311.953,469
312.003,470
312.053,471
312.103,471.75
312.153,472.75
312.203,473.75
312.253,475
312.303,476
312.353,477.25
312.403,478.25
312.453,479.25
312.503,480
312.553,481
312.603,481.75
312.653,482.75
312.703,483.75
312.753,484.5
312.803,485.5
312.853,486.5
312.903,487.25
312.953,488
313.003,488.75
313.053,489.5
313.103,490
313.153,490.5
313.203,491
313.253,491.25
313.303,491.25
313.353,491.5
313.403,491.5
313.453,491.75
313.503,491.75
313.552,492
313.602,492
313.652,492.25
313.702,492.25
313.752,492.5
313.802,492.75
313.852,492.75
313.902,493
313.952,493.25
314.002,493.5
314.052,493.5
314.102,493.75
314.152,493.75
314.202,493.75
314.252,493.75
314.302,493.75
314.352,493.75
314.402,493.75
314.452,493.75
314.502,493.75
314.552,493.75
314.602,493.75
314.652,493.75
314.702,493.75
314.752,493.75
314.802,493.75
314.852,493.75
314.902,493.75
314.952,494
315.002,494.25
315.052,494.5
315.102,494.5
315.152,494.75
315.202,495
315.252,495
315.302,495
315.352,495.25
315.402,495.25
315.452,495.5
315.502,495.75
315.552,496
315.602,496.25
315.652,496.5
315.702,496.75
315.752,497.25
315.802,497.75
315.852,498.25
315.902,498.75
315.952,499.25
316.002,499.75
316.052,500.25
316.102,500.75
316.151,501.5
316.201,502
316.251,502.75
316.301,503.5
316.351,504
316.401,504.75
316.451,505.25
316.501,505.75
316.551,506.5
316.601,507
316.651,507.75
316.701,508.25
316.751,509
316.801,509.75
316.851,510.75
316.901,511.5
316.951,512
317.001,513
317.051,513.5
317.101,514
317.151,514.5
317.201,515
317.251,515
317.301,515.5
317.351,515
317.401,515
317.451,514.5
317.501,514
317.551,513.5
317.601,512.5
317.651,511.75
317.701,510.5
317.751,509.5
317.801,508.25
317.851,507
317.901,505.5
317.951,504.25
318.001,502.75
318.051,501
318.101,499.5
318.151,497.75
318.201,496
318.251,494.25
318.301,492.5
318.351,490.75
318.401,488.75
318.451,487
318.501,485
318.551,483
318.601,481
318.651,479
318.701,477
318.751,475
318.8,472.75
318.85,470.75
318.9,468.75
318.95,466.75
319,465
319.05,463.25
319.1,461.5
319.15,459.75
319.2,458.25
319.25,456.75
319.3,455.25
319.35,454
319.4,453
319.45,452
319.5,451
319.55,450.25
319.6,449.75
319.65,449
319.7,448.5
319.75,448.25
319.8,447.75
319.85,447.5
319.9,447.25
319.95,447
320,446.75
320.05,446.5
320.1,446.25
320.15,446.25
320.2,446
320.25,446
320.3,446
320.35,446.25
320.4,446.25
320.45,446.25
320.5,446.5
320.55,446.75
320.6,446.75
320.65,447
320.7,447.25
320.75,447.5
320.8,448
320.85,448.25
320.9,448.5
320.95,449
321,449.5
321.05,449.75
321.1,450.25
321.15,450.75
321.2,451.25
321.25,451.75
321.3,452.25
321.35,452.75
321.399,453.25
321.45,453.75
321.499,454.25
321.549,454.75
321.599,455
321.649,455.25
321.699,455.25
321.749,455
321.799,454.75
321.849,454.5
321.899,454
321.949,453.25
321.999,452.5
322.049,451.5
322.099,450.5
322.149,449.5
322.199,448.25
322.249,447
322.299,445.75
322.349,444.5
322.399,443.25
322.449,442
322.499,440.75
322.549,439.5
322.599,438.25
322.649,437.25
322.699,436.25
322.749,435.5
322.799,434.75
322.849,434.25
322.899,433.5
322.949,433.25
322.999,432.75
323.049,432.5
323.099,432.25
323.149,432
323.199,431.75
323.249,431.75
323.299,431.75
323.349,431.75
323.399,431.75
323.449,432
323.499,432.25
323.549,432.5
323.599,432.75
323.649,433
323.699,433.5
323.749,433.75
323.799,434.25
323.849,434.75
323.899,435.25
323.949,435.5
323.999,436.25
324.048,436.75
324.098,437.5
324.148,438.25
324.198,439.25
324.248,440
324.298,440.75
324.348,441.75
324.398,442.5
324.448,443.5
324.498,444.25
324.548,445
324.598,446
324.648,446.75
324.698,447.75
324.748,448.75
324.798,449.75
324.848,451
324.898,452
324.948,453
324.998,454
325.048,455.25
325.098,456.25
325.148,457.25
325.198,458.25
325.248,459.5
325.298,460.5
325.348,461.5
325.398,462.75
325.448,463.75
325.498,464.75
325.548,466
325.598,467
325.648,468
325.698,469
325.748,470
325.798,470.75
325.848,471.75
325.898,472.75
325.948,473.75
325.998,474.5
326.048,475.5
326.098,476.25
326.148,477.25
326.198,478.25
326.248,479.25
326.298,480.25
326.348,481.25
326.398,482.25
326.448,483
326.498,484
326.548,485
326.598,485.75
326.647,486.75
326.697,487.5
326.747,488.5
326.797,489.25
326.847,490
326.897,490.75
326.947,491.25
326.997,491.75
