Time,AccelerometerZ
339.043,-1.408203125
339.053,-1.486328125
339.063,-1.5107421875
339.073,-1.455078125
339.083,-1.314453125
339.093,-1.1357421875
339.103,-0.984375
339.113,-0.89892578125
339.123,-0.87255859375
339.132,-0.8720703125
339.142,-0.87841796875
339.152,-0.89794921875
339.162,-0.9287109375
339.172,-0.94189453125
339.182,-0.9091796875
339.192,-0.82763671875
339.202,-0.7265625
339.212,-0.6591796875
339.222,-0.6669921875
339.232,-0.73974609375
339.242,-0.83251953125
339.252,-0.92724609375
339.262,-1.0439453125
339.272,-1.1953125
339.282,-1.3515625
339.292,-1.4345703125
339.302,-1.3896484375
339.312,-1.240234375
339.322,-1.0751953125
339.331,-0.9736328125
339.341,-0.94140625
339.351,-0.9267578125
339.361,-0.8828125
339.371,-0.81103515625
339.381,-0.74755859375
339.391,-0.71484375
339.401,-0.689453125
339.411,-0.63623046875
339.421,-0.54736328125
339.431,-0.430419921875
339.441,-0.2958984375
339.451,-0.1595458984375
339.461,-0.038848876953125
339.471,0.036163330078125
339.481,0.00567626953125
339.491,-0.1787109375
339.501,-0.485107421875
339.511,-0.8212890625
339.521,-1.11328125
339.529,-1.33203125
339.539,-1.4794921875
339.549,-1.5556640625
339.559,-1.5576171875
339.569,-1.4873046875
339.579,-1.353515625
339.589,-1.19140625
339.599,-1.048828125
339.609,-0.9580078125
339.619,-0.90283203125
339.629,-0.8408203125
339.639,-0.74951171875
339.649,-0.6484375
339.659,-0.56787109375
339.669,-0.5107421875
339.679,-0.461181640625
339.689,-0.419921875
339.699,-0.42236328125
339.709,-0.50830078125
339.719,-0.669921875
339.723,-1.1171875
339.733,-1.123046875
339.743,-1.0634765625
339.753,-0.92529296875
339.763,-0.748046875
339.773,-0.599609375
339.783,-0.5341796875
339.793,-0.55078125
339.803,-0.5908203125
339.813,-0.60107421875
339.823,-0.58544921875
339.833,-0.587890625
339.843,-0.64404296875
339.853,-0.75048828125
339.863,-0.859375
339.873,-0.91845703125
339.882,-0.919921875
339.892,-0.88916015625
339.902,-0.84912109375
339.912,-0.79052734375
339.922,-0.68603515625
339.932,-0.54345703125
339.942,-0.425537109375
339.952,-0.408203125
339.962,-0.51806640625
339.972,-0.712890625
339.982,-0.91552734375
339.992,-1.0712890625
340.002,-1.173828125
