Time,GPS_Nsat
135.4,15
135.5,16
135.6,16
135.7,16
135.8,16
135.9,16
136,16
136.1,16
136.2,16
136.3,16
136.4,16
136.5,16
136.6,16
136.7,16
136.8,16
136.9,16
137,16
137.1,16
137.2,16
137.3,16
137.4,15
137.5,15
137.6,15
137.7,14
137.8,14
137.9,14
138,14
138.1,14
138.2,14
138.3,14
138.4,14
138.5,14
138.6,14
138.7,14
138.8,14
138.9,14
139,14
139.1,14
139.2,14
139.3,14
139.4,14
139.5,14
139.6,15
139.7,15
139.8,15
139.9,15
140,15
140.1,15
140.2,15
140.3,15
140.4,15
140.5,15
140.6,15
140.7,15
140.8,15
140.9,15
141,15
141.1,15
141.2,15
141.3,15
141.4,15
141.5,15
141.6,15
141.7,15
141.8,15
141.9,15
142,15
142.1,15
142.2,15
142.3,15
142.4,15
142.5,15
142.6,15
142.7,15
142.8,15
142.9,15
143,15
143.1,15
143.2,15
143.3,15
143.4,15
143.5,15
143.6,15
143.7,15
143.8,15
143.9,15
144,15
144.1,15
144.2,15
144.3,15
144.4,15
144.5,15
144.6,15
144.7,15
144.8,15
144.9,15
145,15
145.1,15
145.2,15
145.3,15
145.4,15
145.5,15
145.6,15
145.7,15
145.8,15
145.9,15
146,15
146.1,15
146.2,15
146.3,15
146.4,15
146.5,15
146.6,15
146.7,15
146.8,15
146.9,15
147,15
147.1,15
147.2,15
147.3,15
147.4,15
147.5,16
147.6,16
147.7,16
147.8,16
147.9,16
148,16
148.1,16
148.2,16
148.3,16
148.4,16
148.5,16
148.6,16
148.7,16
148.8,16
148.9,16
149,16
149.1,16
149.2,16
149.3,16
149.4,16
149.5,16
149.6,16
149.7,15
149.8,15
149.9,15
150,15
150.1,15
150.2,15
150.3,15
150.4,15
150.5,15
150.6,15
150.7,15
150.8,15
150.9,15
151,15
151.1,15
151.2,15
151.3,15
151.4,15
151.5,16
151.6,16
151.7,16
151.8,16
151.9,16
152,16
152.1,16
152.2,16
152.3,16
152.4,16
152.5,16
152.6,16
152.7,16
152.8,16
152.9,16
153,16
153.1,16
153.2,16
153.3,16
153.4,16
153.5,16
153.6,16
153.7,16
153.8,16
153.9,16
154,16
154.1,16
154.2,16
154.3,16
154.4,16
154.5,16
154.6,16
154.7,16
154.8,16
154.9,16
155,16
155.1,16
155.2,15
155.3,15
155.4,15
155.5,15
155.6,15
155.7,15
155.8,15
155.9,15
156,15
156.1,15
156.2,15
156.3,15
156.4,15
156.5,15
156.6,15
156.7,16
156.8,16
156.9,15
157,16
157.1,16
157.2,16
157.3,16
157.4,16
157.5,16
157.6,16
157.7,16
157.8,16
157.9,15
158,16
158.1,16
158.2,16
158.3,16
158.4,16
158.5,16
158.6,16
158.7,16
158.8,16
158.9,16
159,16
159.1,16
159.2,16
159.3,16
159.4,16
159.5,16
159.6,16
159.7,16
159.8,16
159.9,16
160,16
160.1,16
160.2,15
160.3,15
160.4,15
160.5,15
160.6,15
160.7,15
160.8,15
160.9,15
161,14
161.1,15
161.2,15
161.3,15
161.4,15
161.5,15
161.6,15
161.7,15
161.8,15
161.9,15
162,15
162.1,15
162.2,15
162.3,15
162.4,15
162.5,15
162.6,15
162.7,15
162.8,15
162.9,15
163,15
163.1,15
163.2,15
163.3,15
163.4,15
163.5,15
163.6,15
163.7,15
163.8,15
163.9,15
164,15
164.1,15
164.2,15
164.3,15
164.4,15
164.5,15
164.6,15
164.7,15
164.8,15
164.9,15
165,15
165.1,15
165.2,15
165.3,15
165.4,15
165.5,15
165.6,15
165.7,15
165.8,15
165.9,15
166,15
166.1,15
166.2,15
166.3,15
166.4,15
166.5,15
166.6,15
166.7,15
166.8,15
166.9,15
167,15
167.1,14
167.2,15
167.3,15
167.4,15
167.5,15
167.6,15
167.7,15
167.8,15
167.9,15
168,15
168.1,16
168.2,16
168.3,16
168.4,16
168.5,16
168.6,16
168.7,16
168.8,16
168.9,16
169,16
169.1,16
169.2,16
169.3,16
169.4,16
169.5,16
169.6,16
169.7,16
169.8,16
169.9,16
170,16
170.1,16
170.2,16
170.3,16
170.4,16
170.5,16
170.6,16
170.7,16
170.8,16
170.9,16
171,16
171.1,15
171.2,15
171.3,15
171.4,15
171.5,15
171.6,15
171.7,15
171.8,15
171.9,15
172,15
172.1,15
172.2,15
172.3,15
172.4,15
172.5,15
172.6,15
172.7,16
172.8,16
172.9,16
173,16
173.1,16
173.2,16
173.3,16
173.4,16
173.5,16
173.6,16
173.7,16
173.8,16
173.9,16
174,16
174.1,16
174.2,16
174.3,16
174.4,16
174.5,16
174.6,16
174.7,16
174.8,16
174.9,16
175,16
175.1,16
175.2,16
175.3,16
175.4,16
175.5,16
175.6,16
175.7,16
175.8,16
175.9,16
176,16
176.1,16
176.2,16
176.3,16
176.4,16
176.5,16
176.6,16
176.7,16
176.8,16
176.9,16
177,16
177.1,16
177.2,16
177.3,16
177.4,16
177.5,16
177.6,16
177.7,16
177.8,16
177.9,16
178,16
178.1,16
178.2,16
178.3,16
178.4,16
178.5,16
178.6,16
178.7,16
178.8,16
178.9,16
179,16
179.1,16
179.2,16
179.3,16
179.4,16
179.5,15
179.6,16
179.7,16
179.8,16
179.9,16
180,16
180.1,16
180.2,16
180.3,16
180.4,16
180.5,16
180.6,16
180.7,16
180.8,16
180.9,16
181,16
181.1,16
181.2,16
181.3,16
181.4,16
181.5,16
181.6,16
181.7,16
181.8,16
181.9,16
182,16
182.1,16
182.2,16
182.3,16
182.4,16
182.5,16
182.6,16
182.7,16
182.8,16
182.9,16
183,16
183.1,16
183.2,16
183.3,16
183.4,16
183.5,16
183.6,16
183.7,16
183.8,16
183.9,16
184,16
184.1,16
184.2,16
184.3,16
184.4,16
184.5,16
184.6,16
184.7,16
184.8,16
184.9,16
185,16
185.1,16
185.2,15
185.3,15
185.4,15
185.5,15
185.6,15
185.7,15
185.8,14
185.9,14
186,16
186.1,16
186.2,16
186.3,16
