Time,N_Satellites
489.38,15
489.52,16
489.63,15
489.77,15
489.88,15
490.02,15
490.13,15
490.27,15
490.38,16
490.52,15
490.63,16
490.77,16
490.88,16
491.02,15
491.13,15
491.27,15
491.38,15
491.52,15
491.63,15
491.77,15
491.88,15
492.02,15
492.13,15
492.27,15
492.38,15
492.52,15
492.63,15
492.77,15
492.88,15
493.02,15
493.13,15
493.27,15
493.38,15
493.52,15
493.63,15
493.77,15
493.88,15
494.02,15
494.13,15
494.27,15
494.38,15
494.52,15
494.63,15
494.77,15
494.88,15
495.02,15
495.13,15
495.27,15
495.38,15
495.52,15
495.63,15
495.77,15
495.88,15
496.02,15
496.13,15
496.27,15
496.38,15
496.52,15
496.63,15
496.77,15
496.88,15
497.02,15
497.13,15
497.27,15
497.38,15
497.52,15
497.63,15
497.769,15
497.88,15
498.019,15
498.13,15
498.269,15
498.38,15
498.519,15
498.63,15
498.769,15
498.88,15
499.019,15
499.13,15
499.269,15
499.38,15
499.519,15
499.63,15
499.769,15
499.88,15
500.019,15
500.13,15
500.269,15
500.38,15
500.519,15
500.63,15
500.769,15
500.88,15
501.019,15
501.13,15
501.269,15
501.38,15
501.519,15
501.63,15
501.769,15
501.88,15
502.019,15
502.13,15
502.269,15
502.38,15
502.519,15
502.63,15
502.769,15
502.88,15
503.019,15
503.13,15
503.269,15
503.38,15
503.519,15
503.63,15
503.769,15
503.88,15
504.019,15
504.13,15
504.269,15
504.38,15
504.519,15
504.63,15
504.769,15
504.88,15
505.019,15
505.13,15
505.269,15
505.38,15
505.519,15
505.63,15
505.769,15
505.88,15
506.019,15
506.13,15
506.269,15
506.38,15
506.519,15
506.63,15
506.769,15
506.88,15
507.019,15
507.13,15
507.269,15
507.38,15
507.519,15
507.63,15
507.769,15
507.88,15
508.019,15
508.13,15
508.269,15
508.38,15
508.518,15
508.63,15
508.768,15
508.88,15
509.018,15
509.13,16
509.268,16
509.38,16
509.518,16
509.63,16
509.768,16
509.88,16
510.018,16
510.13,16
510.268,16
510.38,16
510.518,16
510.63,16
510.768,16
510.88,16
511.018,16
511.13,16
511.268,16
511.38,16
511.518,16
511.63,16
511.768,16
511.88,16
512.018,16
512.13,16
512.268,16
512.38,16
512.518,16
512.63,15
512.768,15
512.88,15
513.018,15
513.13,15
513.268,15
513.38,15
513.518,15
513.63,15
513.768,15
513.88,15
514.018,15
514.13,16
514.268,15
514.38,15
514.518,15
514.63,16
514.768,15
514.88,16
515.018,16
515.13,16
515.268,16
515.38,16
515.518,16
515.63,16
515.768,16
515.88,16
516.018,16
516.13,16
516.268,16
516.38,16
516.518,16
516.63,16
516.768,16
516.88,16
517.018,16
517.13,16
517.268,16
517.38,16
517.518,16
517.63,16
517.768,16
517.88,16
518.018,16
518.13,16
518.268,16
518.38,16
518.518,16
518.63,16
518.768,16
518.88,16
519.017,16
519.13,16
519.267,16
519.38,16
519.517,16
519.63,16
519.767,16
519.88,16
520.017,16
520.13,16
520.267,16
520.38,16
520.517,16
520.63,16
520.767,16
520.88,16
521.017,16
521.13,16
521.267,16
521.38,16
521.517,16
521.63,16
521.767,16
521.88,16
522.017,16
522.13,16
522.267,16
522.38,16
522.517,16
522.63,16
522.767,16
522.88,16
523.017,16
523.13,16
523.267,16
523.38,16
523.517,16
523.63,16
523.767,16
523.88,16
524.017,16
524.13,16
524.267,16
524.38,16
524.517,16
524.63,16
524.767,16
524.88,16
525.017,16
525.13,16
525.267,16
525.38,16
525.517,16
525.63,16
525.767,16
525.88,16
526.017,16
526.13,16
526.267,16
526.38,16
526.517,16
526.63,16
526.767,16
526.88,16
527.017,16
527.13,16
527.267,16
527.38,16
527.517,16
527.63,16
527.767,16
527.88,16
528.017,16
528.13,16
528.267,16
528.38,16
528.517,16
528.63,16
528.767,16
528.88,16
529.017,16
529.13,16
529.267,16
529.38,16
529.517,16
529.63,16
529.766,16
529.88,16
530.016,16
530.13,16
530.266,16
530.38,16
530.516,16
530.63,16
530.766,16
530.88,16
531.016,16
531.13,16
531.266,16
531.38,16
531.516,16
531.63,16
531.766,16
531.88,16
532.016,15
532.13,15
532.266,16
532.38,15
532.516,15
532.63,15
532.766,15
532.88,16
533.016,16
533.13,16
533.266,16
533.38,16
533.516,16
533.63,16
533.766,16
533.88,16
534.016,16
534.13,16
534.266,16
534.38,16
534.516,16
534.63,16
534.766,16
534.88,16
535.016,16
535.13,15
535.266,15
535.38,15
535.516,15
535.63,15
535.766,15
535.88,15
536.016,15
536.13,15
536.266,15
536.38,15
536.516,15
536.63,15
536.766,15
536.88,15
537.016,15
537.13,15
537.266,15
537.38,15
537.516,15
537.63,15
537.766,15
537.88,15
538.016,15
538.13,15
538.266,15
538.38,15
538.516,14
538.63,15
538.766,15
538.88,15
539.016,15
539.13,14
539.266,15
539.38,15
