Time,ECEF_velocity_Y
539.641,1.71
539.749,1.75
539.891,1.8
539.999,1.45
540.141,1.53
540.249,1.49
540.39,1.73
540.499,1.9
540.64,2.29
540.749,2.56
540.89,3.35
540.999,4.45
541.14,5.91
541.249,7.3
541.39,8.85
541.499,10.74
541.64,12.26
541.749,14.09
541.89,15.66
541.999,17.52
542.14,19.07
542.249,20.58
542.39,22.11
542.499,22.77
542.64,23.65
542.749,24.8
542.89,25.84
542.999,27.43
543.14,28.75
543.249,29.47
543.39,29.85
543.499,30.12
543.64,30.3
543.749,30.34
543.89,30.37
543.999,30.43
544.14,30.46
544.249,30.67
544.39,30.8
544.499,30.98
544.64,31.13
544.749,31.27
544.89,31.23
544.999,30.44
545.14,29.72
545.249,29.27
545.39,28.69
545.499,27.94
545.64,27.64
545.749,27.63
545.89,27.18
545.999,27.1
546.14,27.08
546.249,26.86
546.39,26.26
546.499,24.75
546.64,23.38
546.749,22.16
546.89,20.37
546.999,18.69
547.14,16.82
547.249,14.74
547.39,12.72
547.499,10.51
547.64,7.92
547.749,5.88
547.89,3.54
547.999,1.66
548.14,-0.48
548.249,-3.14
548.39,-5.65
548.499,-7.84
548.64,-10.23
548.749,-12.14
548.89,-14.06
548.999,-15.65
549.14,-17.71
549.249,-18.59
549.39,-19.89
549.499,-20.69
549.64,-21.88
549.749,-22.3
549.89,-22.52
549.999,-22.36
550.14,-22.14
550.249,-21.86
550.39,-21.35
550.499,-20.83
550.64,-20.38
550.749,-19.84
550.89,-19.51
550.999,-19.42
551.139,-19.49
551.249,-19.95
551.389,-20.62
551.499,-21.31
551.639,-22.2
551.749,-23.2
551.889,-24.13
551.999,-25.13
552.139,-25.75
552.249,-25.92
552.389,-25.53
552.499,-25.23
552.639,-24.75
552.749,-23.97
552.889,-23.08
552.999,-22.18
553.139,-21.25
553.249,-19.98
553.389,-18.92
553.499,-17.57
553.639,-16.36
553.749,-15.24
553.889,-13.12
553.999,-11.84
554.139,-9.63
554.249,-7.7
554.389,-5.28
554.499,-3.32
554.639,-1.45
554.749,-0.28
554.889,0.15
554.999,0.25
555.139,0.23
555.249,-1.1
555.389,-2.27
555.499,-3.72
555.639,-4.66
555.749,-5.75
555.889,-6.95
555.999,-8.25
556.139,-9.57
556.249,-10.6
556.389,-11.69
556.499,-12.44
556.639,-12.81
556.749,-12.79
556.889,-12.34
556.999,-11.53
557.139,-10.6
557.249,-9.48
557.389,-8.32
557.499,-7.55
557.639,-6.83
557.749,-5.59
557.889,-4.47
557.999,-3.21
558.139,-1.72
558.249,-0.21
558.389,1.55
558.499,3.27
558.639,5.03
558.749,6.54
558.889,8.37
558.999,9.88
559.139,11.38
559.249,12.75
559.389,14.12
559.499,14.88
559.639,15.64
559.749,16.36
559.889,16.17
559.999,15.93
560.139,15.6
560.249,14.89
560.389,14.37
560.499,13.1
560.639,11.87
560.749,10.73
560.889,9.47
560.999,7.99
561.139,6.79
561.249,5.66
561.389,4.09
561.499,2.84
561.638,1.81
561.749,0.56
561.888,-0.19
561.999,-0.56
562.138,-0.71
562.249,-0.41
562.388,-0.12
562.499,0.56
562.638,1.42
