Time,Week_N
539.641,1880
539.749,1880
539.891,1880
539.999,1880
540.141,1880
540.249,1880
540.39,1880
540.499,1880
540.64,1880
540.749,1880
540.89,1880
540.999,1880
541.14,1880
541.249,1880
541.39,1880
541.499,1880
541.64,1880
541.749,1880
541.89,1880
541.999,1880
542.14,1880
542.249,1880
542.39,1880
542.499,1880
542.64,1880
542.749,1880
542.89,1880
542.999,1880
543.14,1880
543.249,1880
543.39,1880
543.499,1880
543.64,1880
543.749,1880
543.89,1880
543.999,1880
544.14,1880
544.249,1880
544.39,1880
544.499,1880
544.64,1880
544.749,1880
544.89,1880
544.999,1880
545.14,1880
545.249,1880
545.39,1880
545.499,1880
545.64,1880
545.749,1880
545.89,1880
545.999,1880
546.14,1880
546.249,1880
546.39,1880
546.499,1880
546.64,1880
546.749,1880
546.89,1880
546.999,1880
547.14,1880
547.249,1880
547.39,1880
547.499,1880
547.64,1880
547.749,1880
547.89,1880
547.999,1880
548.14,1880
548.249,1880
548.39,1880
548.499,1880
548.64,1880
548.749,1880
548.89,1880
548.999,1880
549.14,1880
549.249,1880
549.39,1880
549.499,1880
549.64,1880
549.749,1880
549.89,1880
549.999,1880
550.14,1880
550.249,1880
550.39,1880
550.499,1880
550.64,1880
550.749,1880
550.89,1880
550.999,1880
551.139,1880
551.249,1880
551.389,1880
551.499,1880
551.639,1880
551.749,1880
551.889,1880
551.999,1880
552.139,1880
552.249,1880
552.389,1880
552.499,1880
552.639,1880
552.749,1880
552.889,1880
552.999,1880
553.139,1880
553.249,1880
553.389,1880
553.499,1880
553.639,1880
553.749,1880
553.889,1880
553.999,1880
554.139,1880
554.249,1880
554.389,1880
554.499,1880
554.639,1880
554.749,1880
554.889,1880
554.999,1880
555.139,1880
555.249,1880
555.389,1880
555.499,1880
555.639,1880
555.749,1880
555.889,1880
555.999,1880
556.139,1880
556.249,1880
556.389,1880
556.499,1880
556.639,1880
556.749,1880
556.889,1880
556.999,1880
557.139,1880
557.249,1880
557.389,1880
557.499,1880
557.639,1880
557.749,1880
557.889,1880
557.999,1880
558.139,1880
558.249,1880
558.389,1880
558.499,1880
558.639,1880
558.749,1880
558.889,1880
558.999,1880
559.139,1880
559.249,1880
559.389,1880
559.499,1880
559.639,1880
559.749,1880
559.889,1880
559.999,1880
560.139,1880
560.249,1880
560.389,1880
560.499,1880
560.639,1880
560.749,1880
560.889,1880
560.999,1880
561.139,1880
561.249,1880
561.389,1880
561.499,1880
561.638,1880
561.749,1880
561.888,1880
561.999,1880
562.138,1880
562.249,1880
562.388,1880
562.499,1880
562.638,1880
562.749,1880
562.888,1880
562.999,1880
563.138,1880
563.249,1880
563.388,1880
563.499,1880
563.638,1880
563.749,1880
563.888,1880
563.999,1880
564.138,1880
564.249,1880
564.388,1880
564.499,1880
564.638,1880
564.749,1880
564.888,1880
564.999,1880
565.138,1880
565.249,1880
565.388,1880
565.499,1880
565.638,1880
565.749,1880
565.888,1880
565.999,1880
566.138,1880
566.249,1880
566.388,1880
566.499,1880
566.638,1880
566.749,1880
566.888,1880
566.999,1880
567.138,1880
567.249,1880
567.388,1880
567.499,1880
567.638,1880
567.749,1880
567.888,1880
567.999,1880
568.138,1880
568.249,1880
568.388,1880
568.499,1880
568.638,1880
568.749,1880
568.888,1880
568.999,1880
569.138,1880
569.249,1880
569.388,1880
569.499,1880
569.638,1880
569.749,1880
569.888,1880
569.999,1880
570.138,1880
570.249,1880
570.388,1880
570.499,1880
570.638,1880
570.749,1880
570.888,1880
570.999,1880
571.138,1880
571.249,1880
571.388,1880
571.499,1880
571.638,1880
571.749,1880
571.888,1880
571.999,1880
572.138,1880
572.249,1880
572.387,1880
572.499,1880
572.637,1880
572.749,1880
572.887,1880
572.999,1880
573.137,1880
573.249,1880
573.387,1880
573.499,1880
573.637,1880
573.749,1880
573.887,1880
573.999,1880
574.137,1880
574.249,1880
574.387,1880
574.499,1880
574.637,1880
574.749,1880
574.887,1880
574.999,1880
575.137,1880
575.249,1880
575.387,1880
575.499,1880
575.637,1880
575.749,1880
575.887,1880
575.999,1880
576.137,1880
576.249,1880
576.387,1880
576.499,1880
576.637,1880
576.749,1880
576.887,1880
576.999,1880
577.137,1880
577.249,1880
577.387,1880
577.499,1880
577.637,1880
577.749,1880
577.887,1880
577.999,1880
578.137,1880
578.249,1880
578.387,1880
578.499,1880
578.637,1880
578.749,1880
578.887,1880
578.999,1880
579.137,1880
579.249,1880
579.387,1880
579.499,1880
579.637,1880
579.749,1880
579.887,1880
579.999,1880
580.137,1880
580.249,1880
580.387,1880
580.499,1880
580.637,1880
580.749,1880
580.887,1880
580.999,1880
581.137,1880
581.249,1880
581.387,1880
581.499,1880
581.637,1880
581.749,1880
581.887,1880
581.999,1880
582.137,1880
582.249,1880
582.387,1880
582.499,1880
582.637,1880
582.749,1880
582.887,1880
582.999,1880
583.136,1880
583.249,1880
583.386,1880
583.499,1880
583.636,1880
583.749,1880
583.886,1880
583.999,1880
584.136,1880
584.249,1880
584.386,1880
584.499,1880
584.636,1880
584.749,1880
584.886,1880
584.999,1880
585.136,1880
585.249,1880
585.386,1880
585.499,1880
585.636,1880
585.749,1880
585.886,1880
585.999,1880
586.136,1880
586.249,1880
586.386,1880
586.499,1880
586.636,1880
586.749,1880
586.886,1880
586.999,1880
587.136,1880
587.249,1880
587.386,1880
587.499,1880
587.636,1880
587.749,1880
587.886,1880
587.999,1880
588.136,1880
588.249,1880
588.386,1880
588.499,1880
588.636,1880
588.749,1880
588.886,1880
588.999,1880
589.136,1880
589.249,1880
589.386,1880
589.499,1880
589.636,1880
589.749,1880
589.886,1880
589.999,1880
590.136,1880
