Time,ECEF_position_Z
187.549,4490999.9
187.666,4491002.73
187.799,4491005.48
187.916,4491008.31
188.048,4491011.14
188.166,4491013.95
188.298,4491016.71
188.416,4491019.4
188.548,4491022.12
188.666,4491024.78
188.798,4491027.29
188.916,4491029.69
189.048,4491032.17
189.173,4491034.41
189.298,4491036.55
189.416,4491038.71
189.548,4491040.78
189.666,4491042.72
189.798,4491044.66
189.916,4491046.44
190.048,4491048.15
190.166,4491049.74
190.298,4491051.24
190.416,4491052.62
190.548,4491053.63
190.666,4491054.77
190.798,4491055.62
190.916,4491056.43
191.048,4491057.17
191.166,4491057.71
191.298,4491058.17
191.416,4491058.41
191.548,4491058.5
191.666,4491058.4
191.798,4491058.23
191.916,4491057.99
192.048,4491057.7
192.166,4491057.33
192.298,4491056.9
192.416,4491056.45
192.548,4491055.98
192.666,4491055.49
192.798,4491054.97
192.916,4491054.39
193.048,4491053.8
193.166,4491053.19
193.298,4491052.52
193.416,4491051.77
193.548,4491051.01
193.666,4491050.15
193.798,4491049.23
193.916,4491048.2
194.048,4491047.06
194.166,4491045.8
194.298,4491044.43
194.416,4491042.92
194.548,4491041.32
194.666,4491039.54
194.798,4491037.7
194.916,4491035.82
195.048,4491033.84
195.166,4491031.76
195.298,4491029.76
195.416,4491027.7
195.548,4491025.59
195.666,4491023.54
195.798,4491021.5
195.916,4491019.42
196.048,4491017.5
196.166,4491015.53
196.298,4491013.6
196.416,4491011.79
196.548,4491010.3
196.666,4491008.84
196.798,4491007.59
196.916,4491006.33
197.048,4491005.29
197.166,4491004.32
197.298,4491003.61
197.416,4491003.09
197.548,4491002.71
197.666,4491002.55
197.798,4491002.65
197.916,4491003.03
198.048,4491003.52
198.166,4491004.13
198.298,4491004.84
198.416,4491005.66
198.547,4491006.73
198.666,4491007.97
198.797,4491009.3
198.916,4491010.68
199.047,4491012.25
199.166,4491013.95
199.297,4491015.72
199.416,4491017.57
199.547,4491019.47
199.666,4491021.36
199.797,4491023.23
199.916,4491025.01
200.047,4491026.69
200.166,4491028.27
200.297,4491029.67
200.416,4491030.91
200.547,4491032.01
200.666,4491032.88
200.797,4491033.66
200.916,4491034.17
201.047,4491034.55
201.166,4491034.7
201.297,4491034.51
201.416,4491034.19
201.547,4491033.74
201.666,4491033.15
201.797,4491032.42
201.916,4491031.52
202.047,4491030.38
202.166,4491029.08
202.297,4491027.58
202.416,4491026.03
202.547,4491024.3
202.666,4491022.37
202.797,4491020.15
202.916,4491017.92
203.047,4491015.59
203.166,4491013.35
203.297,4491011.09
203.416,4491008.81
203.547,4491006.53
203.666,4491004.23
203.797,4491001.85
203.916,4490999.55
204.047,4490997.19
204.166,4490994.99
204.297,4490992.81
204.416,4490990.64
204.547,4490988.47
204.666,4490986.34
204.797,4490984.21
204.916,4490982.02
205.047,4490979.8
205.166,4490977.54
205.297,4490975.22
205.416,4490972.9
205.547,4490970.66
205.666,4490968.47
205.797,4490966.39
205.916,4490964.37
206.047,4490962.37
206.166,4490960.39
206.297,4490958.44
206.416,4490956.52
206.547,4490954.64
206.666,4490952.88
206.797,4490951.17
206.916,4490949.57
207.047,4490948.06
207.166,4490946.63
207.297,4490945.31
207.416,4490944.15
207.547,4490943.13
207.666,4490942.37
207.797,4490941.74
207.916,4490941.08
208.047,4490940.71
208.166,4490940.51
208.297,4490940.51
208.416,4490940.79
208.547,4490941.23
208.666,4490941.91
208.797,4490942.69
208.916,4490943.64
209.047,4490944.73
209.166,4490946.02
209.296,4490947.39
209.416,4490949.05
209.546,4490950.72
209.666,4490952.44
209.796,4490954.24
209.916,4490956.16
210.046,4490958.08
210.166,4490960.12
210.296,4490962.22
210.416,4490964.36
210.546,4490966.57
210.666,4490968.83
210.796,4490971.13
210.916,4490973.51
211.046,4490975.88
211.166,4490978.29
211.296,4490980.62
211.416,4490982.89
211.546,4490985.1
211.666,4490987.2
211.796,4490989.17
211.916,4490990.99
212.046,4490992.63
212.166,4490994.18
212.296,4490995.46
212.416,4490996.64
212.546,4490997.73
212.666,4490998.54
212.796,4490999.3
212.916,4490999.92
213.046,4491000.22
213.166,4491000.54
213.296,4491000.56
213.416,4491000.43
213.546,4491000.1
213.666,4490999.51
213.796,4490998.79
213.916,4490997.96
214.046,4490996.94
214.166,4490995.78
214.296,4490994.38
214.416,4490992.89
214.546,4490991.31
214.666,4490989.66
214.796,4490987.86
214.916,4490985.99
215.046,4490984.02
215.166,4490982
215.296,4490979.9
215.416,4490977.75
215.546,4490975.55
215.666,4490973.32
215.796,4490971.05
215.916,4490968.87
216.046,4490966.76
216.166,4490964.73
216.296,4490962.75
216.416,4490960.78
216.546,4490958.86
216.666,4490956.98
216.796,4490955.1
216.916,4490953.24
217.046,4490951.49
217.166,4490949.76
217.296,4490948.13
217.416,4490946.53
217.546,4490945.08
217.666,4490943.6
217.796,4490942.26
217.916,4490941.13
218.046,4490940.22
218.166,4490939.48
218.296,4490938.92
218.416,4490938.5
218.546,4490938.3
218.666,4490938.29
218.796,4490938.43
218.916,4490938.9
219.046,4490939.7
219.166,4490940.59
219.296,4490941.55
219.416,4490942.6
219.546,4490943.73
219.666,4490945.05
219.796,4490946.48
219.916,4490948.01
220.045,4490949.62
220.166,4490951.35
220.295,4490953.09
220.416,4490954.89
220.545,4490956.59
220.666,4490958.11
220.795,4490959.55
220.916,4490960.83
221.045,4490961.99
221.166,4490962.96
221.295,4490963.78
221.416,4490964.44
221.545,4490964.98
221.666,4490965.22
221.795,4490965.23
221.916,4490964.96
222.045,4490964.5
222.166,4490963.88
222.295,4490963.05
222.416,4490962.13
222.545,4490961.06
222.666,4490959.83
222.795,4490958.49
222.916,4490957.02
223.045,4490955.44
223.166,4490953.82
223.295,4490952.15
223.416,4490950.4
223.545,4490948.56
223.666,4490946.67
223.795,4490944.71
223.916,4490942.7
224.045,4490940.62
224.166,4490938.59
224.295,4490936.51
224.416,4490934.45
224.545,4490932.53
224.666,4490930.66
224.795,4490928.96
224.916,4490927.37
225.045,4490926.05
225.166,4490924.62
225.295,4490923.48
225.416,4490922.38
225.545,4490921.55
225.666,4490920.76
225.795,4490920.14
225.916,4490919.53
226.045,4490918.93
226.166,4490918.27
226.295,4490917.5
226.416,4490916.63
226.545,4490915.65
226.666,4490914.59
226.795,4490913.46
226.916,4490912.21
227.045,4490910.92
227.166,4490909.64
227.295,4490908.27
227.416,4490906.91
227.545,4490905.48
227.666,4490904.14
227.795,4490902.81
227.916,4490901.56
228.045,4490900.45
228.166,4490899.4
228.295,4490898.49
228.416,4490897.74
228.545,4490897.22
228.666,4490896.75
228.795,4490896.47
228.916,4490896.34
229.045,4490896.44
229.166,4490896.68
229.295,4490897.01
229.416,4490897.52
229.545,4490898.15
229.666,4490898.96
229.795,4490899.9
229.916,4490900.96
230.045,4490902.11
230.166,4490903.4
230.295,4490904.68
230.416,4490906.03
230.545,4490907.36
230.666,4490908.65
230.794,4490909.86
230.916,4490911.03
231.044,4490912.09
231.166,4490913.01
231.294,4490913.76
231.416,4490914.35
231.544,4490914.8
231.666,4490915.01
231.794,4490915.08
231.916,4490914.94
232.044,4490914.72
232.166,4490914.41
232.294,4490913.95
232.416,4490913.33
232.544,4490912.7
232.666,4490912.07
232.794,4490911.56
232.916,4490911.2
233.044,4490911.08
233.166,4490911.07
233.294,4490911.23
233.416,4490911.61
233.544,4490912.14
233.666,4490912.91
233.794,4490913.8
233.916,4490914.83
234.044,4490916.01
234.166,4490917.41
234.294,4490918.92
234.416,4490920.59
234.544,4490922.34
234.666,4490924.49
234.794,4490926.53
234.916,4490928.69
235.044,4490930.9
235.166,4490933.1
235.294,4490935.33
235.416,4490937.57
235.544,4490939.82
235.666,4490942.08
235.794,4490944.37
235.916,4490946.67
236.044,4490949.08
236.166,4490951.46
236.294,4490953.88
236.416,4490956.36
236.544,4490958.85
236.666,4490961.34
236.794,4490963.86
236.916,4490966.42
237.044,4490969
237.166,4490971.6
237.294,4490974.19
237.416,4490976.85
237.544,4490979.49
237.666,4490982.18
237.794,4490984.85
237.916,4490987.54
238.044,4490990.25
238.166,4490992.98
238.294,4490995.72
