Time,ECEF_position_Y
238.544,950053.05
238.666,950053.22
238.794,950053.46
238.916,950053.58
239.044,950053.73
239.166,950053.99
239.294,950054.24
239.416,950054.45
239.544,950054.73
239.666,950055.11
239.794,950055.61
239.916,950056.27
240.044,950057.05
240.166,950058.27
240.294,950059.65
240.416,950061.19
240.544,950062.95
240.666,950065.01
240.794,950067.25
240.916,950069.72
241.044,950072.34
241.166,950075.24
241.293,950078.27
241.416,950081.44
241.543,950084.72
241.666,950088.11
241.793,950091.66
241.916,950095.34
242.043,950099.1
242.166,950102.93
242.293,950106.76
242.416,950110.65
242.543,950114.57
242.666,950118.45
242.793,950122.4
242.916,950126.33
243.043,950130.33
243.166,950134.28
243.293,950138.27
243.416,950142.24
243.543,950146.22
243.666,950150.21
243.793,950154.17
243.916,950158.16
244.043,950162.13
244.166,950166.1
244.293,950170.06
244.416,950173.97
244.543,950177.83
244.666,950181.62
244.793,950185.32
244.916,950188.92
245.043,950192.41
245.166,950195.71
245.293,950198.76
245.416,950201.65
245.543,950204.29
245.666,950206.62
245.793,950208.85
245.916,950210.76
246.043,950212.34
246.166,950213.67
246.293,950214.74
246.416,950215.48
246.543,950215.84
246.666,950215.94
246.793,950215.69
246.916,950215.27
247.043,950214.58
247.166,950213.59
247.293,950212.32
247.416,950210.71
247.543,950208.98
247.666,950207.04
247.793,950204.55
247.916,950201.97
248.043,950199.33
248.166,950196.56
248.293,950193.7
248.416,950190.74
248.543,950187.81
248.666,950184.87
248.793,950181.96
248.916,950179.09
249.043,950176.34
249.166,950173.66
249.293,950170.98
249.416,950168.43
249.543,950165.96
249.666,950163.47
249.793,950161.04
249.916,950158.59
250.043,950156.07
250.166,950153.43
250.293,950150.69
250.416,950147.8
250.543,950144.81
250.666,950141.69
250.793,950138.58
250.916,950135.45
251.043,950132.37
251.166,950129.35
251.293,950126.41
251.416,950123.53
251.543,950120.75
251.666,950118.05
251.793,950115.45
251.916,950112.97
252.042,950110.56
252.166,950108.34
252.292,950106.2
252.416,950104.27
252.542,950102.37
252.666,950100.74
252.792,950099.49
252.916,950098.42
253.042,950097.71
253.166,950097.26
253.292,950097.18
253.416,950097.26
253.542,950097.42
253.666,950097.59
253.792,950097.65
253.916,950097.65
254.042,950097.4
254.166,950097.05
254.292,950096.57
254.416,950095.94
254.542,950095.14
254.666,950094.19
254.792,950093.08
254.916,950091.84
255.042,950090.44
255.166,950088.93
255.292,950087.35
255.416,950085.74
255.542,950084.16
255.666,950082.65
255.792,950081.27
255.916,950080.01
256.042,950078.9
256.166,950077.84
256.292,950076.9
256.416,950076.04
256.542,950075.35
256.666,950074.87
256.792,950074.51
256.916,950074.47
257.042,950074.62
257.166,950075.02
257.292,950075.61
257.416,950076.34
257.542,950077.2
257.666,950078.41
257.792,950079.72
257.916,950081.24
258.042,950082.92
258.166,950084.73
258.292,950086.67
258.416,950088.67
258.542,950090.73
258.666,950092.73
258.792,950094.7
258.916,950096.68
259.042,950098.51
259.166,950100.26
259.292,950101.89
259.416,950103.4
259.542,950104.77
259.666,950105.97
259.792,950106.92
259.916,950107.73
260.042,950108.39
260.166,950108.85
260.292,950109.13
260.416,950109.28
260.542,950109.23
260.666,950109.15
260.792,950109.04
260.916,950108.91
261.042,950108.85
261.166,950108.78
261.292,950108.82
261.416,950108.98
261.542,950109.24
261.666,950109.74
261.792,950110.48
261.916,950111.43
262.042,950112.56
262.166,950113.9
262.292,950115.4
262.416,950116.99
262.542,950118.93
262.666,950120.91
262.791,950123.21
262.916,950125.73
263.041,950128.39
263.166,950131.19
263.291,950134.13
263.416,950137.18
263.541,950140.28
263.666,950143.44
263.791,950146.75
263.916,950149.94
264.041,950153.08
264.166,950156.18
264.291,950159.22
264.416,950162.18
264.541,950165.06
264.666,950167.8
264.791,950170.58
264.916,950173.27
265.041,950175.92
265.166,950178.54
265.291,950181.1
265.416,950183.62
