Time,ITOW
238.544,558784875
238.666,558785000
238.794,558785125
238.916,558785250
239.044,558785375
239.166,558785500
239.294,558785625
239.416,558785750
239.544,558785875
239.666,558786000
239.794,558786125
239.916,558786250
240.044,558786375
240.166,558786500
240.294,558786625
240.416,558786750
240.544,558786875
240.666,558787000
240.794,558787125
240.916,558787250
241.044,558787375
241.166,558787500
241.293,558787625
241.416,558787750
241.543,558787875
241.666,558788000
241.793,558788125
241.916,558788250
242.043,558788375
242.166,558788500
242.293,558788625
242.416,558788750
242.543,558788875
242.666,558789000
242.793,558789125
242.916,558789250
243.043,558789375
243.166,558789500
243.293,558789625
243.416,558789750
243.543,558789875
243.666,558790000
243.793,558790125
243.916,558790250
244.043,558790375
244.166,558790500
244.293,558790625
244.416,558790750
244.543,558790875
244.666,558791000
244.793,558791125
244.916,558791250
245.043,558791375
245.166,558791500
245.293,558791625
245.416,558791750
245.543,558791875
245.666,558792000
245.793,558792125
245.916,558792250
246.043,558792375
246.166,558792500
246.293,558792625
246.416,558792750
246.543,558792875
246.666,558793000
246.793,558793125
246.916,558793250
247.043,558793375
247.166,558793500
247.293,558793625
247.416,558793750
247.543,558793875
247.666,558794000
247.793,558794125
247.916,558794250
248.043,558794375
248.166,558794500
248.293,558794625
248.416,558794750
248.543,558794875
248.666,558795000
248.793,558795125
248.916,558795250
249.043,558795375
249.166,558795500
249.293,558795625
249.416,558795750
249.543,558795875
249.666,558796000
249.793,558796125
249.916,558796250
250.043,558796375
250.166,558796500
250.293,558796625
250.416,558796750
250.543,558796875
250.666,558797000
250.793,558797125
250.916,558797250
251.043,558797375
251.166,558797500
251.293,558797625
251.416,558797750
251.543,558797875
251.666,558798000
251.793,558798125
251.916,558798250
252.042,558798375
252.166,558798500
252.292,558798625
252.416,558798750
252.542,558798875
252.666,558799000
252.792,558799125
252.916,558799250
253.042,558799375
253.166,558799500
253.292,558799625
253.416,558799750
253.542,558799875
253.666,558800000
253.792,558800125
253.916,558800250
254.042,558800375
254.166,558800500
254.292,558800625
254.416,558800750
254.542,558800875
254.666,558801000
254.792,558801125
254.916,558801250
255.042,558801375
255.166,558801500
255.292,558801625
255.416,558801750
255.542,558801875
255.666,558802000
255.792,558802125
255.916,558802250
256.042,558802375
256.166,558802500
256.292,558802625
256.416,558802750
256.542,558802875
256.666,558803000
256.792,558803125
256.916,558803250
257.042,558803375
257.166,558803500
257.292,558803625
257.416,558803750
257.542,558803875
257.666,558804000
257.792,558804125
257.916,558804250
258.042,558804375
258.166,558804500
258.292,558804625
258.416,558804750
258.542,558804875
258.666,558805000
258.792,558805125
258.916,558805250
259.042,558805375
259.166,558805500
259.292,558805625
259.416,558805750
259.542,558805875
259.666,558806000
259.792,558806125
259.916,558806250
260.042,558806375
260.166,558806500
260.292,558806625
260.416,558806750
260.542,558806875
260.666,558807000
260.792,558807125
260.916,558807250
261.042,558807375
261.166,558807500
261.292,558807625
261.416,558807750
261.542,558807875
261.666,558808000
261.792,558808125
261.916,558808250
262.042,558808375
262.166,558808500
262.292,558808625
262.416,558808750
262.542,558808875
262.666,558809000
262.791,558809125
262.916,558809250
263.041,558809375
263.166,558809500
263.291,558809625
263.416,558809750
263.541,558809875
263.666,558810000
263.791,558810125
263.916,558810250
264.041,558810375
264.166,558810500
264.291,558810625
264.416,558810750
264.541,558810875
264.666,558811000
264.791,558811125
264.916,558811250
265.041,558811375
265.166,558811500
265.291,558811625
265.416,558811750
265.541,558811875
265.666,558812000
265.791,558812125
265.916,558812250
266.041,558812375
266.166,558812500
266.291,558812625
266.416,558812750
266.541,558812875
266.666,558813000
266.791,558813125
266.916,558813250
267.041,558813375
267.166,558813500
267.291,558813625
267.416,558813750
267.541,558813875
267.666,558814000
267.791,558814125
267.916,558814250
268.041,558814375
268.166,558814500
268.291,558814625
268.416,558814750
268.541,558814875
268.666,558815000
268.791,558815125
268.916,558815250
269.041,558815375
269.166,558815500
269.291,558815625
269.416,558815750
269.541,558815875
269.666,558816000
269.791,558816125
269.916,558816250
270.041,558816375
270.166,558816500
270.291,558816625
270.416,558816750
270.541,558816875
270.666,558817000
270.791,558817125
270.916,558817250
271.041,558817375
271.166,558817500
271.291,558817625
271.416,558817750
271.541,558817875
271.666,558818000
271.791,558818125
271.916,558818250
272.041,558818375
272.166,558818500
272.291,558818625
272.416,558818750
272.541,558818875
272.666,558819000
272.791,558819125
272.916,558819250
273.041,558819375
273.166,558819500
273.291,558819625
273.415,558819750
273.54,558819875
273.665,558820000
273.79,558820125
273.915,558820250
274.04,558820375
274.165,558820500
274.29,558820625
274.415,558820750
274.54,558820875
274.665,558821000
274.79,558821125
274.915,558821250
275.04,558821375
275.165,558821500
275.29,558821625
275.415,558821750
275.54,558821875
275.665,558822000
275.79,558822125
275.915,558822250
276.04,558822375
276.165,558822500
276.29,558822625
276.415,558822750
276.54,558822875
276.665,558823000
276.79,558823125
276.915,558823250
277.04,558823375
277.165,558823500
277.29,558823625
277.415,558823750
277.54,558823875
277.665,558824000
277.79,558824125
277.915,558824250
278.04,558824375
278.165,558824500
278.29,558824625
278.415,558824750
278.54,558824875
278.665,558825000
278.79,558825125
278.915,558825250
279.04,558825375
279.165,558825500
279.29,558825625
279.415,558825750
279.54,558825875
279.665,558826000
279.79,558826125
279.915,558826250
280.04,558826375
280.165,558826500
280.29,558826625
280.415,558826750
280.54,558826875
280.665,558827000
280.79,558827125
280.915,558827250
281.04,558827375
281.165,558827500
281.29,558827625
281.415,558827750
281.516,558827875
281.665,558828000
281.79,558828125
281.915,558828250
282.04,558828375
282.165,558828500
282.29,558828625
282.415,558828750
282.54,558828875
282.665,558829000
282.79,558829125
282.915,558829250
283.04,558829375
283.165,558829500
283.29,558829625
283.415,558829750
283.54,558829875
283.665,558830000
283.79,558830125
283.915,558830250
284.039,558830375
284.164,558830500
284.266,558830625
284.414,558830750
284.539,558830875
284.664,558831000
284.789,558831125
284.914,558831250
285.039,558831375
285.164,558831500
285.289,558831625
285.414,558831750
285.539,558831875
285.664,558832000
285.789,558832125
285.914,558832250
286.039,558832375
286.164,558832500
286.289,558832625
286.414,558832750
286.539,558832875
286.664,558833000
286.789,558833125
286.914,558833250
287.016,558833375
287.164,558833500
287.289,558833625
287.414,558833750
287.539,558833875
287.664,558834000
287.789,558834125
287.914,558834250
288.039,558834375
288.164,558834500
