Time,ECEF_position_X
389.016,4412887.27
389.155,4412884.37
389.266,4412881.47
389.405,4412878.48
389.516,4412875.54
389.655,4412872.5
389.766,4412869.55
389.905,4412866.51
390.016,4412863.57
390.155,4412860.64
390.266,4412857.73
390.405,4412854.88
390.516,4412852.06
390.655,4412849.22
390.766,4412846.38
390.904,4412843.58
391.016,4412840.96
391.154,4412838.34
391.266,4412835.86
391.404,4412833.34
391.516,4412830.98
391.654,4412828.85
391.766,4412826.83
391.904,4412824.87
392.016,4412823.06
392.154,4412821.42
392.266,4412820.02
392.404,4412818.93
392.516,4412817.94
392.654,4412817.06
392.766,4412816.29
392.904,4412815.77
393.016,4412815.65
393.154,4412815.37
393.266,4412815.11
393.404,4412815
393.516,4412814.89
393.654,4412814.77
393.766,4412814.64
393.904,4412814.5
394.016,4412814.41
394.154,4412814.22
394.266,4412814.14
394.404,4412814.08
394.516,4412814.11
394.654,4412814.25
394.766,4412814.43
394.904,4412814.7
395.016,4412815.13
395.154,4412815.71
395.266,4412816.44
395.404,4412817.32
395.516,4412818.33
395.654,4412819.49
395.766,4412820.75
395.904,4412822.17
396.016,4412823.73
396.154,4412825.37
396.266,4412827.13
396.404,4412828.92
396.516,4412830.78
396.654,4412832.68
396.766,4412834.64
396.904,4412836.61
397.016,4412838.65
397.154,4412840.66
397.266,4412842.62
397.404,4412844.52
397.516,4412846.34
397.654,4412848.07
397.766,4412849.71
397.904,4412851.25
398.016,4412852.73
398.154,4412854.01
398.266,4412855.07
398.404,4412856.02
398.516,4412856.75
398.654,4412857.29
398.766,4412857.73
398.904,4412857.99
399.016,4412857.98
399.154,4412857.79
399.266,4412857.44
399.404,4412856.91
399.516,4412856.22
399.654,4412855.34
399.766,4412854.32
399.904,4412853.12
400.016,4412851.79
400.154,4412850.38
400.266,4412848.94
400.404,4412847.49
400.516,4412846.08
400.654,4412844.72
400.766,4412843.44
400.904,4412842.26
401.016,4412841.27
401.154,4412840.44
401.266,4412839.82
401.404,4412839.33
401.516,4412839.07
401.653,4412838.9
401.766,4412838.95
401.903,4412839.18
402.016,4412839.64
402.153,4412840.22
402.266,4412840.99
402.403,4412842.02
402.516,4412843.22
402.653,4412844.62
402.766,4412846.15
402.903,4412847.87
403.016,4412849.55
403.153,4412851.43
403.266,4412853.33
403.403,4412855.33
403.516,4412857.45
403.653,4412859.74
403.766,4412861.96
403.903,4412864.23
404.016,4412866.61
404.153,4412868.97
404.266,4412871.23
404.403,4412873.62
404.516,4412876.01
404.653,4412878.39
404.766,4412880.87
404.903,4412883.31
405.016,4412885.72
405.153,4412888.29
405.266,4412890.81
405.403,4412893.31
405.516,4412895.82
405.653,4412898.36
405.766,4412900.92
405.903,4412903.51
406.016,4412906.16
406.153,4412908.74
406.266,4412911.24
406.403,4412913.63
406.516,4412915.92
406.653,4412918.23
406.766,4412920.51
406.903,4412922.77
407.016,4412924.98
407.153,4412927.13
407.266,4412929.19
407.403,4412931.23
407.516,4412933.09
407.653,4412934.89
407.766,4412936.55
407.903,4412938.04
408.016,4412939.27
408.153,4412940.37
408.266,4412941.35
408.403,4412942.16
408.516,4412942.71
408.653,4412943
408.766,4412943.04
408.903,4412942.77
409.016,4412942.3
409.153,4412941.67
409.266,4412940.82
409.403,4412939.75
409.516,4412938.58
409.653,4412937.33
409.766,4412935.9
409.903,4412934.35
410.016,4412932.72
410.153,4412930.84
410.266,4412928.96
410.403,4412926.96
410.516,4412924.91
410.653,4412922.84
410.766,4412920.7
410.903,4412918.52
411.016,4412916.3
411.153,4412914.04
411.266,4412911.79
411.403,4412909.44
411.516,4412907.09
411.653,4412904.71
411.766,4412902.3
411.903,4412899.83
412.016,4412897.38
412.152,4412894.89
412.266,4412892.42
412.402,4412890.02
412.516,4412887.6
412.652,4412885.27
412.766,4412883.04
412.902,4412881
413.016,4412879.1
413.152,4412877.33
413.266,4412875.67
413.402,4412874.19
413.516,4412872.9
413.652,4412871.82
413.766,4412871
413.902,4412870.39
414.016,4412869.89
414.152,4412869.67
414.266,4412869.55
414.402,4412869.67
414.516,4412870
414.652,4412870.5
414.766,4412871.18
414.902,4412872
