Time,ECEF_velocity_Z
389.016,22.22
389.155,22.25
389.266,22.48
389.405,22.83
389.516,22.76
389.655,22.56
389.766,22.55
389.905,22.64
390.016,22.63
390.155,22.35
390.266,22.15
390.405,21.78
390.516,21.33
390.655,20.82
390.766,20.32
390.904,19.65
391.016,18.72
391.154,17.98
391.266,16.98
391.404,16.57
391.516,15.71
391.654,14.4
391.766,12.14
391.904,10.65
392.016,9.26
392.154,8.39
392.266,7.29
392.404,4.86
392.516,3.24
392.654,1.84
392.766,0.47
392.904,-0.85
393.016,-2.85
393.154,-4.07
393.266,-4.69
393.404,-5.24
393.516,-5.4
393.654,-5.47
393.766,-5.59
393.904,-5.65
394.016,-5.66
394.154,-5.67
394.266,-5.88
394.404,-6.18
394.516,-6.62
394.654,-7.14
394.766,-7.81
394.904,-8.47
395.016,-9.52
395.154,-10.39
395.266,-11.2
395.404,-12.02
395.516,-12.78
395.654,-13.47
395.766,-14.22
395.904,-15.01
396.016,-15.65
396.154,-16.25
396.266,-16.53
396.404,-16.68
396.516,-16.75
396.654,-16.82
396.766,-16.67
396.904,-16.37
397.016,-16.15
397.154,-15.48
397.266,-14.82
397.404,-14.01
397.516,-13.19
397.654,-11.96
397.766,-10.91
397.904,-9.52
398.016,-8.41
398.154,-6.72
398.266,-4.83
398.404,-3.52
398.516,-1.86
398.654,-0.32
398.766,0.95
398.904,2.32
399.016,4.2
399.154,5.68
399.266,7.07
399.404,8.37
399.516,9.69
399.654,10.95
399.766,11.74
399.904,12.95
400.016,13.92
400.154,14.63
400.266,15.13
400.404,15.47
400.516,15.48
400.654,15.25
400.766,14.86
400.904,14.28
401.016,13.27
401.154,12.09
401.266,10.72
401.404,9.6
401.516,7.98
401.653,6.95
401.766,5.39
401.903,3.95
402.016,2.06
402.153,0.63
402.266,-1.01
402.403,-2.56
402.516,-4.36
402.653,-6.17
402.766,-7.89
402.903,-9.39
403.016,-10.58
403.153,-11.94
403.266,-12.99
403.403,-14.04
403.516,-14.93
403.653,-15.6
403.766,-16.36
403.903,-17.28
404.016,-17.81
404.153,-18.14
404.266,-18.23
404.403,-18.29
404.516,-18.25
404.653,-18.14
404.766,-18.14
404.903,-18.17
405.016,-17.86
405.153,-17.74
405.266,-17.53
405.403,-17.42
405.516,-17.26
405.653,-17.19
405.766,-17.31
405.903,-17.55
406.016,-17.92
406.153,-17.96
406.266,-17.54
406.403,-17.06
406.516,-16.46
406.653,-16.31
406.766,-16.22
406.903,-16.07
407.016,-15.98
407.153,-15.9
407.266,-15.69
407.403,-15.52
407.516,-15.06
407.653,-14.53
407.766,-13.92
407.903,-13.32
408.016,-12.39
408.153,-11.37
408.266,-10.42
408.403,-9.78
408.516,-8.52
408.653,-7.05
408.766,-5.47
408.903,-3.05
409.016,-1.31
409.153,0.36
409.266,2.13
409.403,3.76
409.516,5.01
409.653,6.24
409.766,7.42
409.903,8.66
410.016,9.81
410.153,11.35
410.266,12.44
410.403,13.37
410.516,14.25
410.653,15.03
410.766,15.74
410.903,16.36
411.016,16.92
411.153,17.35
411.266,17.66
411.403,17.97
411.516,18.3
411.653,18.48
411.766,18.69
411.903,18.77
412.016,18.77
412.152,18.64
412.266,18.24
412.402,17.37
412.516,16.68
412.652,15.94
412.766,14.96
412.902,13.64
413.016,12.31
413.152,10.96
413.266,9.74
413.402,8.03
413.516,6.57
413.652,4.92
413.766,2.76
413.902,0.79
414.016,-0.54
414.152,-2.62
414.266,-3.52
414.402,-5.36
414.516,-7.14
414.652,-8.13
414.766,-9.51
414.902,-10.6
415.016,-11.76
415.152,-12.52
415.266,-13.35
415.402,-14.29
415.516,-14.93
415.652,-15.67
415.766,-16.36
415.902,-16.9
416.016,-17.38
416.152,-17.83
416.266,-18.45
416.402,-18.98
416.516,-19.57
416.652,-19.44
416.766,-18.97
416.902,-18.37
417.016,-17.91
417.152,-17.25
417.266,-16.89
417.402,-16.28
417.516,-15.33
417.652,-14.81
417.766,-14.21
417.902,-13.24
418.016,-12.37
418.152,-11.93
418.266,-11.31
418.402,-10.67
418.516,-9.87
418.652,-8.24
418.766,-7.1
418.902,-5.74
419.016,-4.17
419.152,-2.63
419.266,-0.72
419.402,1.26
419.516,2.73
419.652,4.09
419.766,5.4
419.902,6.36
420.016,7.38
420.152,8.29
420.266,9.32
420.402,9.93
420.516,10.67
420.652,11.19
420.766,11.62
420.902,12.22
421.016,12.75
421.152,13.1
421.266,13.42
421.402,12.84
421.516,12.18
421.652,11.28
421.766,10.46
421.902,9.43
422.016,8.27
422.152,6.68
422.266,5.37
422.402,3.99
422.516,2.44
422.652,0.73
422.766,-1.03
422.902,-2.43
423.016,-4.02
423.151,-5.56
423.266,-7.22
423.401,-8.53
423.516,-9.76
423.651,-10.9
423.766,-11.69
423.901,-12.43
424.016,-13.19
424.151,-13.89
424.266,-14.45
424.401,-14.96
424.516,-15.52
424.651,-16.07
424.766,-16.48
424.901,-16.8
425.016,-16.97
425.151,-16.81
425.266,-16.54
425.401,-15.85
425.516,-15.14
425.651,-14.25
425.766,-13.28
425.901,-12.02
426.016,-11.13
426.151,-10.01
426.266,-8.95
426.401,-8.39
426.516,-7.73
426.651,-7.08
426.766,-6.82
426.901,-6.91
427.016,-7.77
427.151,-7.46
427.266,-7.82
427.401,-8.24
427.516,-8.88
427.651,-9.23
427.766,-9.61
427.901,-9.79
428.016,-9.94
428.151,-9.92
428.266,-9.92
428.401,-9.52
428.516,-9.31
428.651,-8.89
428.766,-8.21
428.901,-7.49
429.016,-6.6
429.151,-5.62
429.266,-4.39
429.401,-3.57
429.516,-2.72
429.651,-1.68
429.766,-0.51
429.901,0.65
430.016,1.64
430.151,2.64
430.266,3.52
430.401,4.45
430.516,5.43
430.651,6.19
430.766,6.96
430.901,7.54
431.016,8.19
431.151,8.59
431.266,8.97
431.401,9.22
431.516,9.36
431.651,9.28
431.766,9.1
431.901,8.51
432.016,8.18
432.151,7.43
432.266,6.52
432.401,5.73
432.516,4.69
432.651,3.5
432.766,2.44
432.901,1.13
433.016,-0.61
433.151,-1.85
433.266,-3.26
433.401,-4.04
433.516,-4.78
433.65,-4.95
433.766,-4.65
433.9,-3.89
434.016,-2.7
434.15,-1.61
434.266,-0.25
434.4,1.28
434.516,2.72
434.65,4.6
434.766,6.08
434.9,7.48
435.016,8.96
435.15,10.65
435.266,11.89
435.4,13.02
435.516,13.88
435.65,14.74
435.766,15.44
435.9,16.11
436.016,16.71
436.15,17.31
436.266,17.63
436.4,17.86
436.516,17.94
436.65,18.17
436.766,18.16
436.9,18.33
437.016,18.46
437.15,18.73
437.266,18.89
437.4,19.23
437.516,19.53
437.65,19.71
437.766,19.95
437.9,20.1
438.016,20.38
438.15,20.45
438.266,20.74
438.4,20.9
438.516,20.99
438.65,21.19
438.766,21.19
438.9,21.49
439.016,21.47
439.15,21.7
439.266,21.67
439.4,21.84
