Time,ECEF_velocity_X
439.65,-23.19
439.766,-23.24
439.9,-23.56
440.016,-23.55
440.15,-23.52
440.266,-23.62
440.4,-23.54
440.516,-23.54
440.65,-23.53
440.766,-23.54
440.9,-23.49
441.016,-23.54
441.15,-23.49
441.266,-23.33
441.4,-22.91
441.516,-22.54
441.65,-22.16
441.766,-21.76
441.9,-21.1
442.016,-20.31
442.15,-19.48
442.266,-18.23
442.4,-17.16
442.516,-16.07
442.65,-14.89
442.766,-13.6
442.9,-12.22
443.016,-10.58
443.15,-9.29
443.266,-8.02
443.4,-6.37
443.516,-5.23
443.65,-4.2
443.766,-3.3
443.9,-2.86
444.016,-2.19
444.15,-1.92
444.266,-1.6
444.399,-1.45
444.516,-1.26
444.649,-1.14
444.766,-0.98
444.899,-0.62
445.016,-0.17
445.149,0.35
445.266,0.87
445.399,1.38
445.516,2.1
445.649,3.07
445.766,4.16
445.899,5.34
446.016,6.65
446.149,8.04
446.266,9.15
446.399,10.04
446.516,10.72
446.649,12.03
446.766,12.71
446.899,13.47
447.016,14
447.149,14.61
447.266,15.19
447.399,15.63
447.516,15.91
447.649,16.12
447.766,16.23
447.899,16.14
448.016,15.68
448.149,14.92
448.266,14.53
448.399,13.94
448.516,13.4
448.649,12.38
448.766,11.29
448.899,10.14
449.016,8.92
449.149,7.16
449.266,5.66
449.399,4.19
449.516,2.32
449.649,0.48
449.766,-0.98
449.899,-2.41
450.016,-3.98
450.149,-5.47
450.266,-6.69
450.399,-8.13
450.516,-9.3
450.649,-10.21
450.766,-10.91
450.899,-11.23
451.016,-11.33
451.149,-11.13
451.266,-10.66
451.399,-10.02
451.516,-9.18
451.649,-7.78
451.766,-6.33
451.899,-4.84
452.016,-3.39
452.149,-2.12
452.266,-0.61
452.399,0.7
452.516,2.33
452.649,3.79
452.766,5.18
452.899,6.54
453.016,7.9
453.149,9.61
453.266,10.83
453.399,12.08
453.516,13.12
453.649,13.82
453.766,14.76
453.899,15.42
454.016,15.81
454.149,16.16
454.266,16.66
454.399,16.89
454.516,17.25
454.649,17.46
454.766,17.59
454.899,17.63
455.016,17.89
455.148,18.08
455.266,18.34
455.398,18.67
455.516,18.97
455.648,19.18
455.766,19.26
455.898,19.36
456.016,19.33
456.148,19.27
456.266,19.42
456.398,19.63
456.516,19.91
456.648,20.23
456.766,20.55
456.898,20.85
457.016,21.06
457.148,20.54
457.266,19.82
457.398,19.27
457.516,18.54
457.648,17.91
457.766,17.16
457.898,16.6
458.016,15.6
458.148,14.7
458.266,13.73
458.398,12.5
458.516,11
458.648,9.55
458.766,8.22
458.898,6.66
459.016,5.14
459.148,3.47
459.266,1.7
459.398,-0.26
459.516,-2.12
459.648,-3.76
459.766,-5.48
459.898,-6.93
460.016,-7.87
460.148,-9.22
460.266,-10.19
460.398,-10.73
460.516,-11.65
460.648,-12.68
460.766,-13.97
460.898,-14.76
461.016,-15.28
461.148,-15.85
461.266,-16.27
461.398,-16.8
461.516,-17.06
461.648,-17.36
461.766,-17.69
461.898,-18.11
462.016,-18.53
462.148,-18.81
462.266,-19.18
462.398,-19.55
462.516,-19.76
462.648,-20.02
462.766,-20.05
462.898,-20.03
463.016,-19.57
463.148,-18.96
463.266,-18.35
463.398,-17.33
463.516,-16.26
463.648,-15.11
463.766,-14.08
463.898,-12.73
464.016,-11.38
464.148,-9.96
464.266,-7.94
464.398,-6.28
464.516,-4.82
464.648,-3.04
464.766,-1.91
464.898,-0.24
465.016,1.7
465.148,3.01
465.266,4.62
465.398,5.82
465.516,7.36
465.648,8.38
465.766,9.29
465.897,10.32
466.016,11.02
466.147,11.68
466.266,12.17
466.397,12.65
466.516,13.28
466.647,13.87
466.766,14.52
466.897,15.07
467.016,15.29
467.147,14.94
467.266,14.64
467.397,14.25
467.516,14.43
467.647,14.68
467.766,14.49
467.897,14.64
468.016,14.36
468.147,14.47
468.266,13.88
468.397,13.6
468.516,13.16
468.647,12.45
468.766,11.56
468.897,10.7
469.016,9.87
469.147,9.09
469.266,8.06
469.397,6.46
469.516,5.3
469.647,3.7
469.766,2.14
469.897,0.66
470.016,-1.02
470.147,-2.16
470.266,-3.81
470.397,-5.18
470.516,-6.58
470.647,-7.9
470.766,-8.92
470.897,-10.22
471.016,-11.56
471.147,-12.44
471.266,-12.91
471.397,-12.62
471.516,-11.49
471.647,-10.42
471.766,-9.28
471.897,-8.03
472.016,-6.61
472.147,-5
472.266,-3.07
472.397,-1.48
472.516,0.45
472.647,2.39
472.766,3.87
472.897,5.32
473.016,6.55
473.147,7.71
473.266,9.3
473.397,10.9
473.516,12.04
473.647,12.8
473.766,13.51
473.897,14.07
474.016,14.61
474.147,15.14
474.266,15.63
474.397,15.98
474.516,16.28
474.647,16.56
474.766,16.61
474.897,16.29
475.016,16.01
475.147,15.32
475.266,14.39
475.397,13.21
475.516,11.96
475.647,10.39
475.766,9.54
475.897,8.06
476.016,7.2
476.147,5.84
476.266,4.48
476.396,2.89
476.516,1.56
476.646,0.42
476.766,0.02
476.896,0.1
477.016,0.87
477.146,1.53
477.266,2.57
477.396,3.62
477.516,4.87
477.646,5.54
477.766,6.51
477.896,7.32
478.016,8.26
478.146,9.07
478.266,9.93
478.396,10.63
478.516,10.87
478.646,11.26
478.766,11.28
478.896,11.18
479.016,10.62
479.146,10.11
479.266,9.15
479.396,8.16
479.516,7.18
479.646,5.92
479.766,4.87
479.896,3.54
480.016,2.25
480.146,1.14
480.266,-0.29
480.396,-1.59
480.516,-2.82
480.646,-4.02
480.766,-4.79
480.896,-5.38
481.016,-5.6
481.146,-5.53
481.266,-5.29
481.396,-5.2
481.516,-4.88
481.646,-4.52
481.766,-3.61
481.896,-3.01
482.016,-1.65
482.146,-0.58
482.266,0.64
482.396,1.91
482.516,3.32
482.646,5.03
482.766,6.42
482.896,7.9
483.016,9.01
483.146,10.17
483.266,10.93
483.396,11.03
483.516,10.66
483.646,9.48
483.766,8.27
483.896,6.76
484.016,5.41
484.146,3.63
484.266,1.73
484.396,-0.14
484.516,-2.03
484.646,-3.41
484.766,-5.17
484.896,-7.07
485.016,-8.86
485.146,-9.56
485.266,-10.88
485.396,-12.31
485.516,-13.69
485.646,-14.66
485.766,-15.6
485.896,-16.03
486.016,-16.68
486.146,-17.03
486.266,-17.47
486.396,-18.02
486.516,-18.28
486.646,-18.58
486.766,-18.76
486.896,-19.02
487.016,-19.21
487.145,-19.61
487.266,-19.86
487.395,-20.08
487.516,-20.37
487.645,-20.65
487.766,-20.82
487.895,-20.95
488.016,-21.25
488.145,-21.46
488.266,-21.65
488.395,-21.75
488.516,-21.91
488.645,-22.15
488.766,-22.34
488.895,-22.46
489.016,-22.69
489.145,-22.78
