Time,RPM
489.299,13910
489.319,11181
489.339,13919
489.367,13863
489.387,13897
489.407,10374
489.427,14096
489.447,11592
489.466,10402
489.486,13920
489.506,13938
489.526,13941
489.546,13965
489.565,13973
489.585,8349
489.605,8376
489.625,7027
489.645,4702
489.67,4702
489.69,1177
489.71,10539
489.73,6975
489.75,11583
489.767,13911
489.787,13944
489.807,13999
489.827,6975
489.847,5968
489.857,14037
489.877,8342
489.897,9939
489.917,10369
489.937,13791
489.965,13655
489.985,13529
490.005,13469
490.025,13491
490.045,13569
490.067,13540
490.087,13472
490.107,13327
490.127,13117
490.147,13046
490.167,13184
490.187,13349
490.207,13279
490.227,13165
490.247,12880
490.269,12475
490.289,12161
490.309,12416
490.329,12800
490.349,12738
490.369,12480
490.389,12311
490.409,12258
490.429,12521
490.449,12484
490.466,12467
490.486,12313
490.506,12289
490.526,12503
490.546,12651
490.567,12761
490.587,12820
490.607,12829
490.627,12819
490.647,12804
490.665,12756
490.685,12629
490.705,12620
490.725,12523
490.745,12410
490.766,12282
490.786,12388
490.806,12454
490.826,12317
490.846,12263
490.868,12249
490.888,12181
490.908,12173
490.928,12225
490.948,12236
490.966,12213
490.986,12315
491.006,12608
491.026,12787
491.046,12899
491.066,12866
491.086,12752
491.106,12700
491.126,12646
491.146,12606
491.165,12589
491.185,12606
491.205,12611
491.225,12669
491.245,12666
491.265,12629
491.285,12560
491.305,12500
491.325,12470
491.345,12512
491.366,12537
491.386,12527
491.406,12562
491.426,12592
491.446,12659
491.465,12723
491.485,12727
491.505,12726
491.525,12710
491.545,12706
491.569,12689
491.589,12761
491.609,12823
491.629,12863
491.649,12910
491.667,12830
491.687,12819
491.707,12832
491.727,12845
491.747,12799
491.766,12827
491.786,12840
491.806,12890
491.826,12950
491.846,12990
491.868,13047
491.888,13038
491.908,12964
491.928,12912
491.948,12881
491.965,12933
491.985,13012
492.005,12983
492.025,12950
492.045,12880
492.067,12867
492.087,12855
492.107,12857
492.127,12850
492.147,12851
492.165,12924
492.185,12939
492.205,12899
492.225,13065
492.245,13626
492.251,14114
492.271,1756
492.291,7007
492.311,7007
492.331,7007
492.367,2809
492.387,12842
492.407,12866
492.427,12912
492.447,12991
492.469,12729
492.489,12635
492.509,12581
492.529,12723
492.549,13110
492.567,13355
492.587,13305
492.607,12929
492.627,12847
492.647,12837
492.669,12851
492.689,12887
492.709,12909
492.729,12892
492.749,12882
492.767,12902
492.787,13006
492.807,13156
492.827,13144
492.847,13004
492.868,13011
492.888,12958
492.908,12943
492.928,12944
492.948,12979
492.965,13003
492.985,13001
493.005,12984
493.025,12995
493.045,13136
493.066,13219
493.086,13168
493.106,13162
493.126,13197
493.146,13201
493.166,13252
493.186,13264
493.206,13178
493.226,13111
493.246,13062
493.267,13071
493.287,13085
493.307,13097
493.327,13159
493.347,13247
493.367,13204
493.387,13056
493.407,13064
493.427,13125
493.447,13135
493.468,13102
493.488,13109
493.508,13078
493.528,13096
493.548,13124
493.568,13270
493.588,13354
493.608,13340
493.628,13225
493.648,13193
493.668,13157
493.688,13158
493.708,13195
493.728,13282
493.748,13355
493.767,13413
493.787,13497
493.807,13628
493.827,13757
493.847,13610
493.869,13559
493.889,13508
493.909,13359
493.929,13397
493.949,13331
493.967,13343
493.987,13530
494.007,13545
494.027,13519
494.047,13405
494.065,13414
494.085,13409
494.105,13474
494.125,13518
494.145,13477
494.168,13478
494.188,13503
494.208,13481
494.228,13483
494.248,13520
494.265,13572
494.285,13552
494.305,13813
494.325,13932
494.345,11152
494.365,13860
494.385,13631
494.405,13606
494.425,13644
494.445,13645
494.466,13718
494.486,13724
494.506,13720
494.526,13689
494.546,13745
494.567,13803
494.587,13740
494.607,13720
494.627,13697
494.647,13700
494.667,13752
494.687,13924
494.707,6945
494.727,13857
494.747,13819
494.767,13741
494.787,13725
494.807,13615
494.827,13679
494.847,13645
494.868,13620
494.888,13552
494.908,13550
494.928,13580
494.948,13465
494.966,13391
494.986,13361
495.006,13503
495.026,13496
495.046,13509
495.068,13480
495.088,13457
495.108,13347
495.128,13197
495.148,12966
495.169,12478
495.189,12055
495.209,11969
495.229,12145
495.249,12497
495.267,12572
495.287,12639
495.307,12758
495.327,12717
495.347,12691
495.367,12635
495.387,12696
495.407,12725
495.427,12643
495.447,12558
495.466,12450
495.486,12320
495.506,12368
495.526,12472
495.546,12565
495.568,12476
495.588,12383
495.608,12357
495.628,12316
495.648,12338
495.665,12360
495.685,12261
495.705,12227
495.725,12171
495.745,12043
495.769,12065
495.789,12202
495.809,12290
495.829,12344
495.849,12435
495.866,12490
495.886,12504
495.906,12558
495.926,12625
495.946,12598
495.966,12522
495.986,12418
496.006,12222
496.026,12013
496.046,11869
496.066,11775
496.086,11738
496.106,11583
496.126,11342
496.146,11339
496.165,11355
496.185,11286
496.205,11139
496.225,10991
496.245,10992
496.268,11041
496.288,10989
496.308,11007
496.328,11022
496.348,11119
496.365,11077
496.385,11025
496.405,11135
496.425,11193
496.445,11429
496.466,11726
496.486,11806
496.506,11788
496.526,11773
496.546,11837
496.568,11858
496.588,11853
496.608,11824
496.628,11793
496.648,11749
496.665,11710
496.685,11654
496.705,11671
496.725,11705
496.745,11760
496.767,11785
496.787,11776
496.807,11718
496.827,11617
496.847,11538
496.865,11590
496.885,11394
496.905,11083
496.925,10835
496.945,10626
496.969,10803
496.989,10843
497.009,10899
497.029,10696
497.049,10415
497.065,10088
497.085,9976
497.105,10065
497.125,10373
497.145,10467
497.165,10266
497.185,10137
497.205,10324
497.225,10353
497.245,10271
497.265,10167
497.285,9931
497.305,9833
497.325,9925
497.345,10074
497.367,10154
497.387,10126
497.407,10063
497.427,9984
497.447,9936
497.469,9827
497.489,9798
497.509,9706
497.529,9808
497.549,9770
497.567,10052
497.587,10218
497.607,10188
497.627,10151
497.647,10093
497.667,10074
497.687,10008
497.707,10236
497.727,10154
497.747,9901
497.763,9646
497.783,9289
497.803,9225
497.823,9445
497.843,9580
497.865,9515
497.885,9480
497.905,9272
497.925,9227
497.945,9276
497.968,9497
497.988,9419
498.008,9295
498.028,9078
498.048,8855
498.067,8877
498.087,8965
498.107,8957
498.127,8868
498.147,8771
498.169,8665
498.189,8727
498.209,8860
498.229,8873
498.249,8797
498.264,8682
498.284,8663
498.304,8723
498.324,8756
498.344,8722
498.368,8593
498.388,8504
498.408,8620
498.428,8521
498.448,8681
498.466,8450
498.486,8597
498.506,8784
498.526,8911
498.546,8923
498.568,8866
498.588,8823
498.608,8837
498.628,8880
498.648,8948
498.663,8954
498.683,9040
498.703,9238
498.723,9315
498.743,9213
498.767,9161
498.787,9112
498.807,9101
498.827,9212
498.847,9425
498.865,9534
498.885,9519
498.905,9424
498.925,9376
498.945,9298
498.967,9298
498.987,9316
499.007,9407
499.027,9417
499.047,9411
499.069,9468
499.089,9595
499.109,9593
499.129,9528
499.149,9469
499.163,9467
499.183,9513
499.203,9598
499.223,9663
499.243,9668
499.269,9655
499.289,9606
499.309,9674
499.329,9717
499.349,9788
499.368,9863
499.388,9881
499.408,9868
499.428,9878
499.448,9918
499.465,9920
499.485,9934
499.505,9949
499.525,9983
499.545,9993
499.567,10020
499.587,10045
499.607,10097
499.627,10172
499.647,10242
499.668,10303
499.688,10317
499.708,10340
499.728,10301
499.748,10305
499.766,10336
499.786,10352
499.806,10397
499.826,10468
499.846,10519
499.864,10532
499.884,10514
499.904,10476
499.924,10486
499.944,10550
499.967,10622
499.987,10696
500.007,10767
500.027,10766
500.047,10796
500.067,10787
500.087,10748
500.107,10775
500.127,10808
500.147,10866
500.167,10960
500.187,10913
500.207,10805
500.227,10824
500.247,10892
500.266,10936
500.286,10964
500.306,11010
500.326,10945
500.346,10877
500.365,10843
500.385,10911
500.405,11038
500.425,11041
500.445,10964
500.468,11103
500.488,11359
500.508,11350
500.528,11206
500.548,11179
500.564,11146
500.584,11092
500.604,11150
500.624,11254
500.644,11362
500.666,11336
500.686,11286
500.706,11280
500.726,11288
500.746,11281
500.767,11319
500.787,11348
500.807,11421
500.827,11593
500.847,11661
500.866,11508
500.886,11424
500.906,11441
500.926,11502
500.946,11577
500.965,11584
500.985,11574
501.005,11578
501.025,11625
501.045,11711
501.068,11691
501.088,11691
501.108,11710
501.128,11747
501.148,11793
501.165,11864
501.185,11881
501.205,11854
501.225,11903
501.245,11928
501.266,11972
501.286,12037
501.306,12040
501.326,12019
501.346,12046
501.365,12086
501.385,12137
501.405,12204
501.425,12199
501.445,12160
501.469,12219
501.489,12280
501.509,12361
501.529,12396
501.549,12355
501.566,12313
501.586,12366
501.606,12402
501.626,12411
501.646,12410
501.668,12441
501.688,12491
501.708,12563
501.728,12552
501.748,12515
501.768,12497
501.788,12545
501.808,12614
501.828,12584
501.848,12536
501.869,12537
501.889,12542
501.909,12564
501.929,12568
501.949,12529
501.969,12386
501.989,12316
502.009,12274
502.029,12106
502.049,11809
502.069,11602
502.089,11452
502.109,11217
502.129,11021
502.149,11115
502.166,11274
502.186,11252
502.206,11112
502.226,11058
502.246,11053
502.268,11020
502.288,11014
502.308,10951
502.328,10808
502.348,10701
502.368,10679
502.388,10577
502.408,10376
502.428,10253
502.448,10298
502.466,10320
502.486,10400
502.506,10430
502.526,10478
502.546,10383
502.565,10289
502.585,10206
502.605,10058
502.625,9985
502.645,9903
502.666,9882
502.686,9929
502.706,9948
502.726,9912
502.746,9885
502.763,9823
502.783,9824
502.803,9873
502.823,9890
502.843,9904
502.867,9825
502.887,9857
502.907,10150
502.927,10307
502.947,10387
502.966,10535
502.986,10573
503.006,10629
503.026,10651
503.046,10677
503.068,10700
503.088,10690
503.108,10656
503.128,10459
503.148,10190
503.166,9919
503.186,9787
503.206,9695
503.226,9617
503.246,9507
503.266,9357
503.286,9390
503.306,9609
503.326,9966
503.346,9922
503.364,9977
503.384,10270
503.404,10649
503.424,11042
503.444,10902
503.466,10334
503.486,10071
503.506,10067
503.526,10159
503.546,10275
503.566,10357
503.586,10381
503.606,10541
503.626,10821
503.646,11031
503.666,11041
503.686,10629
503.706,10234
503.726,10146
503.746,10101
503.766,10053
503.786,10226
503.806,10405
503.826,10359
503.846,10204
503.865,10139
503.885,10162
503.905,10199
503.925,10200
503.945,10266
503.965,10431
503.985,10477
504.005,10330
504.025,10306
504.045,10305
504.069,10288
504.089,10315
504.109,10356
504.129,10404
504.149,10436
504.167,10552
504.187,10695
504.207,10768
504.227,10672
504.247,10531
504.269,10555
504.289,10576
504.309,10591
504.329,10652
504.349,10630
