Time,Exhaust_Temp
539.616,554.5
539.666,555.5
539.716,556.5
539.766,557.5
539.816,558.5
539.866,559.5
539.916,560
539.966,561
540.016,562
540.066,563
540.116,564
540.166,564.5
540.216,565.5
540.266,566
540.316,566.5
540.366,567
540.416,567.5
540.466,568
540.516,568.5
540.566,569
540.616,569
540.666,569.5
540.716,570
540.766,570
540.816,570.5
540.866,570.5
540.916,571
540.966,571
541.016,571.5
541.066,571.5
541.116,571.5
541.166,571.5
541.216,571.5
541.266,571.5
541.316,571.5
541.366,571.5
541.416,571.5
541.466,571.5
541.516,571.5
541.566,571.5
541.616,571.5
541.666,571.5
541.716,572
541.766,572
541.816,572
541.865,572.5
541.915,572.5
541.965,573
542.015,573.5
542.065,573.5
542.115,574
542.165,574.5
542.215,575
542.265,575
542.315,575.5
542.365,576
542.415,576.5
542.465,576.5
542.515,577
542.565,577.5
542.615,578
542.665,578.5
542.715,579
542.765,579
542.815,579.5
542.865,579.5
542.915,580
542.965,580
543.015,580
543.065,580
543.115,580.5
543.165,580.5
543.215,581
543.265,581
543.315,581.5
543.365,581.5
543.415,582
543.465,582
543.515,582.5
543.565,582.5
543.615,583
543.665,583
543.715,583.5
543.765,583.5
543.815,584
543.865,584
543.915,584.5
543.965,585
544.015,585
544.065,585.5
544.115,586
544.165,586
544.215,586.5
544.265,587
544.315,587.5
544.365,588
544.415,588.5
544.464,589
544.514,589.5
544.564,590
544.614,590.5
544.664,591
544.714,591
544.764,591.5
544.814,592
544.864,592.5
544.914,593
544.964,593.5
545.014,594
545.064,594.5
545.114,595
545.164,595.5
545.214,595.5
545.264,596
545.314,596
545.364,595.5
545.414,595.5
545.464,595
545.514,594
545.564,593.5
545.614,592.5
545.664,591.5
545.714,590
545.764,589
545.814,587.5
545.864,586
545.914,584.5
545.964,583
546.014,581.5
546.064,580
546.114,579
546.164,578
546.214,576.5
546.264,576
546.314,575
546.364,574
546.414,573.5
546.464,572.5
546.514,572
546.564,571.5
546.614,571
546.664,570.5
546.714,570
546.764,569.5
546.814,569
546.864,568.5
546.914,567.5
546.964,567
547.014,566
547.063,565
547.113,564
547.163,563
547.213,562
547.263,561.5
547.313,560.5
547.363,559.5
547.413,558.5
547.463,557.5
547.513,556.5
547.563,555
547.613,554
547.663,552.5
547.713,551
547.763,549
547.813,547.5
547.863,546
547.913,544
547.963,542.5
548.013,540.5
548.063,539
548.113,537.5
548.163,536
548.213,534.5
548.263,533
548.313,532
548.363,531
548.413,529.5
548.463,528.5
548.513,527.5
548.563,526
548.613,525
548.663,523.5
548.713,522
548.763,520.5
548.813,519
548.863,517.5
548.913,516.5
548.963,515.5
549.013,514.5
549.063,513.5
549.113,513
549.163,512
549.213,511.75
549.263,511
549.313,510.5
549.363,510
549.413,509.5
549.463,509.25
549.513,508.75
549.563,508.75
549.613,508.5
549.663,508.25
549.712,508.25
549.762,508
549.812,508
549.862,508
549.912,508
549.962,508.25
550.012,508.25
550.062,508.5
550.112,508.5
550.162,508.5
550.212,508.75
550.262,508.75
550.312,508.75
550.362,508.75
550.412,509
550.462,509
550.512,509.25
550.562,509.5
550.612,510
550.662,510.25
550.712,510.75
550.762,511
550.812,511.25
550.862,511.5
550.912,511.75
550.962,512
551.012,512.5
551.062,512.5
551.112,513
551.162,513.5
551.212,514
551.262,514.5
551.312,515
551.362,515.5
551.412,516
551.462,517
551.512,517.5
551.562,518
551.612,518.5
551.662,519
551.712,520
551.762,520.5
551.812,521
551.862,521.5
551.912,522
551.962,522.5
552.012,523.5
552.062,524
552.112,524.5
552.162,525
552.212,525.5
552.262,526
552.311,527
552.361,527.5
552.411,528
552.461,529
552.511,529.5
552.561,529.5
552.611,530
552.661,530
552.711,530
552.761,530
552.811,530
552.861,529.5
552.911,528.5
552.961,528
553.011,527
553.061,526
553.111,525
553.161,523.5
553.211,522
553.261,520.5
553.311,519
553.361,517.5
553.411,515.5
553.461,514
553.511,512
553.561,510.5
553.611,509
553.661,507.25
553.711,506
553.761,504.5
553.811,503.5
553.861,502.25
553.911,501.25
553.961,500.5
554.011,499.75
554.061,499
554.111,498.5
554.161,498
554.211,497.5
554.261,497.25
554.311,497
554.361,497
554.411,497
554.461,497
554.511,497
554.561,497.25
554.611,497.5
554.661,498
554.711,498.25
554.761,498.75
554.811,499.25
554.861,499.5
554.911,500
554.96,500.5
555.01,501
555.06,501.5
555.11,502
555.16,502.5
555.21,503.25
555.26,503.75
555.31,504.5
555.36,505.25
555.41,505.75
555.46,506.25
555.51,507
555.56,507.5
555.61,508.25
555.66,508.75
555.71,509.5
555.76,510.25
555.81,510.75
555.86,511.5
555.91,512
555.96,513
556.01,513.5
556.06,514.5
556.11,515
556.16,515.5
556.21,516.5
556.26,517
556.31,517.5
556.36,518
556.41,519
556.46,519.5
556.51,520
556.56,521
556.61,521.5
556.66,522
556.71,523
556.76,523.5
556.81,524.5
556.86,525
556.91,525.5
556.96,526.5
557.01,527
557.06,527.5
557.11,528.5
557.16,529
557.21,530
557.26,530.5
557.31,531.5
557.36,532
557.41,533
557.46,533.5
557.51,534.5
557.559,535
557.609,536
557.659,536.5
557.709,537
557.759,537
557.809,537.5
557.859,537.5
557.909,537.5
557.959,537
558.009,536.5
558.059,536
558.109,535.5
558.159,534.5
558.209,533.5
558.259,532
558.309,531
558.359,529.5
558.409,528
558.459,526.5
558.509,525
558.559,523.5
558.609,521.5
558.659,520
558.709,518
558.759,516
558.809,514.5
558.859,512.5
558.909,510.5
558.959,508.5
559.009,506.5
559.059,504.5
559.109,502.5
559.159,500.5
559.209,498.5
559.259,496.25
559.309,494.25
559.359,492.25
559.409,490
559.459,488
559.509,486
559.559,484
559.609,482
559.659,480.25
559.709,478.75
559.759,477.25
559.809,475.75
559.859,474.5
559.909,473.5
559.959,472.5
560.009,471.25
560.059,470.5
560.109,469.5
560.159,468.75
560.208,468
560.258,467.25
560.308,466.75
560.358,466.25
560.408,466
560.458,465.75
560.508,465.5
560.558,465.25
560.608,465
560.658,464.75
560.708,464.75
560.758,464.5
560.808,464.5
560.858,464.75
560.908,464.75
560.958,465
561.008,465.25
561.058,465.5
561.108,465.75
561.158,466
561.208,466.25
561.258,466.75
561.308,467
561.358,467.5
561.408,468
561.458,468.5
561.508,468.75
561.558,469.5
561.608,470
561.658,470.75
561.708,471.25
561.758,472
561.808,472.75
561.858,473.75
561.908,474.5
561.958,475.5
562.008,476.25
562.058,477.25
562.108,478.25
562.158,479
562.208,480
562.258,481
562.308,482
562.358,482.75
562.408,483.75
562.458,484.5
562.508,485.25
562.558,486.25
562.608,487
562.658,488
562.708,489
562.758,489.75
562.808,490.75
562.857,491.75
562.907,492.75
562.957,493.75
563.007,494.75
563.057,495.5
563.107,496.5
563.157,497.5
563.207,498.25
563.257,499.25
563.307,500.25
563.357,501
563.407,501.75
563.457,502.75
563.507,503.25
563.557,504
563.607,504.5
563.657,505
563.707,505.25
563.757,505.5
563.807,505.75
563.857,505.75
563.907,505.75
563.957,506
564.007,505.75
564.057,505.5
564.107,505.25
564.157,505
564.207,504.75
564.257,504.25
564.307,504
564.357,503.75
564.407,503.5
564.457,503.25
564.507,503.25
564.557,503.25
564.607,503.25
564.657,503.25
564.707,503.25
564.757,503.25
564.807,503.25
564.857,503.25
564.907,503.5
564.957,503.5
565.007,503.75
565.057,503.75
565.107,504
565.157,504.25
565.207,504.5
565.257,504.75
565.307,505
565.357,505.25
565.407,505.75
565.456,506
565.506,506.75
565.556,507.25
565.606,508
565.656,508.5
565.706,509
565.756,509.5
565.806,509.75
565.856,510.25
565.906,510.5
565.956,511
566.006,511.25
566.056,511.75
566.106,512
566.156,512.5
566.206,513
566.256,513.5
566.306,514
566.356,515
566.406,515.5
566.456,516
566.506,517
566.556,517.5
566.606,518.5
566.656,519
566.706,519.5
566.756,520.5
566.806,521
566.856,521.5
566.906,522.5
566.956,523
567.006,524
567.056,524.5
567.106,525.5
567.156,526
567.206,527
567.256,527.5
567.306,528.5
567.356,529
567.406,530
567.456,530.5
567.506,531.5
567.556,532
567.606,532.5
567.656,533
567.706,533.5
567.756,534
567.806,534
567.856,534
567.906,534
567.956,533.5
568.006,533
568.055,532.5
568.105,532
568.155,531
568.205,530
568.255,529
568.305,528
568.355,526.5
568.405,525
568.455,524
568.505,522.5
568.555,520.5
568.605,519
568.655,517.5
568.705,515.5
568.755,514
568.805,512
568.855,510.25
568.905,508.25
568.955,506.25
569.005,504.25
569.055,502.25
569.105,500.25
569.155,498.25
569.205,496
569.255,493.75
569.305,491.75
569.355,489.5
569.405,487.5
569.455,485.25
569.505,483.25
569.555,481.25
569.605,479
569.655,477.25
569.705,475.5
569.755,474
569.805,472.5
569.855,471
569.905,469.75
569.955,468.75
570.005,467.5
570.055,466.75
570.105,465.75
570.155,465
570.205,464.5
570.255,464
570.305,463.5
570.355,463
570.405,462.5
570.455,462.25
570.505,461.75
570.555,461.5
570.605,461.25
570.655,461.25
570.704,461
570.755,461
570.804,461
570.854,461
570.904,461.25
570.954,461.25
571.004,461.25
571.054,461.5
571.104,461.5
