Time,ECEF_velocity_Z
539.641,22.04
539.749,22.23
539.891,22.33
539.999,22.48
540.141,22.49
540.249,22.41
540.39,22.44
540.499,22.26
540.64,22.13
540.749,21.96
540.89,22.03
540.999,21.9
541.14,21.79
541.249,21.51
541.39,20.88
541.499,20.11
541.64,19.14
541.749,18.31
541.89,17.56
541.999,17.09
542.14,16.09
542.249,15.1
542.39,14.04
542.499,12.85
542.64,11.24
542.749,9.78
542.89,8.22
542.999,6.18
543.14,4.02
543.249,2.27
543.39,0.81
543.499,-0.78
543.64,-2.44
543.749,-3.45
543.89,-4.59
543.999,-5.31
544.14,-5.65
544.249,-5.89
544.39,-5.9
544.499,-5.98
544.64,-5.97
544.749,-6.04
544.89,-6.14
544.999,-6.02
545.14,-5.92
545.249,-5.86
545.39,-5.83
545.499,-5.8
545.64,-6.04
545.749,-6.65
545.89,-7.42
545.999,-8.13
546.14,-9.2
546.249,-9.82
546.39,-10.89
546.499,-11.52
546.64,-12.3
546.749,-12.89
546.89,-14.06
546.999,-15.1
547.14,-15.28
547.249,-15.7
547.39,-15.96
547.499,-16.12
547.64,-16.21
547.749,-16.1
547.89,-16.4
547.999,-16.18
548.14,-15.63
548.249,-14.95
548.39,-13.82
548.499,-12.73
548.64,-11.51
548.749,-10.38
548.89,-9
548.999,-7.42
549.14,-5.39
549.249,-4.25
549.39,-2.35
549.499,-0.86
549.64,0.99
549.749,2.45
549.89,4.23
549.999,5.7
550.14,7.35
550.249,8.5
550.39,10.04
550.499,11.09
550.64,11.98
550.749,12.91
550.89,13.68
550.999,14.27
551.139,14.66
551.249,14.76
551.389,14.74
551.499,14.59
551.639,14.26
551.749,13.63
551.889,12.78
551.999,11.62
552.139,10.63
552.249,9.25
552.389,7.93
552.499,6.67
552.639,4.99
552.749,3.66
552.889,2.01
552.999,0.16
553.139,-1.43
553.249,-2.92
553.389,-4.63
553.499,-6.38
553.639,-7.73
553.749,-9.07
553.889,-10.4
553.999,-11.68
554.139,-12.69
554.249,-13.87
554.389,-14.64
554.499,-15.48
554.639,-16.22
554.749,-16.81
554.889,-17.34
554.999,-17.81
555.139,-17.79
555.249,-17.87
555.389,-17.91
555.499,-17.91
555.639,-17.74
555.749,-17.79
555.889,-17.74
555.999,-17.51
556.139,-17.3
556.249,-17.2
556.389,-16.98
556.499,-16.85
556.639,-16.89
556.749,-17.1
556.889,-17.45
556.999,-17.9
557.139,-18.44
557.249,-18.85
557.389,-18.57
557.499,-18.05
557.639,-17.63
557.749,-17.09
557.889,-16.79
557.999,-16.33
558.139,-15.89
558.249,-15.44
558.389,-15.07
558.499,-14.53
558.639,-13.79
558.749,-12.94
558.889,-11.92
558.999,-10.86
559.139,-9.77
559.249,-8.54
559.389,-7.04
559.499,-5.63
559.639,-3.87
559.749,-2.34
559.889,-0.48
559.999,1.18
560.139,2.84
560.249,4.33
560.389,6.01
560.499,7.38
560.639,8.57
560.749,9.45
560.889,10.69
560.999,12.08
561.139,13.02
561.249,13.76
561.389,14.63
561.499,15.25
561.638,15.87
561.749,16.33
561.888,16.81
561.999,17.25
562.138,17.7
562.249,18.06
562.388,18.28
562.499,18.49
562.638,18.65
562.749,18.79
562.888,18.8
562.999,18.64
563.138,18.31
563.249,17.57
563.388,16.66
563.499,15.73
563.638,14.73
563.749,13.43
563.888,12
563.999,10.5
564.138,8.75
564.249,7.03
564.388,5.52
564.499,3.43
564.638,1.55
564.749,-0.09
564.888,-1.67
564.999,-3.06
565.138,-4.8
565.249,-6.51
565.388,-7.7
565.499,-9.07
565.638,-10.32
565.749,-11.49
565.888,-12.5
565.999,-13.19
566.138,-13.98
566.249,-14.6
566.388,-15.05
566.499,-15.71
566.638,-16.11
566.749,-16.87
566.888,-17.47
566.999,-18.06
567.138,-18.53
567.249,-18.64
567.388,-18.14
567.499,-17.53
567.638,-16.9
567.749,-16.28
567.888,-15.91
567.999,-15.7
568.138,-15.53
568.249,-15.08
568.388,-14.69
568.499,-14.23
568.638,-13.69
568.749,-12.77
568.888,-11.88
568.999,-10.78
569.138,-9.61
569.249,-8.13
569.388,-6.73
569.499,-5.36
569.638,-4.03
569.749,-2.2
569.888,-0.89
569.999,0.63
570.138,2.78
570.249,4.05
570.388,5.58
570.499,6.86
570.638,8.06
570.749,9.22
570.888,10.3
570.999,11.39
571.138,12.33
571.249,13.05
571.388,13.83
571.499,14.31
571.638,14.46
571.749,13.68
571.888,12.7
571.999,11.89
572.138,10.87
572.249,9.68
572.387,8.22
572.499,6.71
572.637,5.32
572.749,3.32
572.887,1.69
572.999,-0.64
573.137,-2.36
573.249,-3.9
573.387,-5.5
573.499,-6.9
573.637,-8.4
573.749,-9.55
573.887,-10.69
573.999,-11.5
574.137,-12.35
574.249,-13.18
574.387,-13.76
574.499,-14.4
574.637,-14.87
574.749,-15.33
574.887,-15.85
574.999,-16.37
575.137,-16.58
575.249,-16.79
575.387,-16.54
575.499,-16.23
575.637,-15.76
575.749,-15.07
575.887,-13.85
575.999,-13.03
576.137,-11.41
576.249,-10.86
576.387,-9.22
576.499,-8.1
576.637,-6.92
576.749,-5.91
576.887,-5.56
576.999,-5.33
577.137,-5.42
577.249,-5.77
577.387,-6.57
577.499,-6.84
577.637,-7.82
577.749,-8.56
577.887,-9.31
577.999,-9.83
578.137,-10.37
578.249,-10.77
578.387,-11.07
578.499,-11.4
578.637,-11.5
578.749,-11.3
578.887,-11.09
578.999,-10.96
579.137,-10.6
579.249,-9.8
579.387,-8.86
579.499,-7.9
579.637,-6.71
579.749,-5.24
579.887,-3.02
579.999,-1.93
580.137,-0.54
580.249,1.2
580.387,2.47
580.499,3.71
580.637,4.85
580.749,6.08
580.887,7.15
580.999,8.2
581.137,8.85
581.249,9.35
581.387,9.66
581.499,9.84
581.637,9.94
581.749,9.77
581.887,9.58
581.999,9.08
582.137,8.86
582.249,8.05
582.387,7.33
582.499,6.13
582.637,5.26
582.749,3.92
582.887,2.67
582.999,0.88
583.136,-0.94
583.249,-2.44
583.386,-4.08
583.499,-5.35
583.636,-6.23
583.749,-7.09
583.886,-7.53
583.999,-7.64
584.136,-7.46
584.249,-7.16
584.386,-6.75
584.499,-6.28
584.636,-5.68
584.749,-4.92
584.886,-4.25
584.999,-3.56
585.136,-2.6
585.249,-1.77
585.386,-0.92
585.499,0.04
585.636,0.7
585.749,1.36
585.886,1.84
585.999,2.31
586.136,2.46
586.249,2.78
586.386,2.81
586.499,2.89
586.636,2.92
586.749,2.98
586.886,3
586.999,3.11
587.136,3.16
587.249,3.21
587.386,3.24
587.499,3.27
587.636,3.24
587.749,3.16
587.886,2.95
587.999,2.67
588.136,2.51
588.249,2.14
588.386,2.14
588.499,1.84
588.636,1.76
588.749,1.75
588.886,1.61
588.999,1.49
589.136,1.56
589.249,1.61
589.386,1.53
589.499,1.49
589.636,1.38
589.749,1.22
589.886,1.19
589.999,1.01
590.136,0.93
590.249,0.85
590.386,0.66
590.499,0.71
590.636,0.73
590.749,0.57
590.886,0.73
590.999,0.56
591.136,0.63
591.249,0.47
591.386,0.62
591.499,0.65
591.636,1.01
591.749,0.99
591.886,1.13
591.999,1.4
592.136,1.57
592.249,1.47
592.386,1.56
592.499,1.79
592.636,2.03
592.749,2.17
592.886,2.36
592.999,2.56
593.136,2.67
593.249,2.82
593.386,3
593.499,3.12
593.635,3.34
593.749,3.32
593.885,3.27
593.999,3.11
594.135,2.6
594.249,1.96
594.385,1.42
594.499,0.79
594.635,0.2
594.749,-0.2
594.885,-0.03
594.999,-0.02
595.135,-0.01
595.249,-0.02
595.385,-0.07
595.499,-0.08
595.635,-0.12
595.749,-0.07
595.885,-0.02
595.999,0.05
596.135,-0.13
596.249,-0.01
596.385,0.04
596.499,-0.01
596.635,-0.11
596.749,0.01
596.885,-0.2
596.999,0.03
597.135,-0.05
597.249,-0.17
597.385,-0.16
597.499,-0.07
597.635,0.05
597.749,0
597.885,0.01
597.999,-0.03
598.135,0
