Time,N_Satellites
539.641,15
539.749,15
539.891,15
539.999,15
540.141,15
540.249,15
540.39,14
540.499,14
540.64,15
540.749,15
540.89,15
540.999,15
541.14,15
541.249,15
541.39,15
541.499,15
541.64,15
541.749,14
541.89,14
541.999,14
542.14,14
542.249,14
542.39,14
542.499,14
542.64,14
542.749,14
542.89,14
542.999,14
543.14,14
543.249,14
543.39,14
543.499,14
543.64,14
543.749,14
543.89,14
543.999,14
544.14,14
544.249,14
544.39,14
544.499,14
544.64,14
544.749,14
544.89,14
544.999,14
545.14,14
545.249,14
545.39,14
545.499,15
545.64,15
545.749,15
545.89,15
545.999,15
546.14,15
546.249,15
546.39,15
546.499,15
546.64,15
546.749,15
546.89,15
546.999,15
547.14,15
547.249,15
547.39,15
547.499,15
547.64,15
547.749,15
547.89,14
547.999,14
548.14,14
548.249,14
548.39,14
548.499,14
548.64,14
548.749,14
548.89,14
548.999,14
549.14,14
549.249,14
549.39,14
549.499,14
549.64,14
549.749,14
549.89,14
549.999,14
550.14,14
550.249,14
550.39,14
550.499,15
550.64,15
550.749,15
550.89,15
550.999,15
551.139,15
551.249,15
551.389,15
551.499,15
551.639,15
551.749,15
551.889,15
551.999,15
552.139,15
552.249,15
552.389,15
552.499,15
552.639,15
552.749,15
552.889,15
552.999,15
553.139,15
553.249,15
553.389,15
553.499,15
553.639,15
553.749,15
553.889,15
553.999,15
554.139,15
554.249,15
554.389,15
554.499,15
554.639,15
554.749,15
554.889,15
554.999,15
555.139,15
555.249,15
555.389,15
555.499,15
555.639,15
555.749,15
555.889,15
555.999,15
556.139,15
556.249,15
556.389,15
556.499,15
556.639,15
556.749,15
556.889,15
556.999,15
557.139,15
557.249,15
557.389,15
557.499,15
557.639,15
557.749,15
557.889,15
557.999,15
558.139,15
558.249,15
558.389,15
558.499,15
558.639,15
558.749,15
558.889,15
558.999,15
559.139,15
559.249,15
559.389,15
559.499,15
559.639,15
559.749,15
559.889,15
559.999,15
560.139,15
560.249,15
560.389,15
560.499,15
560.639,15
560.749,15
560.889,15
560.999,15
561.139,15
561.249,15
561.389,15
561.499,15
561.638,15
561.749,15
561.888,15
561.999,15
562.138,14
562.249,14
562.388,14
562.499,14
562.638,14
562.749,14
562.888,14
562.999,14
563.138,14
563.249,14
563.388,14
563.499,14
563.638,14
563.749,14
563.888,14
563.999,14
564.138,14
564.249,14
564.388,14
564.499,14
564.638,14
564.749,14
564.888,14
564.999,14
565.138,14
565.249,15
565.388,15
565.499,15
565.638,15
565.749,15
565.888,16
565.999,16
566.138,16
566.249,16
566.388,16
566.499,16
566.638,16
566.749,15
566.888,16
566.999,16
567.138,16
567.249,16
567.388,16
567.499,16
567.638,16
567.749,16
567.888,16
567.999,16
568.138,16
568.249,16
568.388,16
568.499,16
568.638,16
568.749,16
568.888,16
568.999,16
569.138,16
569.249,16
569.388,16
569.499,16
569.638,16
569.749,16
569.888,16
569.999,16
570.138,16
570.249,16
570.388,16
570.499,16
570.638,16
570.749,16
570.888,16
570.999,16
571.138,16
571.249,16
571.388,16
571.499,16
571.638,16
571.749,16
571.888,16
571.999,16
572.138,16
572.249,16
572.387,16
572.499,16
572.637,16
572.749,16
572.887,16
572.999,16
573.137,16
573.249,16
573.387,16
573.499,16
573.637,16
573.749,16
573.887,16
573.999,16
574.137,16
574.249,16
574.387,16
574.499,16
574.637,16
574.749,16
574.887,16
574.999,16
575.137,16
575.249,16
575.387,16
575.499,16
575.637,16
575.749,16
575.887,16
575.999,16
576.137,16
576.249,16
576.387,16
576.499,16
576.637,16
576.749,16
576.887,16
576.999,16
577.137,16
577.249,16
577.387,16
577.499,16
577.637,16
577.749,16
577.887,16
577.999,16
578.137,16
578.249,16
578.387,16
578.499,16
578.637,16
578.749,16
578.887,16
578.999,16
579.137,16
579.249,16
579.387,16
579.499,16
579.637,16
579.749,16
579.887,16
579.999,16
580.137,16
580.249,16
580.387,16
580.499,15
580.637,15
580.749,16
580.887,16
580.999,16
581.137,16
581.249,16
581.387,16
581.499,16
581.637,16
581.749,16
581.887,16
581.999,16
582.137,16
582.249,16
582.387,16
582.499,16
582.637,16
582.749,16
582.887,16
582.999,16
583.136,16
583.249,16
583.386,16
583.499,16
583.636,16
583.749,16
583.886,16
583.999,16
584.136,16
584.249,16
584.386,16
584.499,16
584.636,16
584.749,16
584.886,16
584.999,16
585.136,16
585.249,16
585.386,16
585.499,16
585.636,16
585.749,16
585.886,16
585.999,16
586.136,16
586.249,16
586.386,16
586.499,16
586.636,16
586.749,16
586.886,16
586.999,16
587.136,16
587.249,16
587.386,16
587.499,16
587.636,16
587.749,16
587.886,16
587.999,16
588.136,16
588.249,16
588.386,16
588.499,16
588.636,16
588.749,16
588.886,16
588.999,16
589.136,16
589.249,16
589.386,16
589.499,16
589.636,14
589.749,16
589.886,16
589.999,16
590.136,16
590.249,16
590.386,16
590.499,15
590.636,16
590.749,16
590.886,16
590.999,15
591.136,14
591.249,15
591.386,15
591.499,15
591.636,15
591.749,15
591.886,15
591.999,14
592.136,14
592.249,14
592.386,14
592.499,15
592.636,14
592.749,15
592.886,15
592.999,15
593.136,15
593.249,15
593.386,16
593.499,16
593.635,16
593.749,15
593.885,15
593.999,15
594.135,15
594.249,16
594.385,16
594.499,16
594.635,16
594.749,16
594.885,16
594.999,16
595.135,16
595.249,15
595.385,14
595.499,16
595.635,16
595.749,16
595.885,16
595.999,15
596.135,15
596.249,15
596.385,15
596.499,15
596.635,15
596.749,15
596.885,15
596.999,15
597.135,16
597.249,15
597.385,15
597.499,15
597.635,15
597.749,15
597.885,15
597.999,15
598.135,15
