Time,ECEF_velocity_Y
82.316,1.52
82.45,1.56
82.566,1.72
82.7,1.78
82.816,1.61
82.95,1.7
83.066,1.62
83.2,1.71
83.316,2.08
83.45,2.44
83.566,3.19
83.7,4.31
83.816,5.14
83.95,6.73
84.066,8.67
84.2,10.72
84.316,13.2
84.45,14.35
84.566,16.09
84.7,18.07
84.816,19.74
84.95,21.47
85.066,22.85
85.2,23.91
85.316,24.94
85.45,26.22
85.566,26.87
85.7,27.87
85.816,28.75
85.95,29.18
86.066,29.8
86.2,30.32
86.316,30.39
86.45,30.67
86.566,30.72
86.7,30.88
86.816,31
86.95,31.09
87.066,31.19
87.2,31.37
87.316,31.52
87.45,31.7
87.566,31.81
87.7,31.81
87.816,31.42
87.95,30.67
88.066,30.17
88.2,29.33
88.316,28.43
88.45,27.51
88.566,26.91
88.7,26.33
88.816,25.4
88.95,24.29
89.066,22.9
89.2,21.6
89.316,20.35
89.45,18.99
89.566,17.55
89.7,16.02
89.816,14.88
89.95,13.38
90.066,12.09
90.2,10.43
90.316,8.78
90.45,7.07
90.566,5.22
90.7,3.67
90.816,2.07
90.95,0.62
91.066,-0.65
91.2,-2.09
91.316,-3.42
91.45,-5.03
91.566,-6.65
91.699,-8.67
91.816,-10.52
91.949,-12.12
92.066,-13.79
92.199,-15.53
92.316,-16.73
92.449,-17.73
92.566,-18.74
92.699,-19.39
92.816,-20.13
92.949,-20.58
93.066,-20.85
93.199,-20.96
93.316,-20.9
93.449,-20.96
93.566,-20.61
93.699,-20.22
93.816,-19.86
93.949,-19.78
94.066,-19.82
94.199,-19.86
94.316,-19.87
94.449,-20.04
94.566,-20.4
94.699,-20.95
94.816,-21.45
94.949,-21.52
95.066,-21.62
95.199,-21.73
95.316,-21.93
95.449,-21.91
95.566,-21.74
95.699,-21.47
95.816,-21.22
95.949,-20.76
96.066,-20.71
96.199,-20.45
96.316,-20.16
96.449,-19.28
96.566,-18.46
96.699,-18.07
96.816,-17.42
96.949,-16.37
97.066,-15.23
97.199,-14.24
97.316,-12.86
97.449,-11.1
97.566,-9.56
97.699,-7.43
97.816,-5.89
97.949,-3.81
98.066,-2.54
98.199,-0.68
98.316,0.76
98.449,1.74
98.566,1.98
98.699,1.77
98.816,1.17
98.949,0.17
99.066,-1.34
99.199,-3.04
99.316,-4.37
99.449,-5.22
99.566,-6.28
99.699,-7.15
99.816,-8.1
99.949,-8.65
100.066,-9.18
100.199,-9.49
100.316,-9.64
100.449,-9.64
100.566,-9.68
100.699,-9.63
100.816,-9.5
100.949,-9.12
101.066,-8.92
101.199,-8.6
101.316,-8.43
101.449,-8.1
101.566,-7.61
101.699,-7
101.816,-5.86
101.949,-4.81
102.066,-3.7
102.199,-3.12
102.316,-2.19
102.448,-1.05
102.566,0.46
102.698,1.85
102.816,3.55
102.948,5.34
103.066,6.8
103.198,7.66
103.316,8.73
103.448,9.53
103.566,10.4
103.698,11.26
103.816,11.98
103.948,12.91
104.066,13.27
104.198,13.18
104.316,13.6
104.448,13.02
104.566,12.9
104.698,12.5
104.816,11.93
104.948,11.11
105.066,10.17
105.198,9.04
105.316,7.9
105.448,6.69
105.566,5.9
105.698,5.24
105.816,4.63
105.948,3.88
106.066,3.38
106.198,2.58
106.316,1.76
106.448,1.38
106.566,1.18
106.698,1.03
106.816,0.96
106.948,1.12
107.066,1.48
107.198,1.65
107.316,2.08
107.448,2.28
107.566,3.09
107.698,3.84
107.816,5.13
107.948,6.73
108.066,7.38
108.198,8.39
108.316,9.74
108.448,10.99
108.566,12.04
108.698,13.3
108.816,14.77
108.948,15.7
109.066,16.92
109.198,18.25
109.316,19.53
109.448,20.57
109.566,21.52
109.698,22.25
109.816,22.37
109.948,22.93
110.066,22.8
110.198,22.9
110.316,22.7
110.448,22.67
110.566,22.45
110.698,22.26
110.816,21.95
110.948,21.68
111.066,21.38
111.198,21
111.316,20.59
111.448,20.18
111.566,19.64
111.698,19.04
111.816,18.24
111.948,17.84
112.066,17.35
112.198,16.92
112.316,16.2
112.448,15.69
112.566,14.57
112.698,13.88
112.816,13.02
112.947,11.98
113.066,10.69
113.197,9.04
113.316,7.5
113.447,5.39
113.566,3.95
113.697,2.24
113.816,0.65
113.947,-1.15
114.066,-3.06
114.197,-4.74
114.316,-6.25
114.447,-8.08
114.566,-9.48
114.697,-11.09
114.816,-12.5
114.947,-13.58
115.066,-14.06
115.197,-14.91
115.316,-14.88
115.447,-15.05
115.566,-14.8
115.697,-14.5
115.816,-14.04
115.947,-13.88
116.066,-13.29
116.197,-12.88
116.316,-12.38
116.447,-11.71
116.566,-10.77
116.697,-9.91
116.816,-9.71
116.947,-9.97
117.066,-10.34
117.197,-10.9
117.316,-11.52
117.447,-11.92
117.566,-12.77
117.697,-13.27
117.816,-13.35
117.947,-13.78
118.066,-14.07
118.197,-14.43
118.316,-14.35
118.447,-14.53
118.566,-14.07
118.697,-13.94
118.816,-12.96
118.947,-11.97
119.066,-11.24
119.197,-10.02
