Time,ECEF_position_Z
135.416,4491002.94
135.553,4491005.79
135.666,4491008.56
135.803,4491011.36
135.916,4491014.18
136.053,4491017.01
136.166,4491019.82
136.303,4491022.65
136.416,4491025.46
136.553,4491028.36
136.666,4491031.18
136.803,4491033.92
136.916,4491036.6
137.053,4491039.2
137.166,4491041.75
137.303,4491044.11
137.416,4491046.3
137.553,4491048.45
137.666,4491050.38
137.803,4491052.3
137.916,4491054.03
138.053,4491055.32
138.166,4491056.56
138.303,4491057.13
138.416,4491057.78
138.553,4491058.43
138.666,4491058.91
138.803,4491059.52
138.916,4491059.63
139.053,4491059.75
139.166,4491059.61
139.303,4491059
139.416,4491058.52
139.553,4491057.98
139.666,4491057.39
139.803,4491056.77
139.916,4491056.16
140.053,4491055.5
140.166,4491054.85
140.303,4491054.15
140.416,4491053.48
140.553,4491052.79
140.666,4491052.03
140.803,4491051.26
140.916,4491050.43
141.053,4491049.56
141.166,4491048.66
141.303,4491047.67
141.416,4491046.64
141.553,4491045.54
141.666,4491044.36
141.803,4491043.14
141.916,4491041.8
142.053,4491040.41
142.166,4491038.85
142.303,4491037.21
142.416,4491035.45
142.553,4491033.65
142.666,4491031.69
142.803,4491029.69
142.916,4491027.64
143.053,4491025.59
143.166,4491023.51
143.303,4491021.54
143.416,4491019.49
143.553,4491017.55
143.666,4491015.67
143.803,4491013.87
143.916,4491012.16
144.053,4491010.62
144.166,4491009.17
144.303,4491007.93
144.416,4491006.77
144.553,4491005.79
144.666,4491004.96
144.803,4491004.31
144.916,4491003.89
145.052,4491003.56
145.166,4491003.47
145.302,4491003.51
145.416,4491003.77
145.552,4491004.13
145.666,4491004.67
145.802,4491005.31
145.916,4491006.19
146.052,4491007.2
146.166,4491008.38
146.302,4491009.69
146.416,4491011.09
146.552,4491012.69
146.666,4491014.4
146.802,4491016.14
146.916,4491018.01
147.052,4491019.86
147.166,4491021.73
147.302,4491023.56
147.416,4491025.26
147.552,4491026.94
147.666,4491028.51
147.802,4491029.89
147.916,4491031.14
148.052,4491032.23
148.166,4491033.16
148.302,4491033.95
148.416,4491034.6
148.552,4491035.07
148.666,4491035.37
148.802,4491035.54
148.916,4491035.54
149.052,4491035.3
149.166,4491034.97
149.302,4491034.45
149.416,4491033.75
149.552,4491032.99
149.666,4491032.11
149.802,4491031.18
149.916,4491030.15
150.052,4491029.03
150.166,4491027.84
150.302,4491026.62
150.416,4491025.32
150.552,4491023.94
150.666,4491022.54
150.802,4491021.09
150.916,4491019.54
151.052,4491018.03
151.166,4491016.38
151.302,4491014.71
151.416,4491012.97
151.552,4491011.27
151.666,4491009.48
151.802,4491007.58
151.916,4491005.64
152.052,4491003.66
152.166,4491001.59
152.302,4490999.5
152.416,4490997.39
152.552,4490995.21
152.666,4490993.13
152.802,4490990.96
152.916,4490988.76
153.052,4490986.62
153.166,4490984.42
153.302,4490982.19
153.416,4490979.92
153.552,4490977.61
153.666,4490975.33
153.802,4490973.13
153.916,4490970.98
154.052,4490968.94
154.166,4490966.99
154.302,4490964.99
154.416,4490963.12
154.552,4490961.29
154.666,4490959.56
154.802,4490957.87
154.916,4490956.21
155.052,4490954.62
155.166,4490953.08
155.302,4490951.58
155.416,4490950.23
155.552,4490948.86
155.666,4490947.61
155.801,4490946.46
155.916,4490945.41
156.051,4490944.47
156.166,4490943.55
156.301,4490942.76
156.416,4490942.13
156.551,4490941.66
156.666,4490941.39
156.801,4490941.23
156.916,4490941.21
157.051,4490941.28
157.166,4490941.55
157.301,4490942.03
157.416,4490942.58
157.551,4490943.21
157.666,4490944.03
157.801,4490945.02
157.916,4490946.22
158.051,4490947.5
158.166,4490948.85
158.301,4490950.3
158.416,4490951.89
158.551,4490953.52
158.666,4490955.25
158.801,4490957.04
158.916,4490958.92
159.051,4490960.9
159.166,4490962.9
159.301,4490964.97
159.416,4490967.1
159.551,4490969.27
159.666,4490971.5
159.801,4490973.76
159.916,4490976.08
160.051,4490978.41
160.166,4490980.73
160.301,4490983.01
160.416,4490985.24
160.551,4490987.39
160.666,4490989.46
160.801,4490991.37
160.916,4490993.13
161.051,4490994.69
161.166,4490996.06
161.301,4490997.34
161.416,4490998.37
161.551,4490999.31
161.666,4491000.07
161.801,4491000.65
161.916,4491001.18
162.051,4491001.44
162.166,4491001.42
162.301,4491001.27
162.416,4491000.9
162.551,4491000.36
162.666,4490999.62
162.801,4490998.56
162.916,4490997.45
163.051,4490996.21
163.166,4490994.84
163.301,4490993.37
163.416,4490991.75
163.551,4490990.05
163.666,4490988.22
163.801,4490986.32
163.916,4490984.34
164.051,4490982.29
164.166,4490980.14
164.301,4490977.92
164.416,4490975.61
164.551,4490973.25
164.666,4490970.87
164.801,4490968.54
164.916,4490966.3
165.051,4490964.12
165.166,4490961.99
165.301,4490959.94
165.416,4490957.93
165.551,4490955.96
165.666,4490954.06
165.801,4490952.23
165.916,4490950.4
166.051,4490948.66
166.166,4490947.04
166.301,4490945.61
166.416,4490944.28
166.551,4490943.09
166.666,4490942.01
166.8,4490941.08
166.916,4490940.37
167.05,4490939.8
167.166,4490939.43
167.3,4490939.26
167.416,4490939.23
167.55,4490939.42
167.666,4490939.77
167.8,4490940.25
167.916,4490940.86
168.05,4490941.63
168.166,4490942.56
168.3,4490943.59
168.416,4490944.8
168.55,4490946.08
168.666,4490947.51
168.8,4490949.01
168.916,4490950.58
169.05,4490952.27
169.166,4490953.98
169.3,4490955.7
169.416,4490957.25
169.55,4490958.71
169.666,4490960.02
