Time,GPS_Nsat
238.5,15
238.6,14
238.7,14
238.8,14
238.9,14
239,14
239.1,15
239.2,15
239.3,14
239.4,14
239.5,15
239.6,15
239.7,14
239.8,14
239.9,14
240,15
240.1,15
240.2,15
240.3,14
240.4,14
240.5,14
240.6,14
240.7,14
240.8,14
240.9,14
241,14
241.1,13
241.2,14
241.3,13
241.4,13
241.5,14
241.6,14
241.7,14
241.8,13
241.9,13
242,14
242.1,14
242.2,14
242.3,14
242.4,14
242.5,14
242.6,14
242.7,14
242.8,14
242.9,14
243,14
243.1,14
243.2,14
243.3,14
243.4,14
243.5,14
243.6,14
243.7,14
243.8,14
243.9,14
244,14
244.1,14
244.2,14
244.3,14
244.4,14
244.5,14
244.6,14
244.7,14
244.8,14
244.9,14
245,14
245.1,14
245.2,14
245.3,14
245.4,14
245.5,14
245.6,14
245.7,14
245.8,14
245.9,14
246,14
246.1,14
246.2,14
246.3,14
246.4,14
246.5,14
246.6,14
246.7,14
246.8,14
246.9,14
247,14
247.1,14
247.2,14
247.3,14
247.4,14
247.5,14
247.6,14
247.7,14
247.8,14
247.9,14
248,14
248.1,14
248.2,14
248.3,14
248.4,14
248.5,14
248.6,14
248.7,14
248.8,14
248.9,14
249,14
249.1,14
249.2,14
249.3,15
249.4,15
249.5,15
249.6,15
249.7,15
249.8,15
249.9,15
250,15
250.1,15
250.2,15
250.3,15
250.4,15
250.5,15
250.6,15
250.7,15
250.8,15
250.9,15
251,15
251.1,15
251.2,15
251.3,15
251.4,15
251.5,15
251.6,15
251.7,15
251.8,15
251.9,15
252,15
252.1,15
252.2,15
252.3,15
252.4,15
252.5,15
252.6,15
252.7,15
252.8,15
252.9,15
253,15
253.1,15
253.2,15
253.3,15
253.4,15
253.5,15
253.6,15
253.7,15
253.8,15
253.9,15
254,15
254.1,15
254.2,15
254.3,15
254.4,15
254.5,16
254.6,16
254.7,16
254.8,16
254.9,16
255,16
255.1,16
255.2,16
255.3,16
255.4,16
255.5,16
255.6,16
255.7,16
255.8,16
255.9,16
256,16
256.1,16
256.2,16
256.3,16
256.4,16
256.5,16
256.6,16
256.7,16
256.8,16
256.9,16
257,16
257.1,16
257.2,16
257.3,16
257.4,16
257.5,16
257.6,16
257.7,16
257.8,16
257.9,16
258,16
258.1,16
258.2,16
258.3,16
258.4,16
258.5,16
258.6,16
258.7,16
258.8,16
258.9,16
259,16
259.1,16
259.2,16
259.3,16
259.4,16
259.5,16
259.6,16
259.7,16
259.8,16
