Time,ECEF_position_X
238.544,4412890.55
238.666,4412887.63
238.794,4412884.74
238.916,4412881.79
239.044,4412878.85
239.166,4412875.89
239.294,4412872.91
239.416,4412870.1
239.544,4412867.23
239.666,4412864.36
239.794,4412861.54
239.916,4412858.81
240.044,4412856.4
240.166,4412853.81
240.294,4412851.05
240.416,4412848.32
240.544,4412845.62
240.666,4412842.93
240.794,4412840.34
240.916,4412837.88
241.044,4412835.59
241.166,4412833.36
241.293,4412831.34
241.416,4412829.41
241.543,4412827.56
241.666,4412825.82
241.793,4412824.38
241.916,4412823.13
242.043,4412822.02
242.166,4412821.07
242.293,4412820.17
242.416,4412819.52
242.543,4412819.08
242.666,4412818.6
242.793,4412818.27
242.916,4412817.95
243.043,4412817.79
243.166,4412817.58
243.293,4412817.38
243.416,4412817.13
243.543,4412816.93
243.666,4412816.76
243.793,4412816.64
243.916,4412816.57
244.043,4412816.5
244.166,4412816.55
244.293,4412816.67
244.416,4412816.79
244.543,4412817.12
244.666,4412817.6
244.793,4412818.27
244.916,4412819.08
245.043,4412820.05
245.166,4412821.19
245.293,4412822.43
245.416,4412823.73
245.543,4412825.17
245.666,4412826.7
245.793,4412828.26
245.916,4412829.91
246.043,4412831.65
246.166,4412833.41
246.293,4412835.28
246.416,4412837.17
246.543,4412839.09
246.666,4412841.02
246.793,4412842.89
246.916,4412844.9
247.043,4412846.79
247.166,4412848.66
247.293,4412850.44
247.416,4412852.05
247.543,4412853.69
247.666,4412855.22
247.793,4412856.42
247.916,4412857.44
248.043,4412858.39
248.166,4412859.12
248.293,4412859.67
248.416,4412859.99
248.543,4412860.2
248.666,4412860.07
248.793,4412859.81
248.916,4412859.38
249.043,4412858.87
249.166,4412858.14
249.293,4412857.23
249.416,4412856.13
249.543,4412854.89
249.666,4412853.53
249.793,4412852.11
249.916,4412850.67
250.043,4412849.26
250.166,4412847.85
250.293,4412846.51
250.416,4412845.29
250.543,4412844.21
250.666,4412843.35
250.793,4412842.63
250.916,4412842.14
251.043,4412841.76
251.166,4412841.59
251.293,4412841.53
251.416,4412841.68
251.543,4412842.02
251.666,4412842.53
251.793,4412843.23
251.916,4412844.06
252.042,4412845.05
252.166,4412846.39
252.292,4412847.76
252.416,4412849.34
252.542,4412850.88
252.666,4412852.61
252.792,4412854.49
252.916,4412856.42
253.042,4412858.54
253.166,4412860.71
253.292,4412862.91
253.416,4412865.1
253.542,4412867.32
253.666,4412869.63
253.792,4412871.89
253.916,4412874.21
254.042,4412876.46
254.166,4412878.84
254.292,4412881.18
254.416,4412883.67
254.542,4412886.14
254.666,4412888.66
254.792,4412891.12
254.916,4412893.65
255.042,4412896.19
255.166,4412898.69
255.292,4412901.23
255.416,4412903.74
255.542,4412906.32
255.666,4412908.91
255.792,4412911.55
255.916,4412914.27
256.042,4412916.95
256.166,4412919.52
256.292,4412922.01
256.416,4412924.38
256.542,4412926.66
256.666,4412928.93
256.792,4412931.11
256.916,4412933.14
257.042,4412935.11
257.166,4412936.97
257.292,4412938.72
257.416,4412940.26
257.542,4412941.63
257.666,4412942.7
257.792,4412943.68
257.916,4412944.47
258.042,4412945.09
258.166,4412945.37
258.292,4412945.43
258.416,4412945.3
258.542,4412944.93
258.666,4412944.36
258.792,4412943.59
258.916,4412942.63
259.042,4412941.48
259.166,4412940.26
259.292,4412938.83
259.416,4412937.38
259.542,4412935.84
259.666,4412934.15
259.792,4412932.26
259.916,4412930.33
260.042,4412928.33
260.166,4412926.28
260.292,4412924.19
260.416,4412922.07
260.542,4412919.9
260.666,4412917.69
260.792,4412915.48
260.916,4412913.2
261.042,4412910.88
261.166,4412908.52
261.292,4412906.14
261.416,4412903.73
261.542,4412901.27
261.666,4412898.82
261.792,4412896.31
261.916,4412893.84
262.042,4412891.37
262.166,4412888.95
262.292,4412886.57
262.416,4412884.23
262.542,4412882.17
262.666,4412880.21
262.791,4412878.47
262.916,4412876.99
263.041,4412875.58
263.166,4412874.28
263.291,4412873.29
263.416,4412872.57
263.541,4412872.02
263.666,4412871.67
263.791,4412871.7
263.916,4412871.77
264.041,4412872.07
264.166,4412872.55
264.291,4412873.19
264.416,4412873.98
264.541,4412874.92
264.666,4412875.98
264.791,4412877.12
264.916,4412878.4
265.041,4412879.84
265.166,4412881.3
265.291,4412882.86
265.416,4412884.42
265.541,4412886.11
265.666,4412887.86
265.791,4412889.71
265.916,4412891.68
266.041,4412893.67
266.166,4412895.57
266.291,4412897.42
266.416,4412899.2
266.541,4412900.99
266.666,4412902.81
266.791,4412904.56
266.916,4412906.42
267.041,4412908.19
267.166,4412909.93
267.291,4412911.68
267.416,4412913.37
267.541,4412914.95
267.666,4412916.47
267.791,4412917.89
267.916,4412919.14
268.041,4412920.39
268.166,4412921.5
268.291,4412922.4
268.416,4412923.24
268.541,4412923.78
268.666,4412924.2
268.791,4412924.49
268.916,4412924.5
269.041,4412924.38
269.166,4412924
269.291,4412923.49
269.416,4412922.81
269.541,4412921.91
269.666,4412920.88
269.791,4412919.67
269.916,4412918.36
270.041,4412916.89
270.166,4412915.27
270.291,4412913.71
270.416,4412912.13
270.541,4412910.74
270.666,4412909.45
270.791,4412908.36
270.916,4412907.44
271.041,4412906.7
271.166,4412906.21
271.291,4412905.87
271.416,4412905.83
271.541,4412905.92
271.666,4412906.26
271.791,4412906.84
271.916,4412907.52
272.041,4412908.42
272.166,4412909.51
272.291,4412910.87
272.416,4412912.39
272.541,4412913.97
272.666,4412915.71
