Time,ECEF_velocity_X
288.414,-23.09
288.516,-22.99
288.664,-23.08
288.789,-23.24
288.914,-23.54
289.039,-23.59
289.164,-23.66
289.289,-23.57
289.414,-23.48
289.539,-23.46
289.664,-23.36
289.766,-23.33
289.914,-23.05
290.039,-22.5
290.164,-22.4
290.289,-22.17
290.414,-21.78
290.516,-21.32
290.664,-20.62
290.789,-19.97
290.914,-18.91
291.039,-17.83
291.164,-16.66
291.266,-15.71
291.414,-14.39
291.539,-13.02
291.664,-11.69
291.789,-10.09
291.914,-8.74
292.039,-7.7
292.164,-6.14
292.289,-5.12
292.414,-4.2
292.516,-3.3
292.664,-2.69
292.789,-1.91
292.914,-1.61
293.039,-1.33
293.164,-1.35
293.289,-1.22
293.414,-1.04
293.539,-0.97
293.664,-0.72
293.789,-0.46
293.914,-0.05
294.016,0.46
294.164,1.01
294.289,1.82
294.414,3.04
294.539,4.5
294.664,5.66
294.788,6.94
294.913,7.79
295.038,8.61
295.163,9.41
295.288,10.19
295.413,11.06
295.538,12.06
295.663,12.63
295.788,13.45
295.913,14.14
296.038,14.48
296.163,14.77
296.288,14.91
296.413,15.31
296.538,14.88
296.663,14.59
296.766,14.31
296.913,13.9
297.038,13.3
297.163,12.44
297.288,11.78
297.413,10.99
297.538,10.07
297.663,9.45
297.788,8.27
297.913,6.44
298.016,5.35
298.163,4.06
298.288,3.18
298.413,1.75
298.538,0.47
298.663,-1.19
298.788,-2.7
298.913,-3.69
299.038,-4.5
299.163,-4.91
299.288,-5.12
299.413,-5.24
299.516,-5.4
299.663,-5.63
299.788,-5.73
299.913,-5.98
300.038,-6.19
300.163,-6.57
300.288,-6.88
300.413,-7.07
300.538,-7.01
300.663,-6.59
300.788,-5.97
300.913,-5.05
301.038,-4.25
301.163,-3.38
301.288,-2.34
301.413,-1.48
301.538,-0.37
301.663,0.12
301.788,0.75
301.913,1.52
302.016,2.64
302.163,3.62
302.266,4.93
302.413,5.89
302.538,7.29
302.663,8.23
302.766,9.01
302.913,9.49
303.038,10.01
303.163,9.97
303.288,11.19
303.413,11.84
303.538,12.91
303.663,13.97
303.788,14.72
303.913,15.43
304.038,15.99
304.163,16.49
304.288,16.98
304.413,17.17
304.516,17.52
304.663,18.07
304.766,18.44
304.913,18.59
305.016,18.88
305.163,19
305.288,19.13
305.412,19.22
305.537,19.27
305.662,19.31
305.787,19.28
305.912,19.43
306.037,19.71
306.162,20.1
306.287,20.43
306.412,20.73
306.537,21.02
306.662,20.53
306.787,20.03
306.912,19.33
307.037,18.6
307.162,17.96
307.287,17.24
307.412,16.59
307.537,16
307.662,15.13
307.766,14.25
307.912,13.21
308.037,12.05
308.162,10.89
308.287,9.53
308.412,8.39
308.537,7.04
308.662,5.53
308.787,3.76
308.912,2.04
309.037,0.63
309.162,-0.86
309.287,-2.58
309.412,-4.17
309.537,-5.62
309.662,-6.9
309.787,-8.19
309.912,-9.44
310.037,-10.58
310.162,-11.7
310.287,-12.96
310.412,-13.79
310.516,-14.53
310.662,-15.08
310.787,-15.62
310.912,-16
311.037,-16.46
311.162,-16.89
311.287,-17.32
311.412,-17.67
311.537,-18.02
311.662,-18.32
311.787,-18.66
311.912,-19.05
312.037,-19.31
312.162,-19.59
312.287,-19.66
312.412,-19.75
312.537,-19.73
312.662,-19.44
312.787,-18.89
312.912,-18.24
313.037,-17.65
313.162,-16.96
313.266,-16.14
313.412,-15.01
313.516,-13.8
313.662,-12.37
313.787,-10.73
313.912,-9.69
314.016,-8.38
314.162,-7.49
314.287,-6.05
314.412,-3.83
314.537,-1.55
314.662,0.21
314.787,1.58
314.912,3.28
315.037,4.89
315.162,6.06
315.287,7.75
315.412,8.63
315.537,9.22
315.662,9.9
315.787,10.44
315.912,11.14
316.016,11.92
316.161,12.42
316.286,13.19
316.411,13.88
316.536,14.52
316.661,15.14
316.786,15.34
316.911,14.96
317.036,14.53
317.161,14.09
317.286,13.96
317.411,14.14
317.516,13.89
317.661,14.18
317.786,14.13
317.911,14
318.016,13.89
318.161,13.72
318.286,13.23
318.411,12.63
318.516,11.76
318.661,11.14
318.766,10.26
318.911,9.19
319.036,8.59
319.161,7.31
319.286,6.1
319.411,4.44
319.516,3.54
319.661,1.5
319.786,0.12
319.911,-1.65
320.016,-2.99
320.161,-4.55
320.266,-5.97
320.411,-7.17
320.536,-8.45
320.661,-9.53
320.786,-10.5
320.911,-11.46
321.016,-12.16
321.161,-12.4
321.286,-11.71
321.411,-10.7
321.516,-9.65
321.661,-8.46
321.786,-7.08
321.911,-5.15
322.016,-4.03
322.161,-1.98
322.286,-0.42
322.411,1.31
322.516,3.19
322.661,4.4
322.766,6.1
322.911,7.54
323.016,9.05
323.161,10.17
323.266,11.25
323.411,12.12
323.516,13.07
323.661,13.58
323.786,14.21
323.911,14.73
324.016,15.19
324.161,15.66
324.266,16.03
324.411,16.25
324.516,16.5
324.661,16.4
324.786,16.16
324.911,15.62
325.016,14.9
325.161,14.18
325.286,13.11
325.411,11.65
325.516,10.79
325.661,8.95
325.766,7.86
325.911,6.09
326.016,4.94
326.161,3.05
326.286,1.81
326.411,0.7
326.516,0.25
326.661,0.13
326.785,0.46
326.91,1.32
327.016,2.02
327.16,3.11
327.285,4.54
327.41,5.72
327.516,6.58
327.66,7.27
327.785,8.28
327.91,8.91
328.016,9.76
328.16,10.38
328.266,10.89
328.41,11.26
328.516,11.36
328.66,11.24
328.766,10.85
328.91,10.46
329.016,9.45
329.16,8.32
329.266,7.44
329.41,6.17
329.516,5.18
329.66,3.98
329.766,2.76
329.91,1.65
330.035,0.29
330.16,-0.92
330.266,-2.07
330.41,-3.17
330.516,-3.97
330.66,-4.66
330.766,-5.28
330.91,-5.54
331.016,-5.69
331.16,-5.54
331.266,-5.26
331.41,-4.77
331.516,-4.09
331.66,-3.5
331.766,-2.36
331.91,-1.25
332.016,0.02
332.16,0.8
332.266,2.28
332.41,3.59
332.516,5.05
332.66,7.19
332.766,7.82
332.91,8.71
333.016,9.95
333.16,10.66
333.266,10.72
333.41,9.98
333.516,8.87
333.66,7.39
333.785,6.11
333.91,4.58
334.016,2.73
334.16,1.02
334.266,-0.78
334.41,-2.63
334.516,-3.48
334.66,-4.94
334.766,-6.39
334.91,-7.76
335.016,-9.64
335.16,-11.28
335.266,-12.88
335.41,-14.24
335.535,-15.27
335.66,-16.1
335.766,-16.81
335.91,-17.52
336.016,-18.18
336.16,-18.58
336.266,-18.88
336.41,-19.2
336.516,-19.48
336.66,-19.72
336.766,-19.92
336.91,-20.19
337.016,-20.43
337.16,-20.63
337.266,-20.9
337.41,-20.99
337.516,-21.26
337.659,-21.46
337.766,-21.72
337.909,-21.85
338.016,-21.94
338.159,-22.07
338.266,-22.26
338.409,-22.44
338.516,-22.65
338.659,-22.78
338.766,-22.88
338.909,-23.04
