Time,ECEF_position_Y
339.159,950053.35
339.266,950053.57
339.409,950053.64
339.516,950053.82
339.659,950054.04
339.766,950054.27
339.909,950054.54
340.016,950054.87
340.159,950055.27
340.266,950055.8
340.409,950056.45
340.516,950057.3
340.659,950058.32
340.766,950059.58
340.909,950061.04
341.016,950062.71
341.159,950064.73
341.266,950066.89
341.409,950069.28
341.516,950071.8
341.659,950074.56
341.766,950077.5
341.909,950080.5
342.016,950083.61
342.159,950086.86
342.266,950090.19
342.409,950093.61
342.516,950097.1
342.659,950101.04
342.766,950104.89
342.909,950108.6
343.016,950112.54
343.159,950116.43
343.266,950120.31
343.409,950124.15
343.516,950128.06
343.659,950131.95
343.766,950135.88
343.909,950139.81
344.016,950143.74
344.159,950147.73
344.266,950151.68
344.409,950155.67
344.516,950159.65
344.659,950163.64
344.766,950167.6
344.909,950171.55
345.016,950175.39
345.159,950179.18
345.266,950182.92
345.409,950186.57
345.516,950190.07
345.659,950193.39
345.766,950196.49
345.909,950199.38
346.016,950202.08
346.159,950204.45
346.266,950206.63
346.409,950208.56
346.516,950210.21
346.659,950211.55
346.766,950212.77
346.909,950213.61
347.016,950214.23
347.159,950214.43
347.266,950214.39
347.409,950214.07
347.516,950213.36
347.659,950212.48
347.766,950211.32
347.909,950209.92
348.016,950208.32
348.158,950206.45
348.266,950204.36
348.408,950201.99
348.516,950199.42
348.658,950196.78
348.766,950194.07
348.908,950191.27
349.016,950188.45
349.158,950185.61
349.266,950182.8
349.408,950180.03
349.516,950177.3
349.658,950174.65
349.766,950172.08
349.908,950169.54
350.016,950167.02
350.158,950164.58
350.266,950162.18
350.408,950159.77
350.516,950157.33
350.658,950154.8
350.766,950152.18
350.908,950149.39
351.016,950146.41
351.158,950143.35
351.266,950140.18
351.408,950136.99
351.516,950133.85
351.658,950130.71
351.766,950127.64
351.908,950124.67
352.016,950121.72
352.158,950118.96
352.266,950116.31
352.408,950113.73
352.516,950111.23
352.658,950108.81
352.766,950106.61
352.908,950104.55
353.016,950102.58
353.158,950100.8
353.266,950099.3
353.408,950098.13
353.516,950097.33
353.658,950096.74
353.766,950096.46
353.908,950096.38
354.016,950096.48
354.158,950096.75
354.266,950096.84
354.408,950096.97
354.516,950096.83
354.658,950096.56
354.766,950096.08
354.908,950095.39
355.016,950094.49
355.158,950093.53
355.266,950092.46
355.408,950091.3
355.516,950090.06
355.658,950088.66
355.766,950087.17
355.908,950085.63
356.016,950084.11
356.158,950082.63
356.266,950081.24
356.408,950080
356.516,950078.87
356.658,950077.87
356.783,950076.9
356.908,950076.05
357.016,950075.31
357.158,950074.75
357.266,950074.46
357.408,950074.29
357.516,950074.35
357.658,950074.63
357.783,950075.06
357.908,950075.76
358.016,950076.64
358.158,950077.72
358.266,950078.96
358.408,950080.41
358.516,950081.94
358.658,950083.59
358.766,950085.44
358.907,950087.35
359.016,950089.33
359.157,950091.32
359.266,950093.33
359.407,950095.22
359.516,950097.02
359.657,950098.71
359.782,950100.24
359.907,950101.57
360.016,950102.7
360.157,950103.65
360.266,950104.49
360.407,950105.19
360.516,950105.78
360.657,950106.3
360.766,950106.73
360.907,950107.08
361.016,950107.38
361.157,950107.66
361.266,950107.94
361.407,950108.28
361.516,950108.64
361.657,950109.05
361.766,950109.43
361.907,950109.81
362.016,950110.17
362.157,950110.55
362.266,950110.98
362.407,950111.58
362.516,950112.4
362.657,950113.44
362.782,950114.73
362.907,950116.19
363.016,950117.81
363.157,950119.68
363.266,950121.69
363.407,950123.91
363.516,950126.21
363.657,950128.71
363.782,950131.33
363.907,950134.13
364.016,950137.07
364.157,950140.07
364.266,950143.12
364.407,950146.23
364.516,950149.31
364.657,950152.33
364.782,950155.39
364.907,950158.34
365.016,950161.2
365.157,950164.01
365.266,950166.67
365.407,950169.3
365.516,950171.91
365.657,950174.46
365.766,950177.01
365.907,950179.47
366.016,950181.91
366.157,950184.3
366.266,950186.67
366.407,950188.97
366.516,950191.23
366.657,950193.42
366.766,950195.52
366.907,950197.48
367.016,950199.33
367.157,950201
367.266,950202.49
367.407,950203.72
367.516,950204.86
367.657,950205.61
367.782,950206.25
367.907,950206.53
368.016,950206.62
368.157,950206.45
368.266,950206.08
368.407,950205.36
368.516,950204.43
368.657,950203.25
368.766,950201.8
368.907,950200.32
369.016,950198.56
369.157,950196.66
369.266,950194.76
369.407,950192.76
369.516,950190.76
369.656,950188.77
369.766,950186.84
369.906,950184.88
370.016,950182.98
370.156,950181.2
370.266,950179.56
370.406,950178.04
370.516,950176.69
370.656,950175.51
370.781,950174.44
370.906,950173.36
371.016,950172.14
371.156,950170.81
371.266,950169.33
371.406,950167.83
371.516,950166.19
371.656,950164.47
371.781,950162.66
371.906,950160.75
372.016,950158.81
372.156,950156.82
372.266,950154.75
372.406,950152.8
372.516,950150.8
372.656,950148.86
372.766,950147.06
372.906,950145.37
373.016,950143.87
373.156,950142.54
373.266,950141.41
373.406,950140.38
373.516,950139.54
373.656,950138.73
373.781,950138.23
373.906,950137.89
374.016,950137.72
374.156,950137.58
374.266,950137.59
374.406,950137.7
374.516,950138.04
374.656,950138.71
374.766,950139.64
374.906,950140.85
375.016,950142.42
375.156,950144.24
375.266,950146.34
375.406,950148.71
375.516,950151.26
375.656,950153.93
375.766,950156.73
375.906,950159.64
376.016,950162.7
376.156,950165.83
376.266,950169.06
376.406,950172.18
376.516,950175.13
376.656,950177.96
376.766,950180.65
376.906,950183.2
377.016,950185.6
377.156,950187.81
377.266,950189.8
377.406,950191.49
377.516,950192.89
377.656,950194.06
377.781,950194.9
377.906,950195.39
378.016,950195.7
378.156,950195.67
378.266,950195.22
378.406,950194.69
378.516,950193.77
378.656,950192.52
378.766,950191.14
378.906,950189.47
379.016,950187.58
379.156,950185.55
379.266,950183.32
379.406,950181.07
379.516,950178.75
379.656,950176.35
379.781,950173.92
379.906,950171.45
380.016,950168.95
380.156,950166.44
380.266,950163.96
380.405,950161.48
380.516,950158.97
380.655,950156.47
380.766,950153.94
380.905,950151.33
381.016,950148.61
381.155,950145.76
381.266,950142.81
381.405,950139.77
381.516,950136.64
381.655,950133.44
381.766,950130.15
381.905,950126.78
382.016,950123.4
382.155,950120.03
382.266,950116.65
382.405,950113.29
382.516,950110.01
382.655,950106.74
382.766,950103.52
382.905,950100.36
383.016,950097.2
383.155,950094.01
383.266,950090.95
383.405,950087.76
383.516,950084.63
383.655,950081.59
383.766,950078.58
383.905,950075.63
384.016,950072.76
384.155,950070
