Time,ITOW
389.016,558935375
389.155,558935500
389.266,558935625
389.405,558935750
389.516,558935875
389.655,558936000
389.766,558936125
389.905,558936250
390.016,558936375
390.155,558936500
390.266,558936625
390.405,558936750
390.516,558936875
390.655,558937000
390.766,558937125
390.904,558937250
391.016,558937375
391.154,558937500
391.266,558937625
391.404,558937750
391.516,558937875
391.654,558938000
391.766,558938125
391.904,558938250
392.016,558938375
392.154,558938500
392.266,558938625
392.404,558938750
392.516,558938875
392.654,558939000
392.766,558939125
392.904,558939250
393.016,558939375
393.154,558939500
393.266,558939625
393.404,558939750
393.516,558939875
393.654,558940000
393.766,558940125
393.904,558940250
394.016,558940375
394.154,558940500
394.266,558940625
394.404,558940750
394.516,558940875
394.654,558941000
394.766,558941125
394.904,558941250
395.016,558941375
395.154,558941500
395.266,558941625
395.404,558941750
395.516,558941875
395.654,558942000
395.766,558942125
395.904,558942250
396.016,558942375
396.154,558942500
396.266,558942625
396.404,558942750
396.516,558942875
396.654,558943000
396.766,558943125
396.904,558943250
397.016,558943375
397.154,558943500
397.266,558943625
397.404,558943750
397.516,558943875
397.654,558944000
397.766,558944125
397.904,558944250
398.016,558944375
398.154,558944500
398.266,558944625
398.404,558944750
398.516,558944875
398.654,558945000
398.766,558945125
398.904,558945250
399.016,558945375
399.154,558945500
399.266,558945625
399.404,558945750
399.516,558945875
399.654,558946000
399.766,558946125
399.904,558946250
400.016,558946375
400.154,558946500
400.266,558946625
400.404,558946750
400.516,558946875
400.654,558947000
400.766,558947125
400.904,558947250
401.016,558947375
401.154,558947500
401.266,558947625
401.404,558947750
401.516,558947875
401.653,558948000
401.766,558948125
401.903,558948250
402.016,558948375
402.153,558948500
402.266,558948625
402.403,558948750
402.516,558948875
402.653,558949000
402.766,558949125
402.903,558949250
403.016,558949375
403.153,558949500
403.266,558949625
403.403,558949750
403.516,558949875
403.653,558950000
403.766,558950125
403.903,558950250
404.016,558950375
404.153,558950500
404.266,558950625
404.403,558950750
404.516,558950875
404.653,558951000
404.766,558951125
404.903,558951250
405.016,558951375
405.153,558951500
405.266,558951625
405.403,558951750
405.516,558951875
405.653,558952000
405.766,558952125
405.903,558952250
406.016,558952375
406.153,558952500
406.266,558952625
406.403,558952750
406.516,558952875
406.653,558953000
406.766,558953125
406.903,558953250
407.016,558953375
407.153,558953500
407.266,558953625
407.403,558953750
407.516,558953875
407.653,558954000
407.766,558954125
407.903,558954250
408.016,558954375
408.153,558954500
408.266,558954625
408.403,558954750
408.516,558954875
408.653,558955000
408.766,558955125
408.903,558955250
409.016,558955375
409.153,558955500
409.266,558955625
409.403,558955750
409.516,558955875
409.653,558956000
409.766,558956125
409.903,558956250
410.016,558956375
410.153,558956500
410.266,558956625
410.403,558956750
410.516,558956875
410.653,558957000
410.766,558957125
410.903,558957250
411.016,558957375
411.153,558957500
411.266,558957625
411.403,558957750
411.516,558957875
411.653,558958000
411.766,558958125
411.903,558958250
412.016,558958375
412.152,558958500
412.266,558958625
412.402,558958750
412.516,558958875
412.652,558959000
412.766,558959125
412.902,558959250
413.016,558959375
413.152,558959500
413.266,558959625
413.402,558959750
413.516,558959875
413.652,558960000
413.766,558960125
413.902,558960250
414.016,558960375
414.152,558960500
414.266,558960625
414.402,558960750
414.516,558960875
414.652,558961000
414.766,558961125
414.902,558961250
415.016,558961375
415.152,558961500
415.266,558961625
415.402,558961750
