Time,Week_N
389.016,1880
389.155,1880
389.266,1880
389.405,1880
389.516,1880
389.655,1880
389.766,1880
389.905,1880
390.016,1880
390.155,1880
390.266,1880
390.405,1880
390.516,1880
390.655,1880
390.766,1880
390.904,1880
391.016,1880
391.154,1880
391.266,1880
391.404,1880
391.516,1880
391.654,1880
391.766,1880
391.904,1880
392.016,1880
392.154,1880
392.266,1880
392.404,1880
392.516,1880
392.654,1880
392.766,1880
392.904,1880
393.016,1880
393.154,1880
393.266,1880
393.404,1880
393.516,1880
393.654,1880
393.766,1880
393.904,1880
394.016,1880
394.154,1880
394.266,1880
394.404,1880
394.516,1880
394.654,1880
394.766,1880
394.904,1880
395.016,1880
395.154,1880
395.266,1880
395.404,1880
395.516,1880
395.654,1880
395.766,1880
395.904,1880
396.016,1880
396.154,1880
396.266,1880
396.404,1880
396.516,1880
396.654,1880
396.766,1880
396.904,1880
397.016,1880
397.154,1880
397.266,1880
397.404,1880
397.516,1880
397.654,1880
397.766,1880
397.904,1880
398.016,1880
398.154,1880
398.266,1880
398.404,1880
398.516,1880
398.654,1880
398.766,1880
398.904,1880
399.016,1880
399.154,1880
399.266,1880
399.404,1880
399.516,1880
399.654,1880
399.766,1880
399.904,1880
400.016,1880
400.154,1880
400.266,1880
400.404,1880
400.516,1880
400.654,1880
400.766,1880
400.904,1880
401.016,1880
401.154,1880
401.266,1880
401.404,1880
401.516,1880
401.653,1880
401.766,1880
401.903,1880
402.016,1880
402.153,1880
402.266,1880
402.403,1880
402.516,1880
402.653,1880
402.766,1880
402.903,1880
403.016,1880
403.153,1880
403.266,1880
403.403,1880
403.516,1880
403.653,1880
403.766,1880
403.903,1880
404.016,1880
404.153,1880
404.266,1880
404.403,1880
404.516,1880
404.653,1880
404.766,1880
404.903,1880
405.016,1880
405.153,1880
405.266,1880
405.403,1880
405.516,1880
405.653,1880
405.766,1880
405.903,1880
406.016,1880
406.153,1880
406.266,1880
406.403,1880
406.516,1880
406.653,1880
406.766,1880
406.903,1880
407.016,1880
407.153,1880
407.266,1880
407.403,1880
407.516,1880
407.653,1880
407.766,1880
407.903,1880
408.016,1880
408.153,1880
408.266,1880
408.403,1880
408.516,1880
408.653,1880
408.766,1880
408.903,1880
409.016,1880
409.153,1880
409.266,1880
409.403,1880
409.516,1880
409.653,1880
409.766,1880
409.903,1880
410.016,1880
410.153,1880
410.266,1880
410.403,1880
410.516,1880
410.653,1880
410.766,1880
410.903,1880
411.016,1880
411.153,1880
411.266,1880
411.403,1880
411.516,1880
411.653,1880
411.766,1880
411.903,1880
412.016,1880
412.152,1880
412.266,1880
412.402,1880
412.516,1880
412.652,1880
412.766,1880
412.902,1880
413.016,1880
413.152,1880
413.266,1880
413.402,1880
413.516,1880
413.652,1880
413.766,1880
413.902,1880
414.016,1880
414.152,1880
414.266,1880
414.402,1880
414.516,1880
414.652,1880
414.766,1880
414.902,1880
415.016,1880
415.152,1880
415.266,1880
415.402,1880
