Time,Logger_Temperature
440.439,9
441.489,9
442.539,8.8984375
443.589,9
444.639,8.8984375
445.689,9
446.739,9
447.789,9
448.839,8.8984375
449.889,9
450.939,9
451.989,9
453.039,8.8984375
454.089,9
455.139,8.8984375
456.189,8.8984375
457.239,9
458.289,9
459.339,9
460.389,8.8984375
461.439,8.8984375
462.489,8.8984375
463.539,8.8984375
464.589,8.8984375
465.639,8.8984375
466.689,8.8984375
467.739,8.8984375
468.789,8.8984375
469.839,8.8984375
470.889,8.8984375
471.939,8.8984375
472.989,8.8984375
474.039,8.8984375
475.089,8.8984375
476.139,8.8984375
477.189,8.8984375
478.239,8.8984375
479.289,8.8984375
480.339,9
481.389,8.8984375
482.439,8.8984375
483.489,8.8984375
484.539,8.8984375
485.589,8.8984375
486.639,8.8984375
487.689,8.8984375
488.739,8.8984375
